#Aglomerado NGC 2204, Ag = 0.08070005499999999, E = 0.043326569999999995
Metodo,Age,ModDist
DIAS2022, 9.3, 13.01
Inicial, 9.2, 15.062253350809343
Chi, 9.3, 12.996565717809343
Beauchamp, 9.3, 12.996565717809343
