Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,(BP-RP)TurnOff,GmagTurnOff,Ajustadas/Total
8.9, 3.2237712270822088, 1.6254469140084584, 0.03787577895902012, 0.05590829563880603, 0.9997240407775944, 0.20899999999999985, 1.611, 0.08450704225352113= 6/71
9.0, 5.83339409405761, 0.09676923076922561, 0.07188016646802571, 0.04313238252809937, 0.9996964657247178, 0.30099999999999993, 1.8, 0.1= 6/60
9.1, 3.0534945321584264, 1.9779375809758255, 0.022366681585264312, 0.046992256228640596, 0.9997586406780797, 0.4089999999999998, 2.23, 0.1864406779661017= 11/59
9.2, 2.9904459114666815, 2.2152798028053065, 0.01643163145167918, 0.04059537299650263, 0.9998943453343888, 0.5150000000000001, 2.81, 0.16071428571428573= 9/56
9.3, 2.98522959103977, 2.2571080043660547, 0.025937485034384044, 0.04841767334193301, 0.9996604595418938, 0.5880000000000001, 3.289, 0.22448979591836735= 11/49
9.4, 2.9782376795182683, 2.3296061044664835, 0.024767125955552055, 0.051231897368764906, 0.999688941295958, 0.6499999999999999, 3.677, 0.2391304347826087= 11/46
9.5, 2.9521633822029956, 2.384407825282543, 0.031843833585178116, 0.05114911742673713, 0.9995930202778294, 0.7039999999999997, 3.973, 0.20930232558139536= 9/43
9.6, 2.9707539756204437, 2.3637801356777786, 0.01950679994047655, 0.043624772726556765, 0.9997629461968622, 0.7240000000000002, 4.016, 0.28888888888888886= 13/45
9.7, 2.947813130452635, 2.4175750676615415, 0.02186338272182118, 0.04885780776910259, 0.9996701085039754, 0.7589999999999999, 4.163, 0.3333333333333333= 14/42
9.8, 2.904047736245164, 2.5896802093695435, 0.020890131808284522, 0.041058056065937654, 0.9995604509252553, 0.8410000000000002, 4.62, 0.5= 19/38
9.9, 2.8548659259619362, 2.703903701637209, 0.02193637013498963, 0.041871500933600245, 0.9995574819288117, 0.8969999999999994, 4.874, 0.53125= 17/32
10.0, 2.8296227869089474, 2.7413693267280808, 0.016198382146439823, 0.034540631179376786, 0.9997215650779735, 0.9500000000000002, 5.091, 0.59375= 19/32
10.1, 2.86917698693882, 2.666849308255567, 0.02248673477683183, 0.03945111408842574, 0.9994783045060531, 0.9930000000000003, 5.251, 0.6333333333333333= 19/30
