Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,(BP-RP)TurnOff,GmagTurnOff,Ajustadas/Total
6.6, 2.854120749245193, 0.38806502817283794, 0.017223390448868788, 0.024066369057246777, 0.9997633798096353, -0.508, -3.144, 0.09375= 15/160
6.7, 2.889556565143747, 0.4999051778025132, 0.017358461558334155, 0.023174533543742073, 0.9997474812810081, -0.49200000000000044, -3.158, 0.1= 16/160
6.8, 2.912169168198844, 0.5697540499402058, 0.013492392280951648, 0.020104335333999166, 0.9998283187545255, -0.5089999999999999, -3.455, 0.11320754716981132= 18/159
6.9, 2.9664900863585926, 0.5731253707282042, 0.015735610816009854, 0.023446843583051474, 0.9996906340415109, -0.484, -3.661, 0.16= 24/150
7.0, 2.936243693728116, 0.7981411239479423, 0.012225262631035134, 0.01901951757684777, 0.9998093658573324, -0.48099999999999987, -3.016, 0.16666666666666666= 24/144
7.1, 2.9897047844769102, 0.8246549482576189, 0.017751985164907485, 0.033978942634062335, 0.9998061465071006, -0.43900000000000006, -2.991, 0.09219858156028368= 13/141
7.2, 3.0166999501503913, 0.9059926109657921, 0.01695140907279351, 0.033767572789993, 0.9997948237646689, -0.4209999999999998, -2.727, 0.10869565217391304= 15/138
7.3, 3.0570702558566794, 0.9334063230487688, 0.016916478612256817, 0.03705359541274217, 0.9998316310183952, -0.40000000000000036, -2.609, 0.1015625= 13/128
7.4, 3.100412112772997, 1.0021426532388507, 0.016166920434037096, 0.033131260834468095, 0.9998097214545566, -0.3759999999999999, -2.377, 0.12903225806451613= 16/124
7.5, 3.1353962124677226, 1.0432851035735045, 0.016904095199932107, 0.036812462731978336, 0.9997820693685262, -0.3510000000000002, -2.155, 0.13709677419354838= 17/124
7.6, 3.2188027360991662, 1.0238526873830294, 0.018067773726209838, 0.03766561762009928, 0.999748031423548, -0.32600000000000007, -2.026, 0.1592920353982301= 18/113
7.7, 3.4267651544410485, 0.5853331645140143, 0.02176487736868731, 0.0390854704641096, 0.9997177344379343, -0.30799999999999983, -2.88, 0.12030075187969924= 16/133
7.8, 3.497406196548083, 0.6338159135695642, 0.027220553049583814, 0.048821663709542266, 0.9996064873605739, -0.2789999999999999, -2.635, 0.12396694214876033= 15/121
7.9, 8.21616965664728, 1.7876626470238821, 0.24431758193029698, 0.02237696539171602, 0.9982361955173609, -0.2469999999999999, -1.31, 0.06451612903225806= 6/93
8.0, 3.157585869754756, 1.4602524020136822, 0.03772185685219776, 0.03819538159732762, 0.9994296202690643, -0.21899999999999997, -0.962, 0.10989010989010989= 10/91
8.1, 3.202351914894465, 1.535298482309757, 0.031756741619812415, 0.027864015756916983, 0.9994104768861833, -0.19199999999999995, -0.769, 0.16470588235294117= 14/85
8.2, 3.4199667746403857, 1.570606284047948, 0.08858935709712047, 0.02123156774779139, 0.9933568380040929, -0.16500000000000004, -0.453, 0.2716049382716049= 22/81
8.3, 3.4645387069680686, 1.5402043366408926, 0.08042152264353943, 0.019301362116519036, 0.9943898259312497, -0.13699999999999998, -0.236, 0.2839506172839506= 23/81
8.4, 3.1594210001336585, 1.60182372915548, 0.010826749043861354, 0.011890520967043855, 0.9998825901188056, -0.10699999999999998, 0.085, 0.2857142857142857= 22/77
8.5, 3.196513745170406, 1.5867112773272645, 0.02062292967080991, 0.017861110211814985, 0.9996463805985711, -0.07400000000000001, 0.267, 0.2602739726027397= 19/73
8.6, 3.210900442478124, 1.5539555181906364, 0.01805267699371662, 0.016071760063622587, 0.9997472129452266, -0.03200000000000003, 0.627, 0.2571428571428571= 18/70
8.7, 3.2272367263604456, 1.5172715820600213, 0.022415030300829617, 0.02184365653312365, 0.9996865803950833, 0.015000000000000013, 0.782, 0.22388059701492538= 15/67
8.8, 3.1843371501501223, 1.6281873021336688, 0.027144909062816306, 0.04966069120697357, 0.9997820695263941, 0.07700000000000007, 1.023, 0.125= 8/64
8.9, 3.2474340590630035, 1.592693465602716, 0.04078918913971204, 0.05319901944552922, 0.9995270420537465, 0.16100000000000003, 1.298, 0.11940298507462686= 8/67
9.0, 5.722786725759369, 0.23557150578316266, 0.08268745304602784, 0.049897119903833005, 0.9996869948920889, 0.268, 1.682, 0.08196721311475409= 5/61
9.1, 3.1385570262562594, 1.828570778034095, 0.04047905785487448, 0.07924777001071515, 0.999584405347406, 0.3700000000000001, 1.998, 0.12280701754385964= 7/57
9.2, 3.096269090533652, 1.9867878718929686, 0.04234325081905918, 0.05688482137797424, 0.9993460675596985, 0.46399999999999997, 2.424, 0.17647058823529413= 9/51
9.3, 3.023530314675083, 2.255315496528521, 0.04499505592855903, 0.06085769858166945, 0.9991153238564486, 0.5459999999999998, 2.908, 0.19607843137254902= 10/51
9.4, 2.9464439827174567, 2.41049587842799, 0.024653728437233756, 0.05000147296976264, 0.9997550500872133, 0.6090000000000004, 3.388, 0.20454545454545456= 9/44
9.5, 2.959673406376569, 2.3611010172915163, 0.028321753947735062, 0.052919005198815684, 0.9995881899989864, 0.653, 3.664, 0.2558139534883721= 11/43
9.6, 3.033263028832808, 2.225909463498657, 0.029507267371099676, 0.047861335703877066, 0.9995271757500027, 0.6769999999999996, 3.662, 0.25= 12/48
9.7, 2.9629436162828493, 2.3534387877225518, 0.02071058633939129, 0.04296027714413986, 0.9997557981706068, 0.7090000000000001, 3.772, 0.24489795918367346= 12/49
9.8, 2.9377581673412836, 2.415265012367823, 0.01964049228981426, 0.04504524300797528, 0.9997989268115437, 0.7559999999999998, 4.063, 0.2619047619047619= 11/42
