Age, Slope, Intercept, Slope_Error, Intercept_Error, R_Value, Ajustadas/Total 
10.28, 5.8489203447977625, 0.7188974255484766, 0.08778878655260204, 0.09322739271044327, 0.9985388749543238, 1.0= 15/15
10.26, 5.8312102757758675, 0.7439829268941311, 0.09193503085621789, 0.09695782935453853, 0.9983882152893034, 0.9375= 15/16
10.24, 5.761085133827797, 0.826760453617112, 0.06271882672378579, 0.06646459790776658, 0.9992305168344905, 1.0= 15/15
10.22, 5.814514676751306, 0.7665135962542768, 0.07497009746253794, 0.07865654904695321, 0.9988383107710861, 1.0= 16/16
10.2, 5.786583231227027, 0.8009778137580943, 0.06584139430093056, 0.06911033727714562, 0.9990949724788554, 1.0= 16/16
10.18, 5.82491318161667, 0.7673090919166539, 0.08289827515328435, 0.08601728541653628, 0.9984843981088141, 0.9444444444444444= 17/18
10.16, 5.724469496021218, 0.8726740716180377, 0.05665584009929755, 0.059661720187510536, 0.9993150316242018, 0.9411764705882353= 16/17
10.14, 5.690090181892291, 0.9157127426504301, 0.05426521627638616, 0.05726057161822903, 0.9993639543058789, 0.9411764705882353= 16/17
10.12, 5.865315546434068, 0.7218000684111514, 0.08692876480593215, 0.08907500601113824, 0.9982473655932628, 0.9473684210526315= 18/19
10.1, 5.6689939701682, 0.9448712710250717, 0.05306694430356484, 0.056185527908566166, 0.9993871772906885, 0.9411764705882353= 16/17
10.08, 5.70657792081139, 0.9016751999219821, 0.06399122365158733, 0.06685150968902732, 0.9990582475566806, 0.9444444444444444= 17/18
10.06, 5.692186650409449, 0.934603812756424, 0.05544488254460042, 0.058003808868928634, 0.9992891750208855, 0.9444444444444444= 17/18
10.04, 5.738201136644428, 0.8686228482003129, 0.0805972984424907, 0.08344102152677749, 0.998425463399552, 0.9473684210526315= 18/19
10.02, 5.692640960574364, 0.9308583139059108, 0.05771840495029178, 0.05984665395442222, 0.9991785981248721, 0.9473684210526315= 18/19
10.0, 5.751707795584549, 0.8634210868434753, 0.07148187531787113, 0.0732484107300898, 0.9986897235049308, 0.95= 19/20
9.9, 5.710343388789261, 0.9193150423465495, 0.05923395008325226, 0.05971055833715001, 0.9989793537191491, 0.875= 21/24
9.8, 5.731451190406891, 0.896054834390827, 0.07771286448358448, 0.07578897056411729, 0.9979837966258921, 0.8888888888888888= 24/27
9.7, 5.6179353474929705, 1.0393453615707484, 0.042090492739450494, 0.04308933892604525, 0.9994951898202076, 0.8695652173913043= 20/23
9.6, 5.525610907783256, 1.1390326971355975, 0.03826630932137178, 0.0382949113951975, 0.9995207520482163, 0.9166666666666666= 22/24
9.5, 5.655377661775472, 1.0071919661329858, 0.0744646407516711, 0.06909549529575645, 0.9990478200592902, 0.9285714285714286= 13/14
9.4, 5.709155744453593, 0.9566969669997105, 0.07527256426187626, 0.06680766958140698, 0.9988720036616798, 0.9375= 15/16
9.3, 5.802468512837074, 0.865021092362344, 0.08714155826591262, 0.07670272361684796, 0.9985372009389124, 0.8333333333333334= 15/18
9.2, 5.7859377240785905, 0.8864383604617796, 0.08172743942858648, 0.07092479034506842, 0.9987056319358204, 0.7894736842105263= 15/19
9.1, 5.719620562969658, 0.933620627518061, 0.04569258602958808, 0.04547635730190083, 0.9994579707140043, 0.59375= 19/32
9.0, 5.682311664924501, 0.965067489107148, 0.03573564028629441, 0.03522789258964399, 0.9996442345774305, 0.5714285714285714= 20/35
8.9, 5.845810919981873, 0.859223315796732, 0.05218730163727008, 0.03929539341742074, 0.9995619563264526, 0.5416666666666666= 13/24
