Full, log(Age), M,log(Teff),Mbol, Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
73,10.300,0.6568,3.601,-1.07,-0.08,1.73,1.50,0.80,1.51,2.55
74,10.300,0.6568,3.615,-0.77,0.09,1.59,1.42,0.75,1.41,2.39
75,10.300,0.6568,3.620,-0.68,0.13,1.53,1.39,0.73,1.38,2.33
76,10.300,0.6569,3.611,-0.88,0.01,1.64,1.45,0.77,1.44,2.44
77,10.300,0.6569,3.602,-1.09,-0.10,1.72,1.49,0.80,1.50,2.54
78,10.300,0.6569,3.594,-1.28,-0.22,1.76,1.52,0.83,1.60,2.65
79,10.300,0.6570,3.580,-1.58,-0.38,1.80,1.55,0.87,1.74,2.81
80,10.300,0.6570,3.570,-1.80,-0.45,1.82,1.56,0.91,1.88,2.97
81,10.300,0.6570,3.553,-2.11,-0.36,1.81,1.58,1.02,2.22,3.39
82,10.300,0.6570,3.546,-2.26,-0.34,1.80,1.59,1.07,2.37,3.57
83,10.300,0.6570,3.531,-2.50,-0.02,1.66,1.60,1.19,2.70,4.18
84,10.300,0.6570,3.516,-2.75,0.34,1.49,1.61,1.32,3.06,4.84
85,10.300,0.6570,3.501,-3.00,0.47,1.43,1.61,1.37,3.32,5.28
86,10.300,0.6570,3.489,-3.24,0.52,1.41,1.61,1.40,3.52,5.59
87,10.300,0.6570,3.475,-3.48,0.59,1.38,1.62,1.43,3.73,5.95
88,10.300,0.6570,3.471,-3.57,0.59,1.37,1.62,1.44,3.80,6.05
89,10.300,0.6570,3.463,-3.70,0.65,1.36,1.62,1.46,3.93,6.27
90,10.300,0.5473,3.700,-3.21,-2.96,0.87,1.05,0.52,0.98,1.58
91,10.300,0.5473,4.078,-3.21,-2.56,-0.47,-0.12,-0.02,-0.06,-0.20
92,10.300,0.5473,4.252,-3.21,-1.59,-0.79,-0.20,-0.08,-0.18,-0.44
93,10.300,0.5473,4.403,-3.21,-0.74,-0.98,-0.25,-0.11,-0.26,-0.62
94,10.300,0.5473,4.525,-3.18,-0.06,-1.09,-0.29,-0.13,-0.31,-0.72
95,10.300,0.5473,4.639,-3.15,0.75,-1.14,-0.31,-0.14,-0.33,-0.75
96,10.300,0.5473,4.717,-3.07,1.39,-1.16,-0.32,-0.14,-0.34,-0.77
97,10.300,0.5473,4.793,-2.97,2.02,-1.17,-0.34,-0.15,-0.36,-0.80
98,10.300,0.5473,4.865,-2.84,2.65,-1.18,-0.35,-0.16,-0.37,-0.82
99,10.300,0.5473,4.931,-2.66,3.28,-1.19,-0.36,-0.16,-0.38,-0.84
100,10.300,0.5473,4.992,-2.46,3.91,-1.20,-0.37,-0.17,-0.39,-0.86
101,10.300,0.5473,4.995,-2.30,4.10,-1.20,-0.37,-0.17,-0.39,-0.86
102,10.300,0.5473,4.998,-2.13,4.29,-1.20,-0.37,-0.17,-0.39,-0.86
103,10.300,0.5473,5.001,-1.96,4.48,-1.20,-0.37,-0.17,-0.39,-0.86
104,10.300,0.5473,5.002,-1.80,4.64,-1.20,-0.37,-0.17,-0.39,-0.86
105,10.300,0.5473,5.001,-1.63,4.80,-1.20,-0.37,-0.17,-0.39,-0.86
106,10.300,0.5473,5.001,-1.47,4.96,-1.20,-0.37,-0.17,-0.39,-0.86
107,10.300,0.5473,5.000,-1.31,5.12,-1.20,-0.37,-0.17,-0.39,-0.86
108,10.300,0.5473,5.000,-1.16,5.27,-1.20,-0.37,-0.17,-0.39,-0.86
109,10.300,0.5473,4.998,-1.01,5.41,-1.20,-0.37,-0.17,-0.39,-0.86
110,10.300,0.5473,4.989,-0.85,5.51,-1.20,-0.37,-0.17,-0.39,-0.86
111,10.300,0.5473,4.980,-0.69,5.60,-1.20,-0.37,-0.17,-0.39,-0.85
112,10.300,0.5473,4.971,-0.54,5.69,-1.20,-0.37,-0.17,-0.38,-0.85
113,10.300,0.5473,4.967,-0.47,5.73,-1.20,-0.37,-0.17,-0.38,-0.85
114,10.300,0.5473,4.960,-0.24,5.91,-1.20,-0.36,-0.17,-0.38,-0.85
115,10.300,0.5473,4.953,-0.01,6.09,-1.19,-0.36,-0.17,-0.38,-0.85
116,10.300,0.5473,4.945,0.22,6.26,-1.19,-0.36,-0.17,-0.38,-0.84
117,10.300,0.5473,4.937,0.38,6.38,-1.19,-0.36,-0.16,-0.38,-0.84
118,10.300,0.5473,4.922,0.65,6.53,-1.19,-0.36,-0.16,-0.38,-0.84
119,10.300,0.5473,4.910,0.85,6.65,-1.19,-0.35,-0.16,-0.38,-0.83
120,10.300,0.5473,4.900,1.02,6.75,-1.19,-0.35,-0.16,-0.37,-0.83
121,10.300,0.5473,4.900,1.02,6.75,-1.19,-0.35,-0.16,-0.37,-0.83
122,10.280,0.6000,3.599,7.58,8.59,1.08,1.35,0.84,1.61,2.58
123,10.280,0.6200,3.609,7.40,8.34,1.04,1.31,0.82,1.53,2.48
124,10.280,0.6400,3.620,7.22,8.06,1.01,1.26,0.79,1.46,2.36
125,10.280,0.6600,3.631,7.03,7.79,0.98,1.21,0.76,1.38,2.24
126,10.280,0.6800,3.643,6.84,7.50,0.92,1.16,0.72,1.31,2.13
127,10.280,0.6950,3.652,6.69,7.28,0.87,1.12,0.69,1.25,2.04
