#Aglomerado NGC 2420, Ag = 0.09784359, E = 0.05253065999999999
Metodo,Age,ModDist
DIAS2022, 9.3, 11.932494827753267
Inicial, 8.6, 10.65
Chi, 9.2, 12.15
Beauchamp, 9.3, 11.850000000000001
