Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,(B-V)TurnOff,MvTurnOff, Ajustadas/Total
10.3, 5.812569629878513, 0.7758639410069135, 0.07899401003720628, 0.08452332707447946, 0.9988936766860113, 0.79, 5.15, 1.0= 14/14
10.28, 5.8489203447977625, 0.7188974255484766, 0.08778878655260204, 0.09322739271044327, 0.9985388749543238, 0.78, 5.06, 1.0= 15/15
10.26, 5.943981563552561, 0.6122788512675061, 0.11931599986537209, 0.12404058865749971, 0.9971912842856216, 0.77, 4.87, 1.0= 16/16
10.24, 5.761085133827797, 0.826760453617112, 0.06271882672378579, 0.06646459790776658, 0.9992305168344905, 0.77, 5.05, 1.0= 15/15
10.22, 5.814514676751306, 0.7665135962542768, 0.07497009746253794, 0.07865654904695321, 0.9988383107710861, 0.76, 4.96, 1.0= 16/16
10.2, 5.786583231227027, 0.8009778137580943, 0.06584139430093056, 0.06911033727714562, 0.9990949724788554, 0.75, 4.93, 1.0= 16/16
10.18, 5.9136399432981595, 0.6645216569538492, 0.10192125781811322, 0.10434367658692446, 0.9976320905551762, 0.74, 4.74, 1.0= 18/18
10.16, 5.8097282326467035, 0.7731531936991498, 0.08051485081403226, 0.08354875011835058, 0.9985626435777706, 0.74, 4.86, 1.0= 17/17
10.14, 5.756855622201573, 0.837864239249809, 0.06795823732251506, 0.07062946467151733, 0.9989564948364474, 0.73, 4.81, 1.0= 17/17
10.12, 5.942502413784567, 0.632125244473051, 0.10188380783224937, 0.10303741168692918, 0.9975107611225834, 0.72, 4.6, 1.0= 19/19
10.1, 5.732157256405617, 0.870888640215906, 0.0655419202451752, 0.06834167701183273, 0.9990209041616059, 0.72, 4.76, 1.0= 17/17
10.08, 5.809409009033691, 0.781967481456622, 0.09435013852607978, 0.09711930082087886, 0.9978965161476905, 0.71, 4.64, 1.0= 18/18
10.06, 5.779668762289859, 0.8328452931564536, 0.08018422276143725, 0.08264941194361149, 0.9984637557703283, 0.7, 4.58, 1.0= 18/18
10.04, 5.835237278981847, 0.7559080822786308, 0.10325921553374551, 0.10540189566803855, 0.997348877475053, 0.69, 4.52, 1.0= 19/19
10.02, 5.790238257477852, 0.8174356775300193, 0.08923680550111014, 0.09122483712096607, 0.9979871967686953, 0.69, 4.46, 1.0= 19/19
10.0, 5.8577445873351754, 0.7412638368875157, 0.1020066342933009, 0.1030892995526382, 0.9972819027683765, 0.68, 4.4, 1.0= 20/20
9.9, 5.959335944786422, 0.6349925387054656, 0.11764898105459644, 0.11431643408529642, 0.9957401790354568, 0.64, 4.08, 1.0= 24/24
9.8, 5.980204487859627, 0.6135621399321316, 0.13514266860572136, 0.12749333857621536, 0.9936769219033358, 0.6, 3.76, 1.0= 27/27
9.7, 5.672724180656448, 0.9784298243482903, 0.05007011593400328, 0.04932704758300505, 0.9991829838051439, 0.6, 4.12, 1.0= 23/23
9.6, 5.595648953175561, 1.059584545206441, 0.049179834216707644, 0.047885246493961954, 0.999151380934805, 0.57, 4.01, 1.0= 24/24
9.5, 5.727647043146871, 0.9271445513418435, 0.09259916445972578, 0.08390833318490341, 0.9984354381389778, 0.54, 3.71, 1.0= 14/14
9.4, 5.7779901732410535, 0.8821868140840596, 0.09373279404966044, 0.08143196636443202, 0.9981629138229067, 0.5, 3.4, 1.0= 16/16
9.3, 5.930239708236592, 0.7354078715336305, 0.12124048054743765, 0.10093871740105777, 0.9966728748026863, 0.45, 2.97, 1.0= 18/18
9.2, 5.913284176655326, 0.7685598815015364, 0.11723552584703235, 0.0953977848526883, 0.9966756246780208, 0.4, 2.63, 1.0= 19/19
9.1, 5.807425520283318, 0.8667865318498507, 0.06940642911192244, 0.059444008294704656, 0.9978643485482973, 0.35, 2.44, 1.0= 32/32
9.0, 5.757697157800873, 0.9167417077199689, 0.061401308422247336, 0.051948448400936535, 0.9981853444451699, 0.28, 2.06, 0.9714285714285714= 34/35
8.9, 5.84936011427572, 0.8519570591493459, 0.07040318100829639, 0.05176070404305177, 0.9984102678714399, 0.2, 1.57, 1.0= 24/24
8.8, 5.833509305722697, 0.9104790233343181, 0.049718825202961205, 0.03249979907584012, 0.9992381408321852, 0.12, 1.13, 0.8846153846153846= 23/26
8.7, 5.773679161613784, 0.9660509089153959, 0.039336171457041505, 0.02467097231064767, 0.99948980158565, 0.06, 0.79, 0.8571428571428571= 24/28
8.6, 5.683041102729803, 1.045191963722743, 0.03373520038929283, 0.020563202776825846, 0.9995950149904774, 0.0, 0.63, 0.8620689655172413= 25/29
8.5, 5.616532650819637, 1.1113297100698412, 0.03252486319174264, 0.019580559939564424, 0.9995810796813325, -0.04, 0.52, 0.9= 27/30
8.4, 5.572478628237145, 1.1453051597281108, 0.032181580895281864, 0.020268141873411888, 0.9995500559579307, -0.07, 0.16, 0.8787878787878788= 29/33
8.3, 5.594562239232562, 1.1243223758993413, 0.037100610903404274, 0.02480704427756147, 0.9994068328068552, -0.09, -0.03, 0.8285714285714286= 29/35
8.2, 5.685344073607611, 1.0796525153932275, 0.06241634219664771, 0.03630819340155399, 0.9983768505805549, -0.12, -0.7, 0.725= 29/40
8.1, 6.2114056522292875, 0.7222417038951199, 0.13885702919939508, 0.07140141319261385, 0.9930760309532963, -0.14, -1.85, 0.6122448979591837= 30/49
8.0, 5.6816217257003325, 1.0874935271898996, 0.0559260830437777, 0.032556110308387745, 0.9986945301147807, -0.14, -0.78, 0.6904761904761905= 29/42
