  ID     REF  V        B-V
 0228   248  19.660   0.910
 0229   248  19.970   1.060
 0230   248  17.390   0.510
 0231   248  19.770   0.820
 0232   248  20.940   1.250
 0233   248  18.630   1.170
 0234   248  18.040   0.900
 0235   248  16.800   0.510
 0236   248  18.710   0.720
 0237   248  17.480   0.750
 0238   248  19.790   1.140
 0239   248  20.910   1.540
 0240   248  19.510   1.140
 0241   248  20.370   1.070
 0242   248  19.370   0.940
 0243   248  20.780   1.150
 0244   248  16.080   0.590
 0245   248  19.890   1.320
 0246   248  19.890   1.320
 0247   248  19.530   1.210
 0248   248  19.330   1.010
 0249   248  19.470   0.960
 0250   248  20.800   1.490
 0251   248  20.410   0.940
 0252   248  17.590   0.690
 0253   248  20.710   1.260
 0254   248  19.370   1.020
 0255   248  19.260   1.040
 0256   248  16.980   0.940
 0257   248  20.800   1.210
 0258   248  20.770   1.120
 0259   248  19.760   0.980
 0260   248  18.960   0.970
 0261   248  20.100   1.180
 0262   248  20.670   1.060
 0263   248  19.510   1.140
 0264   248  17.690   0.670
 0265   248  19.240   1.120
 0266   248  17.320   0.720
 0267   248  18.360   1.060
 0268   248  17.730   0.750
 0269   248  19.270   0.970
 0270   248  20.940   1.230
 0271   248  21.060   1.340
 0272   248  19.580   0.950
 0273   248  19.320   0.910
 0274   248  19.580   0.960
 0275   248  18.920   1.010
 0276   248  21.490   1.230
 0277   248  19.030   0.860
 0278   248  19.400   1.290
 0279   248  19.250   1.030
 0280   248  18.520   0.890
 0281   248  19.290   0.980
 0282   248  18.530   0.960
 0283   248  20.400   1.150
 0284   248  20.960   1.310
 0285   248  19.560   1.110
 0286   248  18.000   0.750
 0287   248  20.300   1.120
 0288   248  20.230   0.980
 0289   248  21.050   1.100
 0290   248  20.800   1.100
 0291   248  18.720   0.990
 0292   248  18.100   0.670
 0293   248  19.930   0.980
 0294   248  19.890   1.170
 0295   248  20.430   1.210
 0296   248  16.470   0.570
 0297   248  20.160   1.240
 0298   248  19.890   1.100
 0299   248  19.650   0.980
 0300   248  18.150   0.810
 0301   248  18.060   1.040
 0302   248  20.230   1.140
 0303   248  20.430   1.250
 0304   248  20.120   0.940
 0305   248  21.230   1.020
 0306   248  18.970   0.790
 0307   248  19.110   0.910
 0308   248  16.240   0.750
 0309   248  19.750   0.910
 0310   248  19.110   0.950
 0311   248  20.560   1.190
 0312   248  17.650   0.800
 0313   248  18.750   1.090
 0314   248  21.000   1.220
 0315   248  19.230   1.130
 0316   248  19.520   0.890
 0317   248  19.950   1.020
 0318   248  19.650   0.990
 0319   248  18.950   0.880
 0320   248  20.090   0.920
 0321   248  20.470   1.070
 0322   248  18.330   0.940
 0323   248  19.450   0.880
 0324   248  19.210   0.870
 0325   248  20.460   1.100
 0326   248  18.050   1.010
 0327   248  20.340   1.280
 0328   248  19.990   1.230
 0329   248  19.660   0.900
 0330   248  20.280   1.270
 0331   248  17.950   0.840
 0332   248  18.110   0.870
 0333   248  20.830   1.270
 0334   248  18.660   0.980
 0335   248  19.180   1.400
 0336   248  18.610   0.930
 0337   248  20.370   1.000
 0338   248  17.910   1.030
 0339   248  21.180   1.130
 0340   248  20.040   1.120
 0341   248  17.940   0.900
 0342   248  20.640   1.150
 0343   248  19.400   0.880
 0344   248  19.170   1.170
 0345   248  19.910   1.040
 0346   248  20.080   1.180
 0347   248  19.620   1.190
 0348   248  20.980   1.270
 0349   248  20.700   1.390
 0350   248  21.300   1.810
 0351   248  18.340   0.900
 0352   248  20.830   1.520
 0353   248  18.850   1.130
 0354   248  15.750   0.530
 0355   248  19.370   1.070
 0356   248  19.460   1.080
 0357   248  19.990   1.250
 0358   248  19.880   0.960
 0359   248  20.440   1.070
 0360   248  20.160   1.220
 0361   248  19.950   1.310
 0362   248  19.070   0.870
 0363   248  19.340   0.890
 0364   248  19.250   1.070
 0365   248  18.570   0.790
 0366   248  18.820   1.070
 0367   248  18.610   1.100
 0368   248  19.220   1.010
 0369   248  19.750   1.080
 0370   248  19.020   0.870
 0371   248  20.450   1.150
 0372   248  20.360   0.960
 0373   248  17.260   1.500
 0374   248  19.660   1.090
 0375   248  21.000   1.020
 0376   248  19.390   0.940
 0377   248  20.530   1.070
 0378   248  20.640   1.210
 0379   248  17.030   0.610
 0380   248  16.350   1.550
 0381   248  18.230   0.840
 0382   248  19.780   0.980
 0383   248  20.850   1.420
 0384   248  17.730   0.630
 0385   248  17.700   0.730
 0386   248  16.510   0.720
 0387   248  16.700   0.670
 0388   248  20.190   0.950
 0389   248  20.280   1.220
 0390   248  19.620   1.080
 0391   248  20.730   1.220
 0392   248  20.880   0.940
 0393   248  18.090   0.750
 0394   248  15.970   0.820
 0395   248  18.540   0.880
 0396   248  20.200   1.080
 0397   248  18.170   0.680
 0398   248  21.180   1.470
 0399   248  18.000   0.850
 0400   248  20.250   1.110
 0401   248  17.880   0.620
 0402   248  18.980   0.880
 0403   248  19.510   1.060
 0404   248  19.160   0.950
 0405   248  19.860   1.000
 0406   248  17.850   0.720
 0407   248  21.200   1.110
 0408   248  17.590   0.870
 0409   248  18.720   1.150
 0410   248  20.630   1.170
 0411   248  17.900   0.890
 0412   248  20.430   1.090
 0413   248  17.640   0.610
 0414   248  19.510   1.170
 0415   248  20.540   0.980
 0416   248  21.210   1.620
 0417   248  20.740   1.190
 0418   248  20.760   1.020
 0419   248  19.990   1.040
 0420   248  19.840   0.970
 0421   248  18.850   0.760
 0422   248  21.130   1.150
 0423   248  20.450   0.940
 0424   248  18.320   0.750
 0425   248  19.330   0.840
 0426   248  21.140   1.120
 0427   248  20.620   1.010
 0428   248  21.340   1.210
 0429   248  17.900   0.860
 0430   248  20.630   0.960
 0431   248  16.820   0.650
 0432   248  20.900   1.130
 0433   248  15.470   0.700
 0434   248  20.660   0.990
 0435   248  19.730   1.050
 0436   248  21.310   1.120
 0437   248  19.160   0.910
 0438   248  20.570   1.360
 0439   248  20.490   1.170
 0440   248  20.020   1.060
 0441   248  19.320   1.100
 0442   248  19.060   0.960
 0443   248  16.220   1.550
 0444   248  19.220   1.020
 0445   248  19.030   0.840
 0446   248  18.800   0.900
 0447   248  20.070   1.230
 0448   248  17.610   0.670
 0449   248  19.120   1.040
 0450   248  18.430   0.750
 0451   248  17.840   0.780
 0452   248  20.260   1.010
 0453   248  20.340   1.500
 0454   248  20.440   1.220
 0455   248  18.150   0.790
 0456   248  20.660   0.980
 0457   248  19.300   0.930
 0458   248  20.370   1.080
 0459   248  20.640   1.020
 0460   248  20.130   1.220
 0461   248  20.660   1.180
 0462   248  19.160   0.870
 0463   248  19.280   0.830
 0464   248  20.820   1.100
 0465   248  17.920   0.640
 0466   248  19.230   0.960
 0467   248  21.130   1.260
 0468   248  20.640   1.160
 0469   248  17.390   0.810
 0470   248  20.440   1.020
 0471   248  21.010   1.170
 0472   248  20.870   1.080
 0473   248  20.430   1.090
 0474   248  19.200   1.320
 0475   248  20.070   0.960
 0476   248  18.180   0.610
 0477   248  19.260   0.850
 0478   248  18.560   0.890
 0479   248  20.200   1.110
 0480   248  19.500   0.960
 0481   248  20.750   1.000
 0482   248  20.410   1.000
 0483   248  19.530   0.920
 0484   248  20.640   1.310
 0485   248  20.350   1.020
 0486   248  20.630   0.980
 0487   248  18.960   0.780
 0488   248  20.080   1.020
 0489   248  20.780   1.200
 0490   248  20.270   0.950
 0491   248  18.380   0.940
 0492   248  17.900   0.890
 0493   248  17.940   0.880
 0494   248  19.130   0.860
 0495   248  16.090   0.280
 0496   248  19.000   0.920
 0497   248  19.680   1.000
 0498   248  18.930   0.790
 0499   248  20.200   1.460
 0500   248  19.930   1.060
 0501   248  19.500   0.890
 0502   248  21.100   1.370
 0503   248  19.520   0.880
 0504   248  18.450   0.810
 0505   248  19.240   0.870
 0506   248  20.600   1.130
 0507   248  20.440   0.930
 0508   248  20.760   1.020
 0509   248  16.180   0.750
 0510   248  20.030   1.060
 0511   248  20.430   1.080
 0512   248  20.410   1.260
 0513   248  19.840   1.350
 0514   248  18.990   0.990
 0515   248  18.480   0.670
 0516   248  18.500   0.900
 0517   248  19.070   0.980
 0518   248  19.640   0.870
 0519   248  17.300   1.000
 0520   248  20.640   1.060
 0521   248  19.180   0.920
