ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,labels
106.10424293444859,-19.897401645523402,-0.5354120314112402,0.08900167,0.8239562306461433,0.10327298,1.0812664,17.958426,0.23475584185018922,0.11168126,,,232.14503938896934,-6.189698481166879,0
106.10469039694198,-19.89570572993061,-0.8651058603072332,0.10783448,1.9936384949565986,0.1259935,1.1600895,18.295958,0.28984305892336204,0.1352194,,,232.1437045675219,-6.188561764893371,0
106.07280186603569,-19.905834054794504,-0.9574624141141367,0.11746647,1.7053050978780822,0.14050978,1.7653828,18.27186,0.4300671191488327,0.1626054,,,232.13928516031692,-6.219904002118008,0
106.07319494623573,-19.908642223117997,-1.0316482474757067,0.067846626,1.4038204734057578,0.07849834,1.0731812,17.416845,0.2611546812005509,0.08961828,,,232.14197680346228,-6.220832723025407,0
106.0568793937653,-19.901204916286932,-0.3211509114667872,0.05512263,1.4036997217479095,0.06087648,0.9986954,17.10625,0.3489084844674686,0.07105672,,,232.12837081294845,-6.231211034971346,0
106.06693511630452,-19.892180266058737,-0.5228693866421741,0.055500694,2.2479259517057355,0.062563606,1.007679,17.134668,0.2173304049685185,0.0729695,,,232.12452041980663,-6.21871307166564,0
106.05928242274129,-19.89723159779414,-0.76511521545643,0.02901267,2.2187265113394665,0.03230884,0.71185684,15.718786,0.27920887639515507,0.035577167,,,232.12581704014227,-6.227410000777802,0
106.08699823185191,-19.8965762078739,-0.7593783471337071,0.026834704,2.032279689047759,0.028953489,0.53978825,15.610779,0.12292187669628737,0.031906236,,,232.13698225322483,-6.203821376963937,0
106.14361610908381,-19.882546222765246,-0.553621258629886,0.016628418,1.8922343551943461,0.019169072,0.9395466,14.563138,0.317941052318708,0.020876056,49.799423,11.802327,232.14839227678863,-6.149944447604682,0
106.11940940792853,-19.89493575821317,-0.715490363694768,0.11520149,1.3922485164724385,0.14026305,0.75268555,18.37872,0.35654187737867327,0.14604001,,,232.14925701570084,-6.175846391517489,0
106.1347657350924,-19.877616292808018,-0.6188243655488166,0.089780346,1.6460369253939227,0.1045199,0.819643,17.816086,0.36327690523860334,0.11159531,,,232.14020476601394,-6.1551703793373465,0
106.14855354855919,-19.885619887038484,-0.4716211286529326,0.053630464,1.5118981729266758,0.06345033,1.0722389,17.042046,0.31904826611909126,0.06858069,,,232.1532505621335,-6.147174346633887,0
106.15643389972327,-19.864224078139795,-0.982801643695691,0.08221429,2.4854073770769842,0.096997775,1.1829662,17.870216,0.31950094966740433,0.10209467,,,232.1373651210851,-6.130949614700141,0
106.16121067318129,-19.86235623515087,-0.7544842748471414,0.044197198,1.6340029152578408,0.051024202,1.1043358,16.738071,0.3853290330641683,0.056095645,,,232.13771435607174,-6.12609661819406,0
106.10145972182242,-19.857638496155975,-0.7842999718881981,0.050277583,2.236466318840717,0.05848274,0.6996441,16.79884,0.15456459382514853,0.060725812,,,232.10811192803132,-6.174202204356984,0
106.15592612154286,-19.84458156689938,-0.4838223435926088,0.034980465,0.851366028724746,0.041054945,1.693264,16.346907,0.21812936334907307,0.045427628,,,232.11949576843986,-6.122560343711652,0
106.14046997970081,-19.83676481257071,-0.6819259189523798,0.052324314,2.1693090523854317,0.06034089,1.1863747,17.091248,0.13417726887543735,0.06475239,,,232.1059077862568,-6.132044263182301,0
106.13334965835678,-19.832424132087635,-0.8946694738485409,0.057211537,1.3826473168236537,0.068036266,1.5949478,17.238913,0.14553781302478502,0.07175616,,,232.09898329443158,-6.136081895674258,0
106.01332943176594,-19.905899192288242,-0.5882627323533042,0.09758423,2.046685414518746,0.105375,1.1631947,18.002312,0.2885752018132286,0.12452511,,,232.11412956487095,-6.269920394713046,0
106.00430144868956,-19.87736815461568,-0.21374101835447157,0.090137,1.4907819678254075,0.09566507,1.1698704,17.89435,0.3001354844317189,0.11241886,,,232.0846429386304,-6.264725210772929,0
106.00460771186471,-19.898289712841272,-0.4018647075587196,0.047478933,1.637214130903226,0.05004202,1.601593,15.3398075,0.2696896810590309,0.05768346,,,232.10358903830968,-6.273842247949135,0
106.03514272929435,-19.872208582806284,-0.6542827603761205,0.047137283,2.0337144977898234,0.050859395,1.1291275,16.7618,0.14556670052757856,0.05910973,,,232.0930795206773,-6.236484481414466,0
106.05766402316843,-19.88263397707332,-0.638216888434535,0.022386912,0.7194123847993898,0.025190663,0.9527483,15.249479,0.15334830256135645,0.026811562,,,232.11200492402497,-6.222225892327125,0
106.04661518918535,-19.862113528408397,-1.1057831078243574,0.079323515,1.1586287980011802,0.08627216,1.127739,17.654411,0.2263859820727878,0.0981923,,,232.0888674934774,-6.2223142846193324,0
106.05741267831912,-19.858199314911296,-0.28269778665217077,0.023247141,2.055482748504543,0.025770575,0.82747746,15.163805,0.25991882770741565,0.027166508,,,232.0899279760343,-6.211481933299933,0
106.01401374450784,-19.880077673333478,-1.0051647497114367,0.09291291,1.6230899641150893,0.095119804,1.1733112,17.911972,0.3666476358152585,0.11469334,,,232.0911971694133,-6.257774177612287,0
106.02029231231415,-19.83980952916638,-1.168896166220376,0.034980927,1.503951802275771,0.0363844,0.8076,16.052834,0.24621298865483995,0.040424895,,,232.05764712932307,-6.234447942234451,0
106.03275048318412,-19.823808661812823,-0.6893391504252976,0.033830665,0.9240593679070693,0.03618321,0.79569817,16.071945,0.15364779631211808,0.039073832,,,232.0485436179878,-6.216799411463725,0
106.00689358014505,-19.79947399589307,-0.5059269587540286,0.106582105,1.6371215384046613,0.11912211,1.4200134,18.285145,0.30438642757039625,0.13884148,,,232.01569260210005,-6.227636477819577,0
106.07857305305964,-19.84833594618619,-0.18673445276906547,0.02517918,2.338732469738154,0.029998638,1.647851,15.431532,0.18548428421047725,0.03111451,,,232.09003735345553,-6.189269496078546,0
106.08053716599855,-19.848282161309918,-0.181699818138636,0.041605126,1.25330157697107,0.050205506,0.6811657,16.35895,0.12944278446065138,0.054321807,,,232.09082239894883,-6.187594153663587,0
106.11192664370019,-19.829329480548946,-0.7077523062929358,0.03741749,1.1890722129452642,0.046448246,1.6995516,16.41388,0.14655992928892564,0.04729839,,,232.08710683746077,-6.152703249438394,0
106.09688187930442,-19.82778188809793,-0.3529991210552826,0.018990457,1.0058951945667665,0.022232093,1.836669,14.84234,0.14364080387324052,0.022786811,132.02454,4.7011404,232.07932951800248,-6.16465757584551,0
106.0510679232613,-19.83686934742549,-0.4969820876120268,0.07305691,2.102616812268132,0.077266365,1.1453686,17.493574,0.3929642822685649,0.0902614,,,232.0680580990667,-6.2072526271157775,0
106.11953226221401,-19.81319106354925,-0.6423070396132826,0.025630489,0.7525041985087834,0.030092122,1.4236574,15.661756,0.2690244201546629,0.03124941,,,232.07582970379391,-6.139067752398803,0
106.15402559138013,-19.794134064106746,-0.32813957624354384,0.067875795,2.4916590876022133,0.07915786,1.1371765,17.497744,0.2627139494608559,0.08359953,,,232.07335121835413,-6.1015135658958215,0
106.12370326634861,-19.785443138095403,-0.20681228599913418,0.061816726,2.011735098358807,0.07054113,0.9866314,17.366056,0.21318979362616725,0.07514224,,,232.05266112665205,-6.123108783939043,0
106.11095333447089,-19.78524698680568,-0.7449838024929624,0.09228775,0.6615719293099966,0.10527561,1.1884823,18.053549,0.24846857487955643,0.11303083,,,232.04707009790963,-6.1337422043691605,0
106.10523043153904,-19.777910460886165,-0.5439575589274663,0.09649667,1.917631403487171,0.11161186,1.0025177,18.137867,0.3300593515395761,0.11768815,,,232.03804553683113,-6.135262814199996,0
106.12772758722859,-19.7710300374107,-0.8101652439816016,0.024395034,1.95286032970217,0.029646918,0.8772249,15.581009,0.2553919462463008,0.02988868,,,232.0414166376065,-6.1132560700625485,0
106.1243744112995,-19.78054704106836,-0.7202910472486539,0.032081187,2.156414617403179,0.036419716,0.8978605,15.953542,0.2789870138406671,0.039244846,,,232.04854573533802,-6.120347124371875,0
106.14167702822648,-19.760974159599737,-0.5899772616584698,0.016066488,1.0147665014076053,0.018082777,0.5846729,14.409591,0.2028740984692543,0.018508168,,,232.03830546037673,-6.097011574701669,0
106.13132366629725,-19.763898719313435,-0.9325056716645967,0.114784874,2.352221126732781,0.1373555,1.249012,18.386553,0.336687393628706,0.14259525,,,232.036535179511,-6.1070311478377235,0
106.12488127456517,-19.758588980252338,-0.8097269082655866,0.09827054,0.7301273718073016,0.117160976,1.1555538,18.179554,0.37882316459603144,0.12342065,,,232.02902639564513,-6.110065925408815,0
106.07408893880843,-19.789165642582073,-0.31537066850553247,0.090200305,0.9709622053952975,0.10665603,1.187418,18.11366,0.33359565526545515,0.11140589,,,232.0349403061401,-6.166501255145382,0
106.0634217369177,-19.775185318013467,-0.27097190964658013,0.10262571,0.9508938187365238,0.11983678,1.268795,18.206108,0.2741750998927358,0.13070703,,,232.01784396339335,-6.169201954787108,0
106.01452979768628,-19.80261982163048,-0.6418709157139582,0.07447912,1.1406174586745252,0.08061368,0.81371117,17.543736,0.226251169541286,0.09512189,,,232.0217609590541,-6.222624042885375,0
106.01787054042425,-19.77906811957261,-1.1646348179550563,0.042944588,1.6327383578181935,0.044303164,0.9990816,16.360857,0.33173470225436075,0.051813062,,,232.00200122264326,-6.209256392998671,0
106.03772712308158,-19.77537883592178,-0.4316927595342724,0.06386689,2.1760949746722758,0.068713866,1.1043015,17.172651,0.4143849636428263,0.076474585,,,232.0071110747693,-6.190900275380001,0
106.0413785737823,-19.769858533810865,-0.7363926910484653,0.035440695,0.7628758896850314,0.040114854,0.94673157,16.207598,0.4150606718312173,0.044016287,,,232.00369782852897,-6.185353553661207,0
106.05116657970628,-19.763146146410936,-0.3117260483288033,0.03020411,1.1263959483727182,0.03340415,1.7303209,15.972971,0.15035295304502888,0.036602773,,,232.00181817863339,-6.174110255925829,0
106.04835458452875,-19.767768987299355,-0.8269383045815681,0.04803876,1.3791125080652495,0.052497983,1.1162472,16.835514,0.1869640139825739,0.05871414,,,232.00478045049115,-6.178548748737933,0
106.10297215155747,-19.767121971690866,-0.37244463826738583,0.10634261,0.833211135647668,0.12596458,1.0190182,18.274096,0.27500185867795,0.12865926,,,232.0273895305103,-6.132321105055634,0
106.08906884189805,-19.76556054775154,-0.6888448732615744,0.09082237,0.7406961015162187,0.071139574,,14.659076,0.2593051392913376,0.07378492,132.92957,4.3365207,232.02008159869666,-6.143313690557328,0
106.07345986106749,-19.761030229253425,-1.188644797802815,0.044466503,0.5881789606165014,0.048415743,1.1900187,16.7165,0.23327001809833384,0.053457875,,,232.00938116504773,-6.154409714121902,0
106.07769722359151,-19.768910172103173,-0.31233813816743894,0.07587661,1.0834520287736131,0.08621664,1.1628933,17.706942,0.26621472862820034,0.09187403,,,232.0182638166265,-6.154380599673631,0
106.08598197711774,-19.756084776643878,-0.3296751519939459,0.045378998,0.886751957307508,0.05219221,0.84718895,16.828897,0.15379354974542372,0.055766854,,,232.0102532404519,-6.141658667889234,0
106.06358515330024,-19.75344838280923,-0.8714039698665988,0.062693276,1.9391973941045997,0.071347274,1.0348244,17.44554,0.21065607924598137,0.078184016,,,231.99837266200467,-6.159314694172111,0
106.06734065179812,-19.760345920163353,-0.3107145717989885,0.03402765,1.0183624675406684,0.038166855,1.673234,16.245775,0.19265016282808628,0.042029195,,,232.00616775696608,-6.159249715614517,0
106.05817769538037,-19.754220302432127,-0.17638916856027503,0.04491422,0.9574539089612055,0.049326215,0.79717827,16.636303,0.20484054575641406,0.053912934,,,231.9967705867688,-6.1642095102301955,0
106.06870575431094,-19.754401106708336,-0.36845928458487837,0.0974994,0.8221027192989658,0.11237477,1.1890583,18.18527,0.2775465329401981,0.12433211,,,232.0014033949739,-6.155434827970906,0
106.07313888479327,-19.753278272743916,-0.24698633321488678,0.096674874,0.9195490301594833,0.11364187,1.2061176,18.179893,0.2781702349963411,0.12767637,,,232.00227652013598,-6.151202230060127,0
106.07502004630133,-19.75025329793222,-0.4873799010474177,0.09811226,1.6905338066188884,0.116688535,1.2759018,18.0879,0.3959752195963011,0.12531027,,,232.00035620189425,-6.148262878807573,0
106.07895794431862,-19.746738345527127,-0.22775130925477424,0.05579538,0.8839151532546546,0.062369082,1.5780525,17.118979,0.1516977981819234,0.06779976,,,231.99886898771408,-6.143373602617477,0
106.07140953524055,-19.749582059775904,-0.348377442770776,0.09603525,0.9548097870104838,0.107797876,1.212122,18.012568,0.31636295329136127,0.12318175,,,231.9982195915307,-6.15099877358864,0
106.0650596470133,-19.748164974726595,-0.3151397187194099,0.06009378,1.0519022222769105,0.068372026,1.5843277,17.275782,0.23160453373974316,0.07542002,,,231.99424930503633,-6.155704459717877,0
106.06338932595308,-19.739439161410072,-0.33090682925213044,0.032534167,0.9527986065243008,0.03532795,1.6058874,16.06774,0.16575403277777728,0.038817447,,,231.9856961260177,-6.153195400461244,0
106.06017334012121,-19.746172340966556,-0.3094606157390819,0.020245077,0.9956885671454772,0.022518016,1.6375704,15.085371,0.1267797370841793,0.024348479,,,231.99038317845395,-6.1589209812336545,0
106.0888688213669,-19.730885148058405,-0.5098568285911814,0.044538584,1.588591423139432,0.049619805,0.6088085,16.655859,0.13471942375434393,0.052819192,,,231.98882890849737,-6.127923884668657,0
106.00293980727878,-19.765691316598197,-0.448847189357493,0.076524705,1.3909795627316524,0.086720206,1.2748871,17.702654,0.36871811739387594,0.10039409,,,231.9836373818157,-6.2158194228194015,0
106.0449390451989,-19.741279061453664,-0.3458316480559194,0.08839033,1.057524112042579,0.092966005,1.6261597,17.92081,0.2823541033470621,0.10942686,,,231.97951569223727,-6.169541831654451,0
106.04275365318482,-19.736675039940096,-0.8340141207886884,0.049142998,1.9259058834049103,0.05285646,1.2077732,16.893478,0.27882684184547385,0.060454942,,,231.97444879205267,-6.169315506297322,0
106.05259288689139,-19.723482521914846,-0.33459630159990933,0.016001754,0.943638431742775,0.017366828,1.9376221,14.419911,0.13098725913514522,0.019441908,134.81567,2.674658,231.96676724404654,-6.155120661760351,0
106.06214593720331,-19.714858871848186,-0.9218329410393098,0.17084031,1.0066192003519714,0.1956425,1.7148552,18.970009,0.4295688110929185,0.21007174,,,231.96307262195413,-6.143214996784714,0
106.06563217488427,-19.7169156743627,-0.33514723584656303,0.046861924,1.0358355438252072,0.04972461,1.6615858,16.722073,0.15035396557177444,0.056140035,,,231.96640223661007,-6.1412046102326014,0
106.05624450731987,-19.694290937975083,-0.6422122792675489,0.1257307,1.5292012447104304,0.14820768,1.2226658,18.645063,0.37166071410399976,0.15856956,,,231.94207757911812,-6.138953522902861,0
106.06211278962837,-19.698272926445338,-0.17540547644026283,0.041915804,1.1656238626305822,0.046205916,1.0935631,16.627121,0.22892154821367613,0.051469833,,,231.94814977212727,-6.135802149168437,0
