#Aglomerado NGC 2204, Av = 0.25, Ag = 0.2090675, E = 0.11224499999999998
Metodo,Age,ModDist
DIAS2022, 9.3, 13.071321436793525
Inicial, 9.1, 13
Chi, 9.2, 13.1
Beauchamp, 9.2, 12.9
