#Aglomerado King 8, Ag = 1.1540525999999998, E = 0.6195923999999998
Metodo,Age,ModDist
DIAS2022, 8.9, 13.71
Inicial, 8.7, 12.886302619207939
Chi, 9.1, 13.807039059207938
Beauchamp, 9.1, 13.857039059207938
