Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,p0,p1,p2,p3,p4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,6.60000,0.0900000036,1.0816895962,0.090,-1.674,3.4146,3.676,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.51e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.954,10.894,13.492,9.563
0.0152,0.01508,6.60000,0.0904459879,1.0859482288,0.090,-1.672,3.4147,3.677,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.51e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.950,10.889,13.488,9.558
0.0152,0.01508,6.60000,0.1045449004,1.2079875469,0.105,-1.617,3.4202,3.707,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.65e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.812,10.715,13.274,9.389
0.0152,0.01508,6.60000,0.1127000600,1.2692087889,0.113,-1.583,3.4236,3.719,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.83e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.727,10.585,13.090,9.266
0.0152,0.01508,6.60000,0.1202935278,1.3212469816,0.120,-1.566,3.4252,3.737,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-6.73e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.685,10.522,13.003,9.206
0.0152,0.01508,6.60000,0.1281977892,1.3710635900,0.128,-1.527,3.4295,3.742,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.09e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.587,10.368,12.779,9.060
0.0152,0.01508,6.60000,0.1360833645,1.4169346094,0.136,-1.498,3.4325,3.752,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.27e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.515,10.261,12.630,8.959
0.0152,0.01508,6.60000,0.1422811896,1.4506282806,0.142,-1.479,3.4347,3.761,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.36e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.467,10.187,12.527,8.889
0.0152,0.01508,6.60000,0.1504332125,1.4921480417,0.150,-1.443,3.4389,3.766,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.72e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.379,10.052,12.336,8.762
0.0152,0.01508,6.60000,0.1584092826,1.5300335884,0.158,-1.418,3.4417,3.774,0,0.000,0.545,0.00,0.00,0.00,0.00,0.00,-1,-7.91e-15,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.314,9.955,12.202,8.670
