source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels,prob,rradec
5516037218502245632,124.6987789089226,-47.84933720078426,-2.007763222848671,0.17024957,5.232225651572408,0.1655761,1.6435814,18.73074,0.4443659192333591,0.15014674,,,264.0921846995711,-6.654197714373459,1.0436838,355,37,37,0,1.0,0.06637838252692364
5516037390293339392,124.66027279773954,-47.84397868344076,-3.5176248437540547,0.04489745,4.0094572098336645,0.0454121,1.0819683,16.33452,0.4460297283037135,0.04144704,,,264.07325680073296,-6.672720319498607,1.1765203,395,41,42,0,1.0,0.08153659010046528
5516037390293340416,124.6670441922871,-47.848173816003076,-3.3165161872506195,0.123580426,3.4431130271729,0.122561075,1.3714123,18.360506,0.23745831202926013,0.11536847,,,264.0793094188291,-6.671267219540184,1.0317649,372,38,41,0,1.0,0.0801979502419663
5516037532036386176,124.6862347339174,-47.82278312167468,-3.967895359421128,0.088275716,5.202217599649028,0.08732506,1.4437771,17.740255,0.3323433750915744,0.08288117,,,264.0652425522424,-6.646459679603956,1.0840675,355,41,41,0,1.0,0.04839084747895025
5516037562092014592,124.6712674216624,-47.82736840443028,-3.9433888715738097,0.024681374,5.282115848751691,0.024742298,1.8394518,15.262014,0.18105680316103406,0.022677653,65.3911,5.7800274,264.06346727296574,-6.6573637088940565,1.0537635,385,40,38,0,1.0,0.06207587309691554
5516037562092014720,124.6725060808323,-47.82579551078685,-2.9385960114729976,0.11775234,4.453394635716224,0.118091285,1.5382004,18.328854,0.34581459383421165,0.110075966,,,264.0626145776899,-6.655799021901416,1.000472,372,35,35,0,1.0,0.06010174813835431
5516037566396119424,124.66919570837703,-47.822834432923294,-4.741225587661878,0.14135458,5.393292289040893,0.13973382,1.6130257,18.60115,0.5799260221070184,0.13052325,,,264.0588927861806,-6.656004711965297,1.0083566,380,39,41,0,1.0,0.06073828177758303
5516038352366118400,124.66957290926102,-47.792872360662166,-2.59628443857806,0.049463257,2.891153303933578,0.049757265,2.0455189,16.740593,0.12970985410668598,0.044862144,,,264.0339408680578,-6.63916621150156,1.0425059,380,46,44,0,1.0,0.048130934669902814
5516038356658490496,124.67479749484588,-47.788045200665124,-1.7157293757805574,0.12647411,2.3353264365749267,0.12579155,0.95420456,18.42095,0.2514025497674042,0.11091366,,,264.031859644739,-6.6335672223644035,1.0462072,398,40,42,0,1.0,0.04241953116474496
5516038386725862016,124.65398940701601,-47.791967783149374,-3.3737684559995245,0.065268666,5.801717380754628,0.06975832,1.4180565,17.276464,0.2512293465656433,0.060965836,,,264.0273345220135,-6.647373800715436,1.0163846,351,39,36,0,1.0,0.06347942931428008
5516038421085588480,124.66338553198747,-47.79460393673477,-3.388270510975504,0.2899173,6.3926564495906995,0.30648142,1.6625423,19.630358,0.6165986256751002,0.26907012,,,264.0330687272863,-6.643585031363931,1.0456095,360,36,39,0,1.0,0.05451516406421729
5516038421085593088,124.66467653442116,-47.79343162508033,-3.637652297916321,0.12297868,6.121572710074384,0.1331426,1.5865173,18.369171,0.4123184772000506,0.10866843,,,264.0325714252629,-6.642212984876316,1.0224694,381,42,41,0,1.0,0.05305574552406079
5516038597176600448,124.64047440365631,-47.77785788203629,-3.2987865222443933,0.07199787,6.006677607053287,0.07211743,1.4087391,17.448847,0.5179321504427971,0.064964585,,,264.0104436505003,-6.647101465591769,1.0912017,410,47,47,0,1.0,0.07705404895626972
5516038597188256640,124.64654479884263,-47.78711677052602,-3.9129024319849774,0.08567455,5.851853947659815,0.08823085,1.4501934,17.763336,0.4892832955771332,0.07874989,,,264.0204775198009,-6.6488438569767085,1.033372,378,39,43,0,1.0,0.07061615412858266
5516038700267462272,124.64295408760174,-47.75360461121708,-2.299895223073688,0.037649725,3.326522560311897,0.03806152,1.7882872,15.996731,0.23921825186441015,0.03173606,,,263.9910589405391,-6.632260443955087,1.0409311,355,38,33,0,1.0,0.0807748445425051
5516040109016791168,124.74797281964258,-47.84798688342867,-3.4177077493182497,0.045424063,4.177088453135783,0.049347255,1.3509836,16.619623,0.2064436314653078,0.040714093,,,264.10951548747977,-6.625995216946646,1.0115741,381,44,43,0,1.0,0.06963353277875413
5516040109016978176,124.74189575436895,-47.85247206928986,-3.2769366192776923,0.041857366,3.3697802811362445,0.045666616,1.0716381,16.441767,0.49493793592294943,0.0385135,,,264.1109882590424,-6.6318780717072885,1.0581477,369,39,38,0,1.0,0.07135304710920932
