B-V  V
      0.84419945       10.977517
       1.3386030       13.555686
      0.85537093       11.279496
       1.4898135       15.642200
       1.6774265       16.842002
       1.5620845       16.500565
      0.72358492       10.548674
       1.1642217       12.775689
       1.4652302       14.046378
       1.5795492       15.569133
       1.8025252       16.987380
       1.0200771       12.610474
       1.6105067       14.935237
       1.5189830       16.631197
       1.5811096       15.803301
       1.0066459       12.131236
       1.8363272       16.725993
       1.6261675       16.668216
       1.4381911       14.620867
       1.0860141       12.231028
       1.6226661       16.326340
       1.8267693       16.356762
       2.0044361       17.043287
       1.7471408       16.640289
       1.1483043       12.867420
       1.0836227       12.492001
       1.6892666       17.056013
      0.92135815       11.809078
       1.3983035       13.967885
       1.5796507       15.542114
      0.63577291       10.130748
      0.66161546       10.582609
      0.42202790       8.3857119
      0.36041217       6.3312439
       1.6490864       16.215502
       1.1497518       12.850010
       1.6178711       17.058876
       1.8920895       16.488717
      0.31871497       6.9197669
      0.90802322       11.217773
       1.1383843       12.890333
       1.8180499       17.125396
       1.6100010       16.593842
       1.0531990       12.035129
       1.8582831       17.135776
       1.7595117       16.895930
      0.34527833       8.2023133
       1.6467077       15.866460
       1.5760669       14.750264
      0.56720701       9.0848891
       1.7092319       17.067627
      0.30486753       6.8251610
       1.9532524       16.747502
       1.5015893       15.465006
      0.47050505       9.9588993
      0.28339158       8.1288965
       1.1952448       12.928772
      0.98788185       11.920840
      0.85739403       10.913266
      0.55293578       9.7684245
       1.5471654       15.118720
       1.6331645       15.530642
       1.0275368       12.129242
       1.2134779       13.507313
       1.4883988       14.203623
       1.2948461       13.385509
      0.97552668       12.415487
       1.0651683       12.804013
       1.4143607       14.080930
       1.7000184       16.610986
       1.3829841       14.465850
       1.2383483       13.336522
      0.32766497       8.6490467
       1.6146794       17.315217
      0.34301956       7.8466337
      0.67728199       10.141997
      0.41337000       8.2151890
       1.2979888       13.634770
       1.7200347       15.906314
       1.6962287       16.198620
       1.7374583       16.888746
       1.7835235       16.760138
       1.3365597       14.807552
      0.69133341       10.246874
       1.3470007       14.392404
       1.7689809       16.495031
      0.39914075       8.1549244
       1.5407978       16.000334
      0.71537424       10.403771
       1.6796545       16.621281
       1.3918404       14.320430
       1.8678155       16.873173
       1.0821105       12.200990
       1.3616108       14.494383
      0.73695720       10.585472
       1.6550586       16.040006
      0.49390643       9.7659431
      0.97702477       11.353301
       1.8285223       17.366645
      0.33739603       7.9191306
      0.96013712       11.470292
       1.6583936       16.229063
       1.1850691       13.191479
       1.9302001       16.833335
       1.2126161       12.972869
       1.7432908       16.639346
       1.2390577       13.360315
       1.6894611       15.795109
       1.6417012       16.751665
      0.32995101       8.3061091
       1.6129203       17.165210
       1.8897270       16.202173
       1.7566830       16.841207
       1.4750035       14.978132
       2.0262340       17.017331
       1.2317929       12.945170
      0.48500154       8.4988084
       1.6721500       16.559125
      0.98545899       12.256974
       1.4171871       14.260728
       1.4054918       13.669742
       1.6492166       16.521088
       1.4597341       14.165189
       1.4117330       13.435761
       1.6465692       14.827728
      0.31180043       6.7397719
       1.2957701       13.781291
      0.84117103       11.550528
       1.4912809       14.905741
      0.42172036       7.6415174
      0.39198529       9.0385113
       1.4619000       14.271641
      0.42086252       9.7381962
       1.7912998       16.189876
       1.3988962       17.198890
      0.48409675       9.1984769
      0.80203065       11.153903
       1.5223206       15.386684
       1.4260488       15.548272
       1.6973081       16.002959
       1.5289820       14.955040
       1.5686921       15.293484
       1.8458954       16.972107
       1.7508218       16.592282
      0.91013273       11.453569
       1.2893523       13.347295
       2.0206298       17.021847
       1.5284332       15.033214
      0.91726629       11.436613
       1.7576815       15.931639
      0.87267628       11.118941
       1.7665700       15.721382
      0.90694299       11.527685
       1.2785868       14.211624
      0.83450322       11.368517
       1.5837550       17.011307
       1.1222193       11.903070
      0.97900974       11.815738
      0.33132193       7.7667994
      0.30997596       6.8803017
       1.2739879       13.911033
       1.2796353       14.035866
       1.5470443       14.818548
       1.5800309       15.652664
      0.40107406       9.2552551
      0.57889552       8.8353277
