Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,(B-V)TurnOff,MvTurnOff, Ajustadas/Total
10.3, 5.812569629878513, 0.7758639410069135, 0.07899401003720628, 0.08452332707447946, 0.9988936766860113, 0.79, 5.15, 1.0= 14/14
10.28, 5.8489203447977625, 0.7188974255484766, 0.08778878655260204, 0.09322739271044327, 0.9985388749543238, 0.78, 5.06, 1.0= 15/15
10.26, 5.8312102757758675, 0.7439829268941311, 0.09193503085621789, 0.09695782935453853, 0.9983882152893034, 0.77, 4.87, 0.9375= 15/16
10.24, 5.692247219202139, 0.9075917036045844, 0.0460090270273968, 0.04952439537866319, 0.9996082449734287, 0.77, 5.05, 0.9333333333333333= 14/15
10.22, 5.814514676751306, 0.7665135962542768, 0.07497009746253794, 0.07865654904695321, 0.9988383107710861, 0.76, 4.96, 1.0= 16/16
10.2, 5.720972278023302, 0.8776457747421986, 0.052763631375490054, 0.05622946366386129, 0.9994475626563264, 0.75, 4.93, 0.9375= 15/16
10.18, 5.82491318161667, 0.7673090919166539, 0.08289827515328435, 0.08601728541653628, 0.9984843981088141, 0.74, 4.74, 0.9444444444444444= 17/18
10.16, 5.724469496021218, 0.8726740716180377, 0.05665584009929755, 0.059661720187510536, 0.9993150316242018, 0.74, 4.86, 0.9411764705882353= 16/17
10.14, 5.690090181892291, 0.9157127426504301, 0.05426521627638616, 0.05726057161822903, 0.9993639543058789, 0.73, 4.81, 0.9411764705882353= 16/17
10.12, 5.781246850962347, 0.8194701219307357, 0.06578135506046184, 0.06837483408525748, 0.9990304016384122, 0.72, 4.6, 0.8947368421052632= 17/19
10.1, 5.6689939701682, 0.9448712710250717, 0.05306694430356484, 0.056185527908566166, 0.9993871772906885, 0.72, 4.76, 0.9411764705882353= 16/17
10.08, 5.70657792081139, 0.9016751999219821, 0.06399122365158733, 0.06685150968902732, 0.9990582475566806, 0.71, 4.64, 0.9444444444444444= 17/18
10.06, 5.692186650409449, 0.934603812756424, 0.05544488254460042, 0.058003808868928634, 0.9992891750208855, 0.7, 4.58, 0.9444444444444444= 17/18
10.04, 5.738201136644428, 0.8686228482003129, 0.0805972984424907, 0.08344102152677749, 0.998425463399552, 0.69, 4.52, 0.9473684210526315= 18/19
10.02, 5.692640960574364, 0.9308583139059108, 0.05771840495029178, 0.05984665395442222, 0.9991785981248721, 0.69, 4.46, 0.9473684210526315= 18/19
10.0, 5.751707795584549, 0.8634210868434753, 0.07148187531787113, 0.0732484107300898, 0.9986897235049308, 0.68, 4.4, 0.95= 19/20
9.9, 5.710343388789261, 0.9193150423465495, 0.05923395008325226, 0.05971055833715001, 0.9989793537191491, 0.64, 4.08, 0.875= 21/24
9.8, 5.746783421190696, 0.8768684887700795, 0.07809156433983255, 0.07683176783892183, 0.9980667542459711, 0.6, 3.76, 0.8518518518518519= 23/27
9.7, 5.635790645433029, 1.016236010269166, 0.04579334158509111, 0.044651628805157745, 0.9994392768391147, 0.6, 4.12, 0.8260869565217391= 19/23
9.6, 5.54876383425392, 1.1170709903593323, 0.03839481651570355, 0.03834458243107883, 0.9995693597556309, 0.57, 4.01, 0.8333333333333334= 20/24
9.5, 5.680894015861572, 0.9749257390050481, 0.06984569016090696, 0.06600571699208059, 0.9992450401993664, 0.54, 3.71, 0.8571428571428571= 12/14
9.4, 5.724195271155995, 0.93554231198718, 0.07207158551133598, 0.064824374824886, 0.999050201585162, 0.5, 3.4, 0.875= 14/16
9.3, 5.8238354220856, 0.826077086781746, 0.07798426090167926, 0.0701675027834427, 0.9990152713781365, 0.45, 2.97, 0.7222222222222222= 13/18
9.2, 5.860836900497946, 0.8120262950991535, 0.08739521837064361, 0.07535356756381999, 0.9988900522329549, 0.4, 2.63, 0.631578947368421= 12/19
9.1, 5.785248190111352, 0.8793410660371688, 0.03882819738032127, 0.03669697518752875, 0.9997298371094449, 0.35, 2.44, 0.4375= 14/32
9.0, 5.775378395423216, 0.9074012342898339, 0.03441422018873, 0.02872711441260746, 0.9998047682391983, 0.28, 2.06, 0.37142857142857144= 13/35
8.9, 5.849284493129869, 0.8475250110808581, 0.045429994857560364, 0.03144792747525598, 0.9997587969887936, 0.2, 1.57, 0.4166666666666667= 10/24
8.8, 5.820314948292075, 0.9005010184895004, 0.03300913723570562, 0.019526476143180253, 0.9998070694829481, 0.12, 1.13, 0.5384615384615384= 14/26
