Full,log(Age),M,log(Teff),Mbol,Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
916,10.16,0.9596,3.651,1.49,2.04,1.04,1.17,0.64,1.2,2.01
917,10.16,0.9598,3.648,1.33,1.9,1.07,1.19,0.65,1.22,2.03
918,10.16,0.96,3.645,1.16,1.76,1.11,1.21,0.66,1.23,2.06
919,10.16,0.9602,3.642,1.01,1.63,1.14,1.22,0.67,1.25,2.09
920,10.16,0.9604,3.638,0.85,1.49,1.19,1.24,0.68,1.27,2.13
921,10.16,0.9606,3.635,0.69,1.36,1.23,1.26,0.69,1.29,2.16
922,10.16,0.9607,3.631,0.52,1.22,1.28,1.29,0.7,1.32,2.2
923,10.16,0.9608,3.627,0.36,1.1,1.33,1.31,0.72,1.34,2.24
924,10.16,0.9609,3.623,0.18,0.96,1.38,1.33,0.73,1.37,2.29
925,10.16,0.961,3.619,0.03,0.84,1.43,1.36,0.74,1.39,2.34
926,10.16,0.9611,3.615,-0.15,0.71,1.49,1.38,0.75,1.42,2.39
927,10.16,0.9611,3.61,-0.3,0.6,1.55,1.41,0.77,1.45,2.44
928,10.16,0.9612,3.606,-0.47,0.47,1.61,1.44,0.78,1.47,2.49
929,10.16,0.9612,3.601,-0.67,0.33,1.68,1.48,0.81,1.52,2.56
930,10.16,0.9613,3.594,-0.89,0.17,1.73,1.5,0.83,1.59,2.64
931,10.16,0.9613,3.588,-1.06,0.06,1.76,1.52,0.85,1.65,2.71
932,10.16,0.9614,3.579,-1.27,-0.06,1.79,1.55,0.87,1.75,2.82
933,10.16,0.9614,3.57,-1.5,-0.16,1.81,1.56,0.91,1.87,2.97
934,10.16,0.9615,3.558,-1.79,-0.16,1.81,1.58,0.99,2.11,3.26
935,10.16,0.9615,3.551,-1.95,-0.16,1.8,1.58,1.03,2.26,3.44
936,10.16,0.9615,3.544,-2.14,-0.19,1.8,1.59,1.08,2.39,3.6
937,10.16,0.9615,3.534,-2.34,0.03,1.69,1.6,1.17,2.64,4.06
938,10.16,0.9615,3.523,-2.6,0.21,1.57,1.6,1.26,2.9,4.54
939,10.16,0.9616,3.508,-2.89,0.44,1.44,1.61,1.36,3.21,5.11
940,10.16,0.9616,3.486,-3.22,0.58,1.4,1.62,1.41,3.55,5.65
941,10.16,0.9616,3.462,-3.64,0.73,1.36,1.62,1.46,3.94,6.29
942,10.16,0.9616,3.456,-3.72,0.79,1.34,1.62,1.48,4.03,6.44
943,10.16,0.7666,3.66,0.67,1.15,1.02,1.16,0.61,1.14,1.92
944,10.16,0.7668,3.656,0.58,1.08,1.06,1.17,0.62,1.16,1.95
945,10.16,0.7685,3.665,0.62,1.06,0.97,1.13,0.59,1.12,1.87
946,10.16,0.7692,3.661,0.47,0.94,1.02,1.15,0.6,1.14,1.91
947,10.16,0.7695,3.654,0.3,0.81,1.09,1.19,0.62,1.17,1.97
948,10.16,0.7697,3.648,0.13,0.69,1.17,1.22,0.64,1.2,2.03
949,10.16,0.7697,3.642,-0.03,0.58,1.23,1.25,0.66,1.24,2.09
950,10.16,0.7698,3.632,-0.3,0.39,1.36,1.31,0.69,1.3,2.19
951,10.16,0.7698,3.607,-0.86,0.07,1.66,1.46,0.78,1.47,2.48
952,10.16,0.7698,3.598,-1.13,-0.11,1.73,1.5,0.81,1.55,2.6
953,10.16,0.7698,3.606,-0.89,0.05,1.67,1.47,0.79,1.47,2.49
954,10.16,0.7698,3.613,-0.75,0.12,1.6,1.42,0.76,1.43,2.41
955,10.16,0.7699,3.604,-0.95,0.01,1.7,1.48,0.79,1.49,2.52
956,10.16,0.77,3.597,-1.16,-0.13,1.74,1.51,0.82,1.56,2.61
957,10.16,0.77,3.587,-1.4,-0.27,1.78,1.53,0.85,1.66,2.72
958,10.16,0.77,3.578,-1.63,-0.4,1.81,1.55,0.88,1.76,2.83
959,10.16,0.77,3.56,-1.96,-0.38,1.81,1.57,0.98,2.08,3.22
960,10.16,0.7701,3.546,-2.22,-0.32,1.8,1.59,1.06,2.35,3.55
961,10.16,0.7701,3.537,-2.4,-0.14,1.72,1.6,1.14,2.58,3.93
962,10.16,0.7701,3.525,-2.59,0.13,1.59,1.6,1.24,2.85,4.45
963,10.16,0.7701,3.514,-2.79,0.38,1.47,1.61,1.34,3.11,4.93
964,10.16,0.7701,3.501,-2.99,0.49,1.43,1.61,1.37,3.32,5.28
965,10.16,0.7701,3.49,-3.18,0.55,1.41,1.61,1.4,3.49,5.56
966,10.16,0.7701,3.479,-3.36,0.62,1.39,1.62,1.42,3.67,5.84
967,10.16,0.7701,3.464,-3.57,0.75,1.36,1.62,1.46,3.9,6.23
968,10.16,0.7701,3.463,-3.59,0.75,1.36,1.62,1.46,3.92,6.26
969,10.16,0.7701,3.452,-3.78,0.82,1.34,1.62,1.49,4.1,6.55
970,10.16,0.7701,3.44,-3.96,0.9,1.32,1.62,1.51,4.28,6.84
971,10.16,0.7701,3.429,-4.14,0.98,1.29,1.63,1.54,4.46,7.13
972,10.16,0.7701,3.428,-4.15,0.98,1.29,1.63,1.54,4.47,7.14
1006,10.14,0.6,3.594,7.64,8.68,1.1,1.36,0.86,1.65,2.61
1007,10.14,0.62,3.605,7.47,8.45,1.05,1.33,0.83,1.55,2.53
1008,10.14,0.64,3.615,7.3,8.19,1.03,1.28,0.8,1.49,2.42
1009,10.14,0.66,3.626,7.13,7.93,1.0,1.24,0.78,1.42,2.3
1010,10.14,0.68,3.637,6.95,7.66,0.95,1.19,0.74,1.35,2.19
1011,10.14,0.7,3.647,6.77,7.39,0.89,1.14,0.7,1.28,2.08
1012,10.14,0.72,3.658,6.59,7.14,0.83,1.09,0.67,1.21,1.97
1013,10.14,0.74,3.669,6.42,6.88,0.76,1.04,0.62,1.15,1.87
1014,10.14,0.76,3.681,6.23,6.62,0.69,1.0,0.58,1.08,1.76
1015,10.14,0.78,3.692,6.04,6.36,0.61,0.95,0.54,1.02,1.65
1016,10.14,0.795,3.701,5.89,6.16,0.56,0.91,0.52,0.97,1.58
1017,10.14,0.815,3.711,5.69,5.92,0.49,0.87,0.49,0.92,1.49
1018,10.14,0.835,3.721,5.5,5.68,0.42,0.84,0.47,0.88,1.41
1019,10.14,0.85,3.728,5.34,5.51,0.38,0.81,0.45,0.85,1.37
1020,10.14,0.865,3.734,5.18,5.33,0.33,0.78,0.43,0.82,1.32
1021,10.14,0.88,3.74,5.02,5.15,0.29,0.76,0.42,0.8,1.28
1022,10.14,0.895,3.744,4.84,4.96,0.26,0.74,0.41,0.79,1.25
1023,10.14,0.9069,3.747,4.7,4.81,0.25,0.73,0.41,0.78,1.23
1024,10.14,0.9185,3.747,4.55,4.66,0.24,0.73,0.41,0.77,1.23
1025,10.14,0.9299,3.747,4.39,4.5,0.25,0.73,0.41,0.77,1.23
1026,10.14,0.9401,3.743,4.24,4.36,0.27,0.75,0.41,0.79,1.25
1027,10.14,0.9507,3.729,4.09,4.25,0.37,0.81,0.44,0.85,1.36
1028,10.14,0.9564,3.703,4.03,4.29,0.56,0.92,0.5,0.95,1.55
1029,10.14,0.9599,3.685,3.87,4.22,0.69,0.99,0.55,1.04,1.7
1030,10.14,0.9601,3.684,3.85,4.21,0.69,0.99,0.55,1.04,1.71
1031,10.14,0.9616,3.68,3.69,4.07,0.73,1.01,0.56,1.06,1.74
1032,10.14,0.9628,3.678,3.54,3.93,0.75,1.02,0.57,1.07,1.76
1033,10.14,0.964,3.676,3.36,3.76,0.77,1.03,0.57,1.08,1.78
1034,10.14,0.965,3.674,3.19,3.6,0.79,1.04,0.58,1.09,1.8
1035,10.14,0.966,3.672,3.0,3.42,0.81,1.05,0.58,1.09,1.81
1036,10.14,0.9668,3.67,2.82,3.25,0.83,1.07,0.59,1.1,1.83
1037,10.14,0.9675,3.668,2.65,3.09,0.85,1.08,0.59,1.11,1.85
1038,10.14,0.968,3.666,2.49,2.95,0.87,1.09,0.6,1.12,1.86
1039,10.14,0.9685,3.664,2.33,2.79,0.89,1.1,0.6,1.13,1.88
1040,10.14,0.9689,3.662,2.17,2.65,0.91,1.11,0.61,1.14,1.9
1041,10.14,0.9693,3.659,2.0,2.49,0.94,1.12,0.62,1.15,1.92
1042,10.14,0.9697,3.656,1.82,2.33,0.97,1.14,0.63,1.17,1.95
1043,10.14,0.9701,3.653,1.64,2.16,1.0,1.15,0.63,1.18,1.98
1044,10.14,0.9703,3.652,1.56,2.1,1.02,1.16,0.64,1.19,1.99
1045,10.14,0.9705,3.654,1.62,2.14,1.0,1.15,0.63,1.18,1.97
1046,10.14,0.9708,3.651,1.47,2.01,1.04,1.17,0.64,1.2,2.0
1047,10.14,0.971,3.648,1.3,1.87,1.07,1.19,0.65,1.22,2.03
1048,10.14,0.9713,3.645,1.14,1.74,1.11,1.21,0.66,1.23,2.06
1049,10.14,0.9715,3.642,0.99,1.61,1.14,1.22,0.67,1.25,2.09
1050,10.14,0.9717,3.639,0.84,1.48,1.18,1.24,0.68,1.27,2.12
1051,10.14,0.9718,3.635,0.66,1.33,1.24,1.26,0.69,1.29,2.16
1052,10.14,0.9719,3.631,0.5,1.2,1.28,1.29,0.7,1.32,2.2
1053,10.14,0.972,3.627,0.34,1.08,1.33,1.31,0.71,1.34,2.24
1054,10.14,0.9721,3.623,0.17,0.94,1.38,1.33,0.73,1.36,2.29
1055,10.14,0.9722,3.619,-0.02,0.8,1.44,1.36,0.74,1.39,2.34
1056,10.14,0.9723,3.614,-0.19,0.67,1.5,1.39,0.76,1.42,2.4
1057,10.14,0.9724,3.61,-0.35,0.56,1.56,1.42,0.77,1.45,2.45
1058,10.14,0.9724,3.606,-0.51,0.43,1.62,1.44,0.79,1.48,2.49
1059,10.14,0.9725,3.6,-0.71,0.29,1.69,1.48,0.81,1.52,2.57
1060,10.14,0.9726,3.593,-0.93,0.14,1.73,1.51,0.83,1.6,2.65
1061,10.14,0.9726,3.588,-1.1,0.03,1.76,1.52,0.85,1.66,2.72
1062,10.14,0.9726,3.579,-1.3,-0.09,1.79,1.55,0.88,1.75,2.82
1063,10.14,0.9727,3.57,-1.53,-0.18,1.81,1.56,0.91,1.88,2.97
1064,10.14,0.9727,3.559,-1.8,-0.18,1.81,1.58,0.99,2.11,3.26
1065,10.14,0.9727,3.551,-1.97,-0.18,1.81,1.58,1.03,2.25,3.43
1066,10.14,0.9728,3.545,-2.15,-0.21,1.8,1.59,1.07,2.38,3.59
1067,10.14,0.9728,3.535,-2.34,-0.01,1.7,1.6,1.16,2.62,4.01
1068,10.14,0.9728,3.524,-2.58,0.16,1.59,1.6,1.25,2.86,4.47
1069,10.14,0.9728,3.511,-2.86,0.4,1.45,1.61,1.35,3.17,5.03
1070,10.14,0.9728,3.49,-3.17,0.55,1.41,1.61,1.4,3.49,5.55
1071,10.14,0.9729,3.468,-3.55,0.68,1.37,1.62,1.45,3.84,6.13
1072,10.14,0.9729,3.457,-3.71,0.76,1.35,1.62,1.47,4.01,6.41
1073,10.14,0.7828,3.659,0.66,1.15,1.03,1.16,0.61,1.15,1.92
1074,10.14,0.783,3.655,0.57,1.08,1.07,1.18,0.62,1.16,1.96
1075,10.14,0.7848,3.664,0.61,1.06,0.98,1.14,0.6,1.12,1.88
1076,10.14,0.7855,3.66,0.45,0.93,1.03,1.16,0.61,1.14,1.92
1077,10.14,0.7858,3.653,0.28,0.8,1.11,1.19,0.62,1.17,1.98
1078,10.14,0.7859,3.647,0.11,0.68,1.17,1.23,0.64,1.21,2.04
1079,10.14,0.786,3.64,-0.07,0.55,1.25,1.26,0.67,1.25,2.11
1080,10.14,0.7861,3.633,-0.25,0.42,1.34,1.3,0.69,1.29,2.18
1081,10.14,0.7861,3.619,-0.62,0.19,1.52,1.39,0.74,1.38,2.34
1082,10.14,0.7861,3.597,-1.14,-0.11,1.73,1.5,0.81,1.55,2.6
1083,10.14,0.7861,3.605,-0.91,0.04,1.68,1.47,0.79,1.48,2.5
1084,10.14,0.7861,3.612,-0.76,0.12,1.6,1.43,0.76,1.43,2.42
1085,10.14,0.7862,3.604,-0.93,0.03,1.69,1.47,0.79,1.49,2.51
1086,10.14,0.7863,3.598,-1.12,-0.1,1.73,1.5,0.81,1.54,2.59
1087,10.14,0.7863,3.591,-1.32,-0.23,1.76,1.52,0.84,1.63,2.68
1088,10.14,0.7863,3.583,-1.51,-0.34,1.79,1.54,0.86,1.71,2.77
1089,10.14,0.7863,3.572,-1.77,-0.46,1.82,1.56,0.9,1.85,2.94
1090,10.14,0.7864,3.562,-1.95,-0.4,1.81,1.57,0.97,2.05,3.18
1091,10.14,0.7864,3.548,-2.19,-0.33,1.8,1.59,1.05,2.32,3.51
1092,10.14,0.7864,3.536,-2.42,-0.13,1.71,1.6,1.15,2.59,3.97
1093,10.14,0.7864,3.525,-2.61,0.13,1.59,1.6,1.24,2.86,4.46
1094,10.14,0.7864,3.514,-2.8,0.36,1.47,1.61,1.33,3.11,4.92
1095,10.14,0.7864,3.502,-2.99,0.48,1.43,1.61,1.37,3.31,5.27
1096,10.14,0.7864,3.491,-3.18,0.54,1.41,1.61,1.4,3.48,5.55
1097,10.14,0.7864,3.481,-3.35,0.59,1.39,1.62,1.42,3.64,5.8
1098,10.14,0.7864,3.466,-3.55,0.73,1.36,1.62,1.45,3.87,6.18
1099,10.14,0.7864,3.463,-3.6,0.74,1.36,1.62,1.46,3.92,6.26
1100,10.14,0.7864,3.452,-3.78,0.81,1.34,1.62,1.48,4.09,6.54
1101,10.14,0.7864,3.441,-3.95,0.88,1.32,1.62,1.51,4.27,6.82
1102,10.14,0.7864,3.43,-4.13,0.96,1.3,1.63,1.53,4.44,7.11
1103,10.14,0.7864,3.425,-4.21,1.0,1.29,1.63,1.54,4.52,7.24
1136,10.12,0.6,3.594,7.65,8.69,1.1,1.36,0.86,1.65,2.61
1137,10.12,0.62,3.604,7.48,8.46,1.05,1.33,0.83,1.56,2.54
1138,10.12,0.64,3.615,7.31,8.2,1.03,1.28,0.8,1.49,2.42
1139,10.12,0.66,3.625,7.14,7.94,1.0,1.24,0.78,1.42,2.31
1140,10.12,0.68,3.636,6.96,7.68,0.95,1.19,0.75,1.36,2.2
1141,10.12,0.7,3.647,6.78,7.41,0.9,1.14,0.71,1.29,2.09
1142,10.12,0.72,3.657,6.61,7.16,0.84,1.09,0.67,1.22,1.98
1143,10.12,0.74,3.668,6.43,6.91,0.77,1.05,0.63,1.15,1.88
1144,10.12,0.76,3.679,6.25,6.65,0.69,1.0,0.58,1.09,1.77
1145,10.12,0.78,3.691,6.06,6.39,0.62,0.95,0.55,1.03,1.66
1146,10.12,0.8,3.702,5.86,6.13,0.55,0.91,0.51,0.96,1.56
1147,10.12,0.82,3.712,5.68,5.9,0.48,0.87,0.49,0.92,1.48
1148,10.12,0.84,3.722,5.49,5.67,0.42,0.83,0.47,0.87,1.41
1149,10.12,0.855,3.729,5.33,5.5,0.37,0.81,0.45,0.85,1.36
1150,10.12,0.87,3.735,5.18,5.32,0.32,0.78,0.43,0.82,1.31
1151,10.12,0.885,3.74,5.02,5.14,0.29,0.76,0.42,0.8,1.27
1152,10.12,0.9,3.745,4.85,4.97,0.26,0.74,0.41,0.78,1.25
1153,10.12,0.915,3.748,4.69,4.8,0.24,0.73,0.4,0.77,1.23
1154,10.12,0.9177,3.749,4.65,4.75,0.24,0.73,0.4,0.77,1.22
1155,10.12,0.9292,3.749,4.5,4.6,0.23,0.72,0.4,0.77,1.22
1156,10.12,0.9411,3.748,4.34,4.44,0.24,0.73,0.4,0.77,1.22
1157,10.12,0.9513,3.744,4.19,4.3,0.27,0.75,0.41,0.79,1.25
1158,10.12,0.9627,3.726,4.03,4.2,0.39,0.82,0.45,0.86,1.37
1159,10.12,0.9672,3.705,4.0,4.26,0.54,0.91,0.5,0.94,1.54
1160,10.12,0.9709,3.685,3.84,4.19,0.69,0.99,0.55,1.03,1.7
1161,10.12,0.971,3.685,3.83,4.18,0.69,0.99,0.55,1.03,1.7
1162,10.12,0.9725,3.681,3.68,4.05,0.72,1.01,0.56,1.05,1.74
1163,10.12,0.9737,3.678,3.53,3.91,0.75,1.02,0.57,1.07,1.76
1164,10.12,0.9749,3.676,3.36,3.75,0.76,1.03,0.57,1.07,1.78
1165,10.12,0.9759,3.675,3.2,3.6,0.78,1.04,0.58,1.08,1.79
1166,10.12,0.9769,3.673,3.02,3.44,0.8,1.05,0.58,1.09,1.81
1167,10.12,0.9777,3.671,2.85,3.28,0.82,1.06,0.59,1.1,1.82
1168,10.12,0.9785,3.669,2.66,3.1,0.84,1.07,0.59,1.11,1.84
1169,10.12,0.9791,3.667,2.49,2.94,0.86,1.08,0.6,1.12,1.86
1170,10.12,0.9796,3.665,2.33,2.79,0.88,1.09,0.6,1.13,1.87
1171,10.12,0.9801,3.662,2.14,2.62,0.91,1.11,0.61,1.14,1.89
1172,10.12,0.9805,3.66,1.98,2.47,0.94,1.12,0.62,1.15,1.92
1173,10.12,0.9809,3.657,1.8,2.31,0.97,1.14,0.62,1.17,1.95
1174,10.12,0.9813,3.654,1.62,2.14,1.0,1.15,0.63,1.18,1.97
1175,10.12,0.9815,3.652,1.54,2.08,1.02,1.16,0.64,1.19,1.99
1176,10.12,0.9817,3.654,1.59,2.12,1.0,1.15,0.63,1.18,1.97
1177,10.12,0.982,3.651,1.45,1.99,1.03,1.17,0.64,1.2,2.0
1178,10.12,0.9823,3.648,1.26,1.83,1.08,1.19,0.65,1.22,2.04
1179,10.12,0.9825,3.645,1.11,1.7,1.11,1.21,0.66,1.23,2.06
1180,10.12,0.9828,3.642,0.93,1.55,1.15,1.23,0.67,1.25,2.09
1181,10.12,0.983,3.638,0.78,1.42,1.19,1.25,0.68,1.27,2.13
1182,10.12,0.9831,3.634,0.61,1.28,1.24,1.27,0.69,1.29,2.17
1183,10.12,0.9832,3.63,0.45,1.15,1.29,1.29,0.7,1.32,2.21
1184,10.12,0.9833,3.626,0.29,1.03,1.34,1.31,0.72,1.34,2.25
1185,10.12,0.9834,3.623,0.12,0.9,1.39,1.33,0.73,1.37,2.29
1186,10.12,0.9835,3.618,-0.07,0.76,1.45,1.36,0.74,1.4,2.35
1187,10.12,0.9836,3.613,-0.24,0.63,1.51,1.39,0.76,1.43,2.4
1188,10.12,0.9837,3.608,-0.45,0.48,1.59,1.43,0.78,1.46,2.47
1189,10.12,0.9837,3.603,-0.62,0.35,1.65,1.46,0.8,1.49,2.52
1190,10.12,0.9838,3.597,-0.82,0.21,1.71,1.49,0.81,1.55,2.6
1191,10.12,0.9839,3.59,-1.04,0.05,1.75,1.52,0.84,1.63,2.68
1192,10.12,0.9839,3.583,-1.23,-0.06,1.78,1.54,0.86,1.71,2.77
1193,10.12,0.9839,3.574,-1.44,-0.19,1.81,1.56,0.89,1.8,2.88
1194,10.12,0.984,3.566,-1.67,-0.22,1.81,1.57,0.94,1.97,3.08
1195,10.12,0.984,3.559,-1.82,-0.21,1.81,1.58,0.99,2.11,3.25
1196,10.12,0.984,3.552,-1.98,-0.2,1.81,1.58,1.03,2.25,3.42
1197,10.12,0.984,3.545,-2.15,-0.23,1.8,1.59,1.07,2.37,3.58
1198,10.12,0.9841,3.536,-2.34,-0.05,1.71,1.6,1.15,2.59,3.97
1199,10.12,0.9841,3.526,-2.57,0.11,1.6,1.6,1.23,2.83,4.4
1200,10.12,0.9841,3.513,-2.83,0.36,1.46,1.61,1.34,3.13,4.95
1201,10.12,0.9841,3.494,-3.13,0.51,1.42,1.61,1.39,3.44,5.47
1202,10.12,0.9841,3.473,-3.47,0.63,1.38,1.62,1.44,3.76,5.99
1203,10.12,0.9842,3.458,-3.71,0.74,1.35,1.62,1.47,3.99,6.38
1204,10.12,0.799,3.658,0.66,1.15,1.03,1.16,0.61,1.15,1.93
1205,10.12,0.7992,3.654,0.56,1.07,1.07,1.18,0.62,1.17,1.97
1206,10.12,0.801,3.663,0.59,1.05,0.99,1.14,0.6,1.13,1.89
1207,10.12,0.8018,3.659,0.43,0.92,1.04,1.16,0.61,1.15,1.93
1208,10.12,0.8021,3.651,0.25,0.79,1.12,1.2,0.63,1.18,2.0
1209,10.12,0.8022,3.645,0.09,0.67,1.19,1.24,0.65,1.22,2.06
1210,10.12,0.8023,3.639,-0.07,0.55,1.26,1.27,0.67,1.26,2.12
1211,10.12,0.8024,3.625,-0.45,0.3,1.44,1.35,0.71,1.35,2.27
1212,10.12,0.8024,3.6,-1.07,-0.06,1.72,1.5,0.81,1.53,2.57
1213,10.12,0.8024,3.597,-1.15,-0.12,1.73,1.5,0.81,1.55,2.6
1214,10.12,0.8024,3.605,-0.92,0.03,1.68,1.47,0.79,1.48,2.51
1215,10.12,0.8024,3.612,-0.77,0.11,1.6,1.43,0.76,1.43,2.42
1216,10.12,0.8025,3.605,-0.92,0.03,1.68,1.47,0.79,1.48,2.51
1217,10.12,0.8026,3.6,-1.08,-0.08,1.72,1.49,0.81,1.52,2.57
1218,10.12,0.8026,3.594,-1.26,-0.19,1.75,1.51,0.83,1.59,2.65
1219,10.12,0.8026,3.587,-1.42,-0.29,1.78,1.53,0.85,1.66,2.72
1220,10.12,0.8026,3.578,-1.63,-0.41,1.81,1.55,0.88,1.76,2.83
1221,10.12,0.8027,3.563,-1.93,-0.42,1.82,1.57,0.96,2.02,3.15
1222,10.12,0.8027,3.549,-2.17,-0.33,1.8,1.59,1.05,2.29,3.48
1223,10.12,0.8027,3.536,-2.42,-0.14,1.71,1.6,1.15,2.59,3.96
1224,10.12,0.8027,3.535,-2.43,-0.13,1.7,1.6,1.15,2.61,3.99
1225,10.12,0.8027,3.524,-2.62,0.12,1.59,1.6,1.25,2.86,4.46
1226,10.12,0.8027,3.514,-2.8,0.33,1.48,1.61,1.33,3.09,4.89
1227,10.12,0.8027,3.502,-2.99,0.46,1.43,1.61,1.37,3.3,5.25
1228,10.12,0.8027,3.492,-3.17,0.52,1.41,1.61,1.39,3.47,5.52
1229,10.12,0.8027,3.482,-3.34,0.57,1.39,1.62,1.42,3.62,5.76
1230,10.12,0.8027,3.468,-3.52,0.7,1.37,1.62,1.45,3.84,6.12
1231,10.12,0.8027,3.463,-3.61,0.73,1.36,1.62,1.46,3.92,6.25
1232,10.12,0.8027,3.453,-3.78,0.8,1.34,1.62,1.48,4.08,6.52
1233,10.12,0.8027,3.442,-3.95,0.87,1.32,1.62,1.51,4.25,6.8
1234,10.12,0.8027,3.431,-4.12,0.94,1.3,1.62,1.53,4.42,7.08
1235,10.12,0.8027,3.421,-4.27,1.01,1.28,1.63,1.55,4.57,7.32
1269,10.1,0.6,3.593,7.66,8.7,1.11,1.36,0.86,1.65,2.61
1270,10.1,0.62,3.604,7.49,8.47,1.06,1.33,0.83,1.56,2.54
1271,10.1,0.64,3.614,7.32,8.22,1.03,1.29,0.81,1.5,2.43
1272,10.1,0.66,3.625,7.15,7.96,1.0,1.24,0.78,1.43,2.32
1273,10.1,0.68,3.635,6.97,7.7,0.96,1.2,0.75,1.36,2.21
1274,10.1,0.7,3.646,6.8,7.43,0.9,1.15,0.71,1.29,2.1
1275,10.1,0.72,3.656,6.63,7.18,0.84,1.1,0.67,1.23,1.99
1276,10.1,0.74,3.667,6.45,6.93,0.77,1.05,0.63,1.16,1.89
1277,10.1,0.76,3.678,6.27,6.68,0.7,1.0,0.59,1.1,1.78
1278,10.1,0.78,3.69,6.09,6.42,0.63,0.96,0.55,1.03,1.68
1279,10.1,0.8,3.701,5.89,6.17,0.56,0.91,0.52,0.97,1.57
1280,10.1,0.82,3.711,5.71,5.94,0.49,0.88,0.49,0.92,1.5
1281,10.1,0.84,3.72,5.52,5.71,0.43,0.84,0.47,0.88,1.42
1282,10.1,0.86,3.729,5.33,5.49,0.36,0.8,0.45,0.84,1.35
1283,10.1,0.875,3.736,5.17,5.31,0.32,0.78,0.43,0.82,1.31
1284,10.1,0.89,3.741,5.02,5.14,0.28,0.75,0.42,0.8,1.27
1285,10.1,0.905,3.746,4.86,4.98,0.25,0.74,0.41,0.78,1.24
1286,10.1,0.925,3.749,4.65,4.76,0.23,0.72,0.4,0.77,1.22
1287,10.1,0.9285,3.751,4.59,4.7,0.22,0.72,0.4,0.76,1.21
1288,10.1,0.9403,3.751,4.44,4.54,0.22,0.72,0.4,0.76,1.2
1289,10.1,0.9522,3.75,4.28,4.39,0.23,0.72,0.4,0.77,1.21
1290,10.1,0.963,3.744,4.13,4.24,0.26,0.74,0.41,0.78,1.24
1291,10.1,0.9753,3.72,3.98,4.17,0.43,0.85,0.46,0.88,1.42
1292,10.1,0.9779,3.706,3.97,4.22,0.53,0.9,0.49,0.94,1.52
1293,10.1,0.9819,3.686,3.81,4.16,0.69,0.99,0.55,1.03,1.7
1294,10.1,0.9837,3.681,3.63,4.0,0.72,1.01,0.56,1.05,1.74
1295,10.1,0.9851,3.678,3.45,3.84,0.75,1.02,0.57,1.07,1.76
1296,10.1,0.9863,3.676,3.28,3.68,0.77,1.03,0.57,1.07,1.78
1297,10.1,0.9873,3.675,3.12,3.53,0.78,1.04,0.58,1.08,1.79
1298,10.1,0.9883,3.673,2.94,3.36,0.8,1.05,0.58,1.09,1.81
1299,10.1,0.9891,3.671,2.77,3.19,0.82,1.06,0.59,1.1,1.82
1300,10.1,0.9898,3.669,2.6,3.04,0.84,1.07,0.59,1.11,1.84
1301,10.1,0.9904,3.667,2.42,2.87,0.87,1.09,0.6,1.12,1.86
1302,10.1,0.9909,3.665,2.27,2.73,0.88,1.1,0.6,1.13,1.88
1303,10.1,0.9914,3.662,2.08,2.55,0.91,1.11,0.61,1.14,1.9
1304,10.1,0.9918,3.659,1.91,2.4,0.94,1.12,0.62,1.15,1.92
1305,10.1,0.9922,3.656,1.73,2.24,0.98,1.14,0.63,1.17,1.95
1306,10.1,0.9926,3.653,1.57,2.1,1.01,1.15,0.63,1.18,1.98
1307,10.1,0.9927,3.653,1.52,2.05,1.02,1.16,0.63,1.19,1.98
1308,10.1,0.993,3.654,1.57,2.1,1.0,1.15,0.63,1.18,1.97
1309,10.1,0.9933,3.651,1.39,1.94,1.04,1.17,0.64,1.2,2.0
1310,10.1,0.9936,3.647,1.21,1.78,1.08,1.19,0.65,1.22,2.04
1311,10.1,0.9938,3.644,1.04,1.64,1.12,1.21,0.66,1.24,2.07
1312,10.1,0.9941,3.641,0.87,1.49,1.16,1.23,0.67,1.25,2.1
1313,10.1,0.9943,3.637,0.7,1.36,1.21,1.25,0.68,1.28,2.14
1314,10.1,0.9944,3.633,0.53,1.21,1.26,1.27,0.7,1.3,2.18
1315,10.1,0.9945,3.629,0.37,1.08,1.31,1.3,0.71,1.33,2.22
1316,10.1,0.9946,3.625,0.21,0.96,1.36,1.32,0.72,1.35,2.26
1317,10.1,0.9947,3.621,0.04,0.83,1.41,1.34,0.73,1.38,2.31
1318,10.1,0.9948,3.616,-0.16,0.68,1.47,1.37,0.75,1.41,2.37
1319,10.1,0.9949,3.611,-0.34,0.55,1.54,1.41,0.77,1.44,2.43
1320,10.1,0.995,3.608,-0.49,0.44,1.6,1.43,0.78,1.47,2.47
1321,10.1,0.995,3.603,-0.66,0.31,1.66,1.46,0.8,1.5,2.53
1322,10.1,0.9951,3.597,-0.86,0.18,1.71,1.49,0.82,1.56,2.6
1323,10.1,0.9951,3.59,-1.08,0.02,1.75,1.52,0.84,1.63,2.69
1324,10.1,0.9952,3.582,-1.27,-0.09,1.78,1.54,0.86,1.71,2.78
1325,10.1,0.9952,3.574,-1.47,-0.21,1.81,1.56,0.89,1.8,2.89
1326,10.1,0.9953,3.566,-1.7,-0.24,1.81,1.57,0.94,1.97,3.09
1327,10.1,0.9953,3.552,-2.0,-0.22,1.81,1.58,1.03,2.24,3.42
1328,10.1,0.9953,3.546,-2.16,-0.25,1.8,1.59,1.07,2.36,3.56
