Full,log(Age),M,log(Teff),Mbol,Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
573,10.22,0.7211,3.555,-2.03,-0.34,1.81,1.58,1.01,2.17,3.33
574,10.22,0.7211,3.539,-2.34,-0.19,1.75,1.59,1.12,2.51,3.82
575,10.22,0.7211,3.539,-2.35,-0.18,1.74,1.59,1.12,2.52,3.84
576,10.22,0.7211,3.526,-2.55,0.14,1.6,1.6,1.24,2.83,4.41
577,10.22,0.7212,3.513,-2.76,0.44,1.46,1.61,1.35,3.14,4.97
578,10.22,0.7212,3.5,-2.99,0.51,1.43,1.61,1.38,3.34,5.3
579,10.22,0.7212,3.488,-3.2,0.58,1.4,1.61,1.4,3.53,5.62
580,10.22,0.7212,3.474,-3.39,0.7,1.38,1.62,1.43,3.75,5.98
581,10.22,0.7212,3.462,-3.58,0.78,1.36,1.62,1.46,3.93,6.27
582,10.22,0.7212,3.45,-3.78,0.86,1.33,1.62,1.49,4.13,6.6
583,10.22,0.7212,3.439,-3.95,0.93,1.31,1.62,1.51,4.29,6.87
620,10.2,0.6,3.596,7.62,8.64,1.09,1.35,0.85,1.63,2.6
621,10.2,0.62,3.607,7.45,8.41,1.05,1.32,0.82,1.54,2.51
622,10.2,0.64,3.617,7.27,8.14,1.02,1.27,0.8,1.48,2.4
623,10.2,0.66,3.628,7.09,7.87,0.99,1.23,0.77,1.41,2.28
624,10.2,0.68,3.639,6.91,7.6,0.94,1.18,0.73,1.34,2.17
625,10.2,0.7,3.65,6.72,7.33,0.88,1.13,0.69,1.26,2.05
626,10.2,0.72,3.661,6.54,7.06,0.81,1.08,0.65,1.2,1.94
627,10.2,0.74,3.673,6.35,6.79,0.74,1.03,0.61,1.13,1.83
628,10.2,0.76,3.685,6.16,6.52,0.66,0.98,0.57,1.06,1.72
629,10.2,0.775,3.694,6.0,6.31,0.6,0.94,0.54,1.01,1.64
630,10.2,0.79,3.703,5.84,6.1,0.55,0.91,0.51,0.96,1.56
631,10.2,0.805,3.711,5.68,5.91,0.49,0.87,0.49,0.92,1.49
632,10.2,0.82,3.719,5.52,5.72,0.44,0.85,0.47,0.89,1.43
633,10.2,0.835,3.726,5.36,5.53,0.39,0.82,0.46,0.86,1.38
634,10.2,0.85,3.732,5.19,5.34,0.35,0.79,0.44,0.83,1.34
635,10.2,0.865,3.737,5.01,5.14,0.31,0.77,0.43,0.81,1.3
636,10.2,0.88,3.741,4.81,4.93,0.28,0.75,0.42,0.8,1.27
637,10.2,0.8804,3.741,4.8,4.93,0.28,0.75,0.42,0.8,1.27
638,10.2,0.8908,3.742,4.65,4.77,0.28,0.75,0.42,0.79,1.26
639,10.2,0.9007,3.742,4.49,4.61,0.28,0.75,0.42,0.79,1.26
640,10.2,0.9103,3.737,4.34,4.47,0.31,0.77,0.43,0.81,1.29
641,10.2,0.9202,3.719,4.19,4.38,0.44,0.86,0.46,0.89,1.43
642,10.2,0.9243,3.698,4.12,4.4,0.59,0.94,0.51,0.97,1.59
643,10.2,0.927,3.684,3.95,4.31,0.7,0.99,0.56,1.04,1.71
644,10.2,0.9274,3.682,3.91,4.28,0.71,1.0,0.56,1.05,1.73
645,10.2,0.9288,3.678,3.74,4.13,0.74,1.02,0.57,1.07,1.76
646,10.2,0.93,3.676,3.57,3.97,0.76,1.03,0.58,1.08,1.78
647,10.2,0.931,3.674,3.4,3.81,0.78,1.04,0.58,1.09,1.8
648,10.2,0.9318,3.673,3.25,3.67,0.8,1.05,0.58,1.09,1.81
649,10.2,0.9326,3.671,3.09,3.52,0.81,1.06,0.59,1.1,1.82
650,10.2,0.9333,3.669,2.92,3.36,0.83,1.07,0.59,1.11,1.84
651,10.2,0.9339,3.667,2.76,3.21,0.85,1.08,0.6,1.12,1.85
652,10.2,0.9344,3.666,2.61,3.06,0.87,1.09,0.6,1.13,1.87
653,10.2,0.9349,3.663,2.43,2.89,0.89,1.1,0.61,1.13,1.89
654,10.2,0.9353,3.661,2.26,2.74,0.91,1.11,0.61,1.14,1.9
655,10.2,0.9357,3.659,2.08,2.57,0.94,1.12,0.62,1.16,1.93
656,10.2,0.9361,3.655,1.88,2.4,0.98,1.14,0.63,1.17,1.96
657,10.2,0.9364,3.653,1.73,2.26,1.0,1.15,0.63,1.18,1.98
658,10.2,0.9366,3.651,1.63,2.18,1.02,1.16,0.64,1.2,2.0
659,10.2,0.9369,3.653,1.68,2.21,1.01,1.16,0.63,1.19,1.98
660,10.2,0.9371,3.65,1.52,2.08,1.04,1.17,0.64,1.2,2.01
661,10.2,0.9374,3.647,1.36,1.94,1.08,1.19,0.65,1.22,2.04
662,10.2,0.9376,3.644,1.18,1.78,1.12,1.21,0.66,1.24,2.07
663,10.2,0.9378,3.641,1.01,1.64,1.16,1.23,0.67,1.26,2.1
664,10.2,0.938,3.636,0.82,1.48,1.21,1.25,0.69,1.28,2.15
665,10.2,0.9381,3.633,0.65,1.34,1.26,1.28,0.7,1.31,2.18
666,10.2,0.9382,3.629,0.5,1.22,1.3,1.3,0.71,1.33,2.22
667,10.2,0.9383,3.625,0.33,1.08,1.35,1.32,0.72,1.35,2.27
668,10.2,0.9384,3.621,0.17,0.96,1.4,1.34,0.73,1.38,2.31
669,10.2,0.9385,3.617,0.0,0.83,1.46,1.37,0.75,1.4,2.36
670,10.2,0.9386,3.612,-0.21,0.68,1.53,1.4,0.76,1.44,2.42
671,10.2,0.9386,3.607,-0.38,0.54,1.59,1.43,0.78,1.47,2.47
672,10.2,0.9387,3.602,-0.58,0.41,1.67,1.47,0.8,1.51,2.54
673,10.2,0.9387,3.597,-0.73,0.3,1.71,1.49,0.82,1.55,2.6
674,10.2,0.9388,3.592,-0.89,0.19,1.74,1.51,0.83,1.61,2.66
675,10.2,0.9388,3.585,-1.09,0.06,1.77,1.53,0.85,1.68,2.74
676,10.2,0.9388,3.575,-1.32,-0.08,1.81,1.56,0.88,1.78,2.86
677,10.2,0.9389,3.566,-1.58,-0.13,1.81,1.57,0.94,1.96,3.07
678,10.2,0.9389,3.558,-1.75,-0.12,1.81,1.58,0.99,2.12,3.27
679,10.2,0.9389,3.551,-1.93,-0.12,1.8,1.58,1.04,2.27,3.45
680,10.2,0.9389,3.543,-2.13,-0.13,1.79,1.59,1.09,2.43,3.66
681,10.2,0.939,3.532,-2.35,0.1,1.66,1.6,1.18,2.69,4.15
682,10.2,0.939,3.519,-2.64,0.33,1.52,1.61,1.29,3.0,4.71
683,10.2,0.939,3.5,-2.96,0.54,1.43,1.61,1.38,3.34,5.31
684,10.2,0.939,3.476,-3.35,0.69,1.38,1.62,1.43,3.71,5.91
685,10.2,0.939,3.453,-3.72,0.85,1.34,1.62,1.48,4.07,6.51
686,10.2,0.7343,3.661,0.69,1.16,1.01,1.15,0.6,1.14,1.91
687,10.2,0.7345,3.658,0.6,1.09,1.05,1.17,0.61,1.15,1.94
688,10.2,0.736,3.668,0.65,1.08,0.95,1.12,0.58,1.1,1.84
689,10.2,0.7367,3.663,0.49,0.95,1.0,1.15,0.6,1.13,1.89
690,10.2,0.7369,3.656,0.31,0.82,1.08,1.18,0.61,1.16,1.95
691,10.2,0.7371,3.65,0.17,0.71,1.14,1.21,0.63,1.19,2.01
692,10.2,0.7371,3.643,-0.02,0.58,1.22,1.25,0.65,1.23,2.08
693,10.2,0.7372,3.637,-0.19,0.46,1.3,1.29,0.68,1.27,2.14
694,10.2,0.7372,3.622,-0.54,0.24,1.49,1.37,0.72,1.36,2.3
695,10.2,0.7372,3.598,-1.12,-0.09,1.73,1.5,0.81,1.55,2.59
696,10.2,0.7372,3.607,-0.86,0.07,1.66,1.46,0.78,1.47,2.48
697,10.2,0.7372,3.614,-0.74,0.13,1.59,1.42,0.75,1.42,2.4
698,10.2,0.7373,3.605,-0.91,0.04,1.68,1.47,0.79,1.48,2.5
