#Aglomerado NGC 2420, Av = 0.09727263
Metodo,Age,ModDist
DIAS2022, 9.3, 11.932494827753267
Inicial, 8.7, 10.835754248863282
Chi, 9.2, 12.052879154863282
Beauchamp, 9.3, 11.802879154863282
