ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b
114.63725218082601,21.507225763522793,-1.205725998487224,0.047079094,-2.0693178854963987,0.039558485,0.686409,15.931459,0.3539718195738811,0.042006064,,,198.1875887551883,19.64457454519783
114.61806655756484,21.50679661040276,-1.1829888235929307,0.031860363,-1.998315812090304,0.026798472,0.58163834,15.115295,0.3394890596758234,0.028661082,,,198.1808128119418,19.627899104447245
114.56886736279132,21.504877961889857,-1.1865298829596318,0.083223864,-1.9897281837329635,0.0694786,0.86805916,17.035196,0.3822146636373701,0.07568304,,,198.1642363605655,19.584828264954123
114.5812379604021,21.50184273591879,-1.2197345729213334,0.040158372,-2.187060413522108,0.03303485,0.7385864,15.717794,0.34451348952250294,0.03632718,,,198.1718587094456,19.59432107620639
114.58419540747687,21.51111113637311,-1.2675144030683478,0.07315966,-2.1340312602775713,0.060289662,0.7806034,16.621859,0.4077947397281768,0.06554163,,,198.16386795190365,19.60038781218069
114.58928492882502,21.520977178830627,-1.34653462140907,0.058285344,-2.047517893843273,0.04850096,0.80894756,16.478035,0.36584517241007697,0.05306988,,,198.1560893175399,19.608515679246768
114.60385549059893,21.534971687172735,-1.1684648596057037,0.08791306,-2.1868959660183407,0.07510773,0.8896713,17.071474,0.30490277120199394,0.081755646,,,198.14781042050558,19.62636912576408
114.61781098919285,21.53085711789127,-1.2934012220962803,0.042328145,-2.0445754195728343,0.037197698,0.6684294,15.710303,0.4169571095002027,0.037861597,,,198.1570850572744,19.63681611880986
114.60488979630695,21.530558571060716,-1.1649431803663999,0.09791805,-2.0984237737500826,0.08260706,0.919796,17.310028,0.39207959417236415,0.088556804,,,198.1525326677218,19.625583398104133
114.68764503012538,21.506135476913247,-1.2319391761103775,0.40149832,-2.031768453677016,0.3291529,1.6677399,19.32277,0.4396694284764839,0.2987509,,,198.20756161533117,19.687534823501835
114.64657841904581,21.512356744340355,-1.188798499403286,0.27981883,-1.9753921036462059,0.2443472,1.5191917,19.099861,0.36643529055958984,0.24094722,,,198.18604683736615,19.654549695098982
114.66654796881886,21.528231026067495,-1.240127493784891,0.057274304,-2.0426122333312753,0.05263759,0.751585,16.27416,0.44476509027723093,0.050867293,,,198.17793960719493,19.677762419545303
