source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,labels
865402100162000896,114.67501325625626,21.613955886428045,-1.283693627640454,0.08392952,-2.132724417597233,0.0676597,0.9791126,16.9713,0.36647987761461087,0.07641597,,,198.09686072247345,19.717559042577342,0
865402100162002176,114.6692995373725,21.61334383308794,-1.283643812077886,0.070659265,-1.9513692973391068,0.07069951,0.80833244,16.671299,0.33390046755008,0.06756987,,,198.09532359737574,19.71241143447,0
865402104458455168,114.67342091323142,21.61638688684596,-6.490999928694702,0.08295189,1.8532519979762463,0.07382184,1.706747,17.155605,1.4445807785861802,0.083458394,,,198.09387495614007,19.717110510080825,-1
865402168881060480,114.66729730289838,21.615228961304886,-1.2404789053468273,0.033028316,-2.1520210089710035,0.030300792,0.6046686,14.948268,0.37866294204218265,0.02963443,,,198.09272106363997,19.711403435244627,0
865402173177930624,114.67349441088234,21.621257201487,-1.2272024313246448,0.11875235,-2.0304354497798607,0.0964836,0.9999008,17.707853,0.4157422223466404,0.10798943,,,198.08911475825542,19.719019582089647,0
865402203243526784,114.67756529366184,21.639754447171143,-1.769834957502408,0.80801237,-24.835527331488915,0.7539779,1.9093666,20.264997,2.234425368399491,0.69584405,,,198.07245329770623,19.729530712114737,-1
865402207537666432,114.66909974932858,21.636832175290923,-1.031764251716273,0.08075914,-2.299116672184619,0.07104597,0.9319267,17.16214,0.32495700134185806,0.07747786,,,198.0721588950194,19.721141212041644,0
865402207537667840,114.6719862206011,21.630076523202117,-1.2902431377719572,0.037052196,-2.358327141309388,0.03408752,0.649827,15.505255,0.3229708244548639,0.03427714,,,198.07988036603794,19.721064337986142,0
865402237600950144,114.6312688662272,21.6092874544263,-1.4061481052703422,0.06971407,-2.1943597476842407,0.061594535,0.7979355,16.650915,0.2632700377431253,0.06475323,,,198.08507245987687,19.67815592633323,0
865402237600955136,114.63978269225035,21.614740722540674,-1.2915475638496146,0.06104673,-2.0960228779804235,0.053583946,0.7523451,16.370209,0.3640285523636521,0.056007445,,,198.0829009007366,19.687547910449823,0
865402237600956672,114.6269030940065,21.61437875352837,-1.3266184044264353,0.07447238,-2.0794486199029856,0.06840326,0.7954483,16.664202,0.49435430436519984,0.068682164,,,198.07843464801167,19.67633088752645,0
865402241896333824,114.62476282309238,21.612055828352133,-1.238226472037589,0.25803992,-2.0262534811740136,0.24041004,1.719265,18.93278,0.5620644090192399,0.24358809,,,198.07991599690627,19.673608828373023,0
865402241897416448,114.6372972673717,21.61355822881292,-1.2098320943739915,0.024214612,-2.0558144864910255,0.020973234,0.5810528,14.616877,0.4085954745919185,0.0224668,,,198.0831325256986,19.684961427165153,0
865402241897416576,114.63009615039394,21.62024413007699,-1.1634618740612483,0.058293514,-2.0517206027042043,0.05160161,0.75874233,16.414644,0.30957503437326106,0.052592944,,,198.07386605124992,19.681301729056965,0
865402241897417344,114.63588445470833,21.61076737173014,-1.2034404367607525,0.042004976,-2.079643938734577,0.036838654,0.85463715,15.81691,0.3935333581317634,0.038479887,,,198.08534628437752,19.68268779172273,0
865402241897417856,114.63005360928152,21.615082757897635,-1.169670622482848,0.028104462,-2.1845579110486004,0.023483323,0.6273508,14.7554035,0.3750395336234675,0.02534069,,,198.07892236056026,19.679308073138152,0
865402241897419008,114.62442029036416,21.61454349093481,-1.3716095835691984,0.078824684,-2.1369712331573494,0.06977445,1.0000267,16.926355,0.2252861216468196,0.07232511,,,198.07734319294062,19.674257534193384,0
865402241897420416,114.6320487442125,21.603160151501925,-1.2652171979230311,0.030488713,-2.055127374527694,0.026381342,0.67241955,15.138594,0.46223839731044297,0.027431246,,,198.09138571141614,19.67650319255772,0
865402241897420544,114.62581183361321,21.607933080714435,-1.2635063857127502,0.06501815,-2.102116664155127,0.060382567,0.7723942,16.570177,0.3851901516264452,0.060987193,,,198.08436004664844,19.672947767125965,0
865402271960701952,114.64426092898802,21.623800374130294,-4.577909757374894,0.094532035,-2.634920026114017,0.088704705,1.0795059,17.163702,0.29006861051021604,0.08767527,,,198.07567326645074,19.694835009726862,-1
865402375039926528,114.65120845559474,21.637443060975862,5.401793177094365,0.11899056,-3.763735446196454,0.11605391,1.4447784,17.714287,0.8493182807569811,0.10986307,,,198.0648637919971,19.705982453702923,-1
865402379336363136,114.64811458599777,21.634133389950527,-1.2378171725595108,0.02639317,-2.08490911160085,0.025461588,0.61146545,14.530247,0.39646210417917227,0.024166426,,,198.06695928033315,19.702066742822343,0
865402443759403904,114.64783996320266,21.638425596043625,-1.040891453155099,0.08485627,-2.1166403756053374,0.08242311,0.84254456,16.932913,0.4177447736198089,0.07813015,,,198.06263752529313,19.70345728036259,0
865402443761572352,114.64130164655683,21.633983157750375,-0.9565386193492977,0.23795778,-1.8836229574644152,0.24781007,1.2487869,18.865677,0.8628231223910884,0.23817098,,,198.0645573299707,19.696149322135323,-1
865402448055837440,114.64203262173787,21.651579175828466,-1.321420555077133,0.05171393,-2.0161857887108607,0.048810218,0.6919174,16.05706,0.4149314102514606,0.046821203,,,198.0475352258882,19.703446874693597,0
865402448055840896,114.64274867372885,21.634531037511916,-1.0766196674066453,0.05773057,-2.0346680210458428,0.05587601,0.74837875,16.362312,0.31328099723079017,0.054940872,,,198.06456035202032,19.69760171312995,0
865402512478850048,114.56515379897404,21.601063394099913,-5.146928658023314,0.15492162,-6.3079577096627375,0.14064157,2.2361202,18.161745,1.8480761595334936,0.14612192,,,198.0683908307739,19.61816104677545,-1
865402516775355008,114.56406482909887,21.598307330617708,-1.207544502225737,0.060363144,-2.0787889657458547,0.048570182,0.7289734,16.32034,0.46179353158878156,0.052739818,,,198.0706898598299,19.616178301218397,0
865402546838587136,114.58247879121686,21.600959288156947,-0.9549020648076467,0.1641401,-2.017558819545147,0.14875019,1.1947231,18.32334,0.3390751308638071,0.15474783,,,198.0749829172533,19.633024876722832,0
865402546838589440,114.57092467983794,21.602183410230925,-1.1672480539905292,0.19050078,-1.9314961729485094,0.17412052,1.2216301,18.50476,0.4135546501131812,0.17569187,,,198.06945249613395,19.623550270110126,0
865402546838984064,114.57231315717131,21.60829723938309,-3.187330646061723,0.37519845,2.983941174280887,0.33888364,2.1367912,19.333538,1.0408863228106986,0.32825541,,,198.06396717617125,19.627064652847043,-1
