ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,labels
354.7446288189149,56.48250766412865,-3.131173808617789,0.08423792,-1.0671876585328268,0.07645989,1.1574154,17.608072,0.31059341520245,0.077854596,,,113.00794719438343,-4.986672189777933,0
354.7700509233443,56.492704475802775,-2.416365023112863,0.04317838,-1.6188216989176198,0.039775513,0.89998055,16.51756,0.16987494972304526,0.041766267,,,113.02432394102685,-4.980772184557587,0
354.76295598548376,56.48802122893999,-2.591219389844679,0.048135154,-1.6134440982477163,0.049650736,1.1609535,16.71907,0.161264246292738,0.04748795,,,113.01924222241236,-4.984184845625255,0
354.73750755671665,56.4882808705089,-1.8317275828435804,0.066458374,-0.8690159716252319,0.063321,1.3246632,17.25247,0.25115388504257075,0.06310888,,,113.00576565136109,-4.980033866946442,0
354.7652677559356,56.52004887226385,-1.7327323930577294,0.085255824,-1.26359198028044,0.07721075,1.2093792,17.752014,0.20406697148640773,0.08066272,,,113.02939288865082,-4.953768819645939,0
354.70910322123893,56.51044540968925,-1.7937069488749664,0.10231712,-1.003290919223772,0.09579221,1.2443562,18.02512,0.32178780933659573,0.09556961,,,112.99683623655928,-4.954383928826187,0
354.7195931500288,56.515412293068586,-2.7646771307114095,0.10701687,-1.674907387199874,0.098980166,1.482193,18.109203,0.21852619368874665,0.10095336,,,113.00380337020411,-4.951223314060847,0
354.8262137346583,56.48179073695921,-1.6883905371032168,0.09894409,-0.6718499844268256,0.08118791,1.3129616,17.89678,0.3488896932125938,0.08919729,,,113.05119853290867,-4.999847664437894,0
354.8378839405747,56.49053518113568,-2.032379669145592,0.08966944,-1.2136161416289106,0.07878847,1.3318424,17.818247,0.20620211270634844,0.081903376,,,113.05984141719594,-4.9932255749481,0
354.79223340754567,56.484328607007555,-3.1633091435160323,0.13444531,-1.2395048284046748,0.11519931,1.2627697,18.435991,0.27415304681410607,0.119690515,,,113.03380480965211,-4.992214973793511,0
354.7826283903482,56.48486743657609,-2.6767791644924093,0.18785977,-0.46163499556241594,0.16942643,1.2424469,18.93722,0.37045028107362116,0.17711227,,,113.02883952953734,-4.990227451731492,0
