# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Mon May 30 16:37:44 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.017268 0.07400 8.90000 0.4073792696 2.1285493374    0.407 -1.773  3.5214  4.858    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-15      0.00 7.032e-01 2.795e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 9.201 10.081 11.479 8.975
0.017268 0.07400 8.90000 0.4500000179 2.1822810173    0.450 -1.647  3.5316  4.816    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-15      0.00 7.032e-01 2.795e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 8.886 9.700 11.019 8.618
0.017268 0.07400 8.90000 0.5000000000 2.2374541759    0.500 -1.494  3.5455  4.765    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.37e-15      0.00 7.032e-01 2.795e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 8.505 9.235 10.456 8.186
0.017268 0.07400 8.90000 0.5500000119 2.2836582661    0.550 -1.336  3.5634  4.719    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.42e-15      0.00 7.050e-01 2.778e-01 3.090e-03 8.338e-04 7.562e-03 -1.000 1.718e-02 8.109 8.729 9.832 7.728
0.017268 0.07400 8.90000 0.6000000238 2.3211214542    0.600 -1.176  3.5858  4.687    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.91e-15      0.00 7.053e-01 2.775e-01 3.088e-03 8.331e-04 7.556e-03 -1.000 1.721e-02 7.709 8.198 9.168 7.256
0.017268 0.07400 8.90000 0.6277658939 2.3389873505    0.628 -1.086  3.6004  4.676    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.98e-15      0.00 7.054e-01 2.773e-01 3.086e-03 8.327e-04 7.552e-03 -1.000 1.721e-02 7.485 7.899 8.795 6.994
0.017268 0.07400 8.90000 0.6499999166 2.3520352840    0.650 -1.017  3.6118  4.667    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.96e-15      0.00 7.056e-01 2.772e-01 3.085e-03 8.324e-04 7.550e-03 -1.000 1.721e-02 7.313 7.670 8.513 6.794
0.017268 0.07400 8.90000 0.6810850501 2.3686456680    0.681 -0.921  3.6286  4.658    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.57e-15      0.00 7.058e-01 2.771e-01 3.083e-03 8.319e-04 7.545e-03 -1.000 1.718e-02 7.072 7.346 8.112 6.514
0.017268 0.07400 8.90000 0.7000000477 2.3779268265    0.700 -0.864  3.6389  4.655    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.67e-15      0.00 7.058e-01 2.770e-01 3.083e-03 8.318e-04 7.544e-03 -1.000 1.716e-02 6.930 7.154 7.871 6.351
0.017268 0.07400 8.90000 0.7500000000 2.3998889923    0.750 -0.716  3.6686  4.656    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-14      0.00 7.061e-01 2.768e-01 3.040e-03 8.301e-04 7.540e-03 -1.000 1.715e-02 6.560 6.646 7.240 5.926
