Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,p0,p1,p2,p3,p4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.017268,0.074,8.9,0.6277658939,2.3389873505,0.628,-1.086,3.6004,4.676,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.98E-15,0.0,0.7054,0.2773,0.003086,8.327E-4,0.007552,-1.0,0.01721,7.485,7.899,8.795,6.994
0.017268,0.074,8.9,0.6499999166,2.352035284,0.65,-1.017,3.6118,4.667,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.96E-15,0.0,0.7056,0.2772,0.003085,8.324E-4,0.00755,-1.0,0.01721,7.313,7.67,8.513,6.794
0.017268,0.074,8.9,0.6810850501,2.368645668,0.681,-0.921,3.6286,4.658,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-8.57E-15,0.0,0.7058,0.2771,0.003083,8.319E-4,0.007545,-1.0,0.01718,7.072,7.346,8.112,6.514
0.017268,0.074,8.9,0.7000000477,2.3779268265,0.7,-0.864,3.6389,4.655,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.67E-15,0.0,0.7058,0.277,0.003083,8.318E-4,0.007544,-1.0,0.01716,6.93,7.154,7.871,6.351
0.017268,0.074,8.9,0.75,2.3998889923,0.75,-0.716,3.6686,4.656,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.31E-14,0.0,0.7061,0.2768,0.00304,8.301E-4,0.00754,-1.0,0.01715,6.56,6.646,7.24,5.926
0.017268,0.074,8.9,0.7990384102,2.4183878899,0.799,-0.588,3.6882,4.633,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.75E-14,0.0,0.7065,0.2764,0.003037,8.292E-4,0.007532,-1.0,0.01714,6.241,6.257,6.784,5.587
0.017268,0.074,8.9,0.8088822961,2.4217917919,0.809,-0.563,3.692,4.629,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-1.85E-14,0.0,0.7066,0.2763,0.003036,8.289E-4,0.00753,-1.0,0.01713,6.178,6.182,6.698,5.522
0.017268,0.074,8.9,0.84807688,2.4344482422,0.848,-0.466,3.7067,4.611,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-2.31E-14,0.0,0.7069,0.276,0.003032,8.281E-4,0.007522,-1.0,0.01709,5.934,5.898,6.371,5.273
0.017268,0.074,8.9,0.8582203388,2.4375078678,0.858,-0.441,3.7103,4.606,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-2.44E-14,0.0,0.707,0.2759,0.003031,8.278E-4,0.00752,-1.0,0.01709,5.873,5.828,6.291,5.211
0.017268,0.074,8.9,0.897115171,2.4485063553,0.896,-0.349,3.7239,4.587,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-3.01E-14,0.0,0.7074,0.2755,0.003028,8.269E-4,0.007511,-1.0,0.0171,5.643,5.569,5.997,4.983
0.017268,0.074,8.9,0.9461535811,2.4609019756,0.946,-0.238,3.7395,4.561,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-3.91E-14,0.0,0.708,0.2749,0.003021,8.252E-4,0.007496,-1.0,0.0171,5.364,5.263,5.653,4.711
0.017268,0.074,8.9,0.9758144021,2.4677081108,0.976,-0.172,3.7482,4.544,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-4.57E-14,0.0,0.7086,0.2744,0.003017,8.239E-4,0.007485,-1.0,0.01708,5.2,5.089,5.457,4.558
0.017268,0.074,8.9,0.9951920509,2.4719035625,0.995,-0.13,3.7537,4.533,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-5.05E-14,0.0,0.7089,0.274,0.003014,8.23E-4,0.007477,-1.0,0.01705,5.095,4.98,5.334,4.461
0.017268,0.074,8.9,1.0442303419,2.4817252159,1.044,-0.027,3.7664,4.501,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-6.07E-14,0.0,0.7102,0.2729,0.003002,8.2E-4,0.00745,-1.0,0.01691,4.837,4.712,5.036,4.223
0.017268,0.074,8.9,1.0856257677,2.4892268181,1.085,0.058,3.7762,4.472,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-7.01E-14,0.0,0.7118,0.2714,0.002988,8.161E-4,0.007415,-1.0,0.01684,4.625,4.496,4.797,4.031
0.017268,0.074,8.9,1.0932688713,2.4905405045,1.092,0.073,3.778,4.467,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-7.19E-14,0.0,0.7121,0.2711,0.002985,8.153E-4,0.007408,-1.0,0.01683,4.587,4.457,4.754,3.996
0.017268,0.074,8.9,1.1062338352,2.4927215576,1.105,0.099,3.7808,4.458,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-7.5E-14,0.0,0.7128,0.2704,0.002978,8.135E-4,0.007392,-1.0,0.01679,4.522,4.392,4.682,3.938
0.017268,0.074,8.9,1.1423072815,2.4984912872,1.141,0.17,3.7885,4.432,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-8.41E-14,0.0,0.7151,0.2683,0.002957,8.079E-4,0.007341,-1.0,0.01669,4.346,4.215,4.488,3.779
0.017268,0.074,8.9,1.1913455725,2.5056939125,1.191,0.263,3.7983,4.396,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-9.69E-14,0.0,0.7167,0.2667,0.002947,8.053E-4,0.007319,-1.0,0.01666,4.113,3.982,4.234,3.57
0.017268,0.074,8.9,1.1977299452,2.5065817833,1.197,0.275,3.7996,4.392,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-9.85E-14,0.0,0.7167,0.2666,0.002948,8.054E-4,0.00732,-1.0,0.01666,4.083,3.952,4.202,3.544
0.017268,0.074,8.9,1.2403841019,2.5122456551,1.24,0.353,3.8077,4.361,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.1E-13,0.0,0.7168,0.2666,0.002951,8.066E-4,0.007331,-1.0,0.01664,3.888,3.759,3.992,3.37
0.017268,0.074,8.9,1.2894222736,2.5182275772,1.289,0.438,3.8164,4.328,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.21E-13,0.0,0.717,0.2663,0.002949,8.062E-4,0.007328,-1.0,0.01669,3.676,3.549,3.765,3.181
0.017268,0.074,8.9,1.3013266325,2.5196015835,1.301,0.457,3.8185,4.321,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.24E-13,0.0,0.7171,0.2662,0.002949,8.061E-4,0.007327,-1.0,0.01668,3.627,3.499,3.712,3.136
0.017268,0.074,8.9,1.3384609222,2.5237081051,1.338,0.518,3.8249,4.298,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.31E-13,0.0,0.7172,0.2662,0.002949,8.061E-4,0.007328,-1.0,0.01665,3.475,3.348,3.55,3.0
0.017268,0.074,8.9,1.3874992132,2.5287456512,1.387,0.594,3.8333,4.271,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.36E-13,0.0,0.7168,0.2665,0.002952,8.068E-4,0.007333,-1.0,0.01665,3.284,3.159,3.346,2.83
0.017268,0.074,8.9,1.4365376234,2.5333898067,1.436,0.667,3.842,4.248,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.37E-13,0.0,0.7169,0.2664,0.00295,8.063E-4,0.007329,-1.0,0.01665,3.102,2.978,3.152,2.671
0.017268,0.074,8.9,1.4388769865,2.5336022377,1.439,0.671,3.8425,4.247,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.37E-13,0.0,0.7169,0.2664,0.00295,8.063E-4,0.007329,-1.0,0.01665,3.093,2.97,3.143,2.663
0.017268,0.074,8.9,1.4855761528,2.5376830101,1.485,0.738,3.8516,4.23,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.32E-13,0.0,0.7172,0.2662,0.002948,8.057E-4,0.007323,-1.0,0.01666,2.926,2.805,2.964,2.521
0.017268,0.074,8.9,1.5189435482,2.540422678,1.519,0.784,3.8586,4.221,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.22E-13,0.0,0.7173,0.266,0.002946,8.054E-4,0.00732,-1.0,0.01666,2.809,2.692,2.84,2.424
0.017268,0.074,8.9,1.534614563,2.5416622162,1.534,0.806,3.8617,4.217,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.18E-13,0.0,0.7174,0.2659,0.002946,8.052E-4,0.007319,-1.0,0.01666,2.756,2.639,2.783,2.379
0.017268,0.074,8.9,1.5649627447,2.5439817905,1.565,0.846,3.8678,4.209,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.04E-13,0.0,0.7176,0.2658,0.002945,8.049E-4,0.007316,-1.0,0.01666,2.654,2.541,2.675,2.296
0.017268,0.074,8.9,1.583652854,2.5453593731,1.583,0.871,3.8713,4.204,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-9.56E-14,0.0,0.7176,0.2657,0.002944,8.047E-4,0.007314,-1.0,0.01666,2.592,2.481,2.61,2.245
0.017268,0.074,8.9,1.6326912642,2.5488023758,1.632,0.934,3.8798,4.188,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-6.16E-14,0.0,0.7178,0.2656,0.002943,8.044E-4,0.007311,-1.0,0.01664,2.436,2.329,2.445,2.114
