ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,labels
101.07440625878199,0.4850676712500615,-0.3641344873488638,0.056844104,0.23440969355748245,0.059868567,0.75982666,16.39642,0.19317235717222075,0.05368432,,,211.6859639366011,-1.3673298743008937,0
101.28645284703921,0.03643858218297692,-0.5126374744641842,0.053217914,0.16530179632051825,0.05040398,1.095191,16.161674,0.19078592057523125,0.048543513,,,212.18206554969572,-1.3833182649063651,0
101.32427158425112,0.07360604964678713,-0.3484219937409439,0.06940905,0.20008411403402282,0.059192322,1.5568094,16.461359,0.23002746588899342,0.06733806,,,212.16623581223257,-1.3327096063114234,0
101.31158179015603,0.08710576414225503,-0.24771695735179441,0.055413637,0.3143082813544873,0.04621382,0.99798965,16.240677,0.180766518970161,0.052938472,,,212.14842915109057,-1.337844569584157,0
101.2850127320618,0.10104583211337897,-0.3240902265528892,0.03339581,0.17951967578605285,0.028049959,0.6806984,15.034921,0.19977853841856902,0.029105162,,,212.12389763136386,-1.3551296868596285,0
101.23323833659241,0.0722985077564127,-0.23412769293154254,0.056797687,0.7835202414099992,0.049318906,1.0986023,16.278662,0.15357650693059632,0.050509043,,,212.1258634005505,-1.4143169194537772,0
101.19158121133763,0.07777980227273489,-0.11501875885920176,0.046142682,0.2047145306319001,0.04404747,1.2099466,15.9837885,0.25646154197081744,0.04085032,,,212.10197588202416,-1.4488871427254226,0
101.26880048636531,0.1061845275198318,-0.3494740308490852,0.11870036,0.7188373060620831,0.10152822,,17.710693,0.322187759659693,0.10467935,,,212.11192602520885,-1.367212888456191,0
101.27270657366688,0.09895313262716456,-0.1467050567592614,0.056602836,0.43944993333197313,0.050213147,1.056242,16.362476,0.15071923999378398,0.05047485,,,212.12014536447737,-1.3670355216197485,0
101.27072876027144,0.11390363711414844,-0.4458470770565058,0.033869706,0.20368348786535356,0.029727953,0.8122263,15.365116,0.2431811259394526,0.030835804,,,212.1059347057532,-1.3619757777850094,0
101.24209913560055,0.10828676251848708,-0.2822124616896095,0.0987597,0.5890218426393077,0.08512943,1.1923523,17.410751,0.32356661520120233,0.094078146,,,212.09787107342208,-1.3900153379834246,0
101.2450771818691,0.1318511870640115,-0.7503404013991785,0.10824538,0.33298653626957164,0.093229316,1.3092117,17.544935,0.32565036718914336,0.09521646,,,212.07825401488637,-1.3766158560631938,0
101.24298565728465,0.13311236686509587,-0.5673721885742079,0.031100014,0.43637521656577744,0.027474163,1.0708799,15.103276,0.28991104512956656,0.028190352,,,212.0761770085968,-1.3779017655600911,0
101.25001425383805,0.14413780805506138,-0.506929565498004,0.057381608,0.37680577953372424,0.049829643,1.8746376,16.032553,0.13978336207374434,0.052645486,,,212.06956992930367,-1.3666175831409288,0
101.33829068206862,0.09818695601307087,-0.20744043508209897,0.031847008,0.3558575146493746,0.026726056,0.72046757,14.491886,0.17414842370553113,0.02913407,,,212.1507516169463,-1.3090215773246288,0
101.35131746347186,0.10374710714680238,-0.5308870653960871,0.02963735,0.2662721645309237,0.02546437,1.694624,15.049221,0.22242015192412343,0.028980583,74.66863,7.8043494,212.15174591360946,-1.2948927531769192,0
101.36475267372327,0.10879153033287182,-0.6500522004223583,0.021799333,0.6818616154840034,0.017901873,0.82764435,14.111984,0.31707728694041293,0.019638048,,,212.1533856045486,-1.2806357117488791,0
101.39621195686765,0.13269855031673367,-0.5790987448508491,0.12126123,0.5305132097501569,0.11077135,1.479702,17.719906,0.2376802257923092,0.11515345,,,212.1464587554334,-1.241734944428292,0
101.41098006746034,0.1488301084696565,-0.5824302517319185,0.08223998,0.41552417108797696,0.06905889,2.2071295,16.783234,0.16345570569603676,0.07688867,,,212.13883777380494,-1.2212344466918257,0
101.39806814759842,0.15569272371256207,-0.20258985678602198,0.038861513,0.3354199442732362,0.032037303,1.0762253,15.503755,0.20225423521771396,0.037303094,,,212.1268382492505,-1.229594425741136,0
101.36744000306093,0.15186046051960056,-0.22672657593950574,0.050794005,0.15493773407961337,0.042978805,1.0531034,16.067347,0.2785229415105944,0.04789508,,,212.1162750835761,-1.2585984746699024,0
101.35742387595884,0.16236447050607652,-0.22727167678030705,0.096099,0.26687132984888895,0.0806866,1.710989,17.305616,0.237570386770675,0.090159096,,,212.1023552972545,-1.262720320095054,0
101.39403681366286,0.1695743254693426,-0.285698809396145,0.064572856,0.4171213995727385,0.05488192,2.460106,16.597263,0.23069296471172643,0.060507614,,,212.11264282841486,-1.2268497943425156,0
101.30516903275267,0.13441939965805738,-0.3316310788554611,0.069080934,0.42296748616987506,0.05701608,,16.494598,0.31805960197924454,0.061117105,,,212.1033873448985,-1.3219690557166377,0
101.30517405832225,0.13410713014480638,-0.13701748807102934,0.042251673,0.3372593772097654,0.036288098,0.8437176,15.698754,0.2090244469897238,0.038141105,,,212.10366759982267,-1.3221070285103584,0
101.27962109086366,0.16932882021807072,-0.32102783224750153,0.09600961,0.28232082592987906,0.08044535,1.0409279,17.21908,0.3322107285799407,0.08963822,,,212.060656121987,-1.3287793311489076,0
101.34195934306888,0.16266017318693274,-0.583974140861861,0.089341156,0.4846340555909169,0.076630495,1.1109886,17.228853,0.20625838548804298,0.08868978,,,212.09503607596142,-1.2763472269436738,0
