Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,(BP-RP)TurnOff,GmagTurnOff,Ajustadas/Total
6.6, 2.854120749245193, 0.38806502817283794, 0.017223390448868788, 0.024066369057246777, 0.9997633798096353, -0.508, -3.144, 0.09375= 15/160
6.7, 2.889556565143747, 0.4999051778025132, 0.017358461558334155, 0.023174533543742073, 0.9997474812810081, -0.49200000000000044, -3.158, 0.1= 16/160
6.8, 2.912169168198844, 0.5697540499402058, 0.013492392280951648, 0.020104335333999166, 0.9998283187545255, -0.5089999999999999, -3.455, 0.11320754716981132= 18/159
6.9, 2.9664900863585926, 0.5731253707282042, 0.015735610816009854, 0.023446843583051474, 0.9996906340415109, -0.484, -3.661, 0.16= 24/150
7.0, 2.92895621616323, 0.8116815350382596, 0.01329699407611003, 0.01942630182533507, 0.9997630674860023, -0.46799999999999997, -2.891, 0.17482517482517482= 25/143
7.1, 2.97353755829729, 0.8637804802587778, 0.014529086869777781, 0.02892865431027606, 0.9998806501071252, -0.43699999999999983, -2.771, 0.08633093525179857= 12/139
7.2, 2.9968837863714204, 0.944187034010314, 0.013440227441981112, 0.02748170450447795, 0.9998893977235401, -0.4179999999999997, -2.62, 0.0948905109489051= 13/137
7.3, 3.0339761005811647, 0.9837724341317298, 0.01833198880487472, 0.03949576169487393, 0.9997627787143477, -0.3979999999999997, -2.508, 0.11811023622047244= 15/127
7.4, 3.0679074178407335, 1.0825010187200688, 0.016510501901629605, 0.033829820223503254, 0.9997973241304391, -0.3720000000000001, -2.175, 0.13114754098360656= 16/122
7.5, 3.1089715721465727, 1.1118134050417918, 0.016399978422922547, 0.03571080764537632, 0.9997913692172541, -0.3470000000000002, -1.919, 0.14049586776859505= 17/121
7.6, 3.167601565681075, 1.1447196691390094, 0.019921099306707147, 0.04364813199924419, 0.9996837362438937, -0.32299999999999995, -1.758, 0.16363636363636364= 18/110
7.7, 3.1885590960339742, 1.2011382111869917, 0.018858553882284204, 0.03514874925658635, 0.999877590216809, -0.29899999999999993, -1.64, 0.08035714285714286= 9/112
7.8, 3.2302178458095736, 1.247443495135863, 0.03423223620683353, 0.05601251559850856, 0.9996071570284516, -0.2729999999999999, -1.526, 0.08823529411764706= 9/102
7.9, 3.059648971402648, 1.6289967603478162, 0.028137892517870522, 0.023530598621815575, 0.9994085030533782, -0.236, -0.838, 0.1839080459770115= 16/87
8.0, 3.121761819943125, 1.6285056591981508, 0.029396756830658403, 0.01974257824787425, 0.998981799143776, -0.20900000000000002, -0.57, 0.29069767441860467= 25/86
8.1, 3.1172953224048308, 1.6431942826706754, 0.021581588596178553, 0.016582371310841955, 0.9995449721006605, -0.18, -0.284, 0.26582278481012656= 21/79
8.2, 3.1156127622874323, 1.6549642911073992, 0.0199998727858515, 0.0159813649936072, 0.9996087663518164, -0.156, -0.119, 0.2727272727272727= 21/77
8.3, 3.132675056677863, 1.6482829394009209, 0.01575927171998983, 0.013435914154952952, 0.999784959425896, -0.12400000000000003, 0.196, 0.25333333333333335= 19/75
8.4, 3.1538287476937152, 1.6226548952809334, 0.012050319380822211, 0.013625017432637715, 0.9998613390508868, -0.09800000000000003, 0.347, 0.28378378378378377= 21/74
8.5, 3.1850567650067494, 1.6080329150805075, 0.018827180268307448, 0.017759393957831146, 0.9997555022035333, -0.06599999999999995, 0.533, 0.22857142857142856= 16/70
8.6, 3.154158798325759, 1.7274297639002651, 0.037940866338363986, 0.062367664171856026, 0.9997830312052806, -0.0050000000000001155, 1.05, 0.07692307692307693= 5/65
8.7, 3.1397735032556233, 1.800052049904595, 0.04304833955271727, 0.07129089673593937, 0.9997181462699394, 0.05799999999999983, 1.356, 0.0847457627118644= 5/59
8.8, 3.106754559643664, 1.902030035170612, 0.027967889791091282, 0.0550240585429917, 0.9997974587156326, 0.13200000000000012, 1.615, 0.12727272727272726= 7/55
8.9, 3.156937401313431, 1.8260336495851286, 0.031438948337705164, 0.060456172765302664, 0.9997521536045223, 0.2330000000000001, 1.938, 0.12280701754385964= 7/57
9.0, 3.0613659060866745, 2.110243885508888, 0.05047228748336349, 0.07519755996452877, 0.9993211511342291, 0.347, 2.334, 0.1346153846153846= 7/52
9.1, 3.0619020765878884, 2.100700438938232, 0.03416958922679979, 0.060821750445798024, 0.9995644067614718, 0.40700000000000003, 2.412, 0.17647058823529413= 9/51
9.2, 2.9400652499852127, 2.332617640995923, 0.02726747953079918, 0.05974629853185752, 0.9996990820925852, 0.508, 2.895, 0.2= 9/45
9.3, 2.997369523698956, 2.344232948486339, 0.041675017074465824, 0.059218038731081474, 0.9993240749477483, 0.5700000000000003, 3.239, 0.1875= 9/48
9.4, 2.9464439827174567, 2.41049587842799, 0.024653728437233756, 0.05000147296976264, 0.9997550500872133, 0.6309999999999998, 3.627, 0.20930232558139536= 9/43
9.5, 2.9206467374404252, 2.4560218445640936, 0.030276353715016004, 0.0512654269255564, 0.9996241001147038, 0.6700000000000004, 3.818, 0.225= 9/40
9.6, 2.958982731986611, 2.3659969120102717, 0.02830444052013638, 0.05130674595051846, 0.9995428103599547, 0.6920000000000002, 3.85, 0.2727272727272727= 12/44
9.7, 2.9504724119002113, 2.4026096801114214, 0.021137893864671926, 0.04399168734016055, 0.999743467039816, 0.7170000000000005, 3.889, 0.2553191489361702= 12/47
9.8, 2.9187074252825003, 2.517410427610799, 0.02141726366372465, 0.04985825898075217, 0.9997308827705347, 0.77, 4.216, 0.3= 12/40
