_RAJ2000,_DEJ2000,_r,RA_ICRS,DE_ICRS,GaiaDR2,Plx,pmRA*,pmDE,RV,o_Gmag,Gmag,BP-RP,proba,Cluster,Teff50,Simbad,_RA.icrs,_DE.icrs,source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels,Separation
97.4273201390274,-31.347974777498,0.071496,97.42731431966,-31.34795128224,2893929417652660352,0.2661985650938817,-1.1542938406166154,5.456962316734855,,306,15.838199,0.69972515,1.0,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,6795.7593,Simbad,97.42732013903,-31.3479747775,2893929417652660352,97.42731410672921,-31.347950507398107,-1.2371487583588057,0.031079732,5.490881901327371,0.02890965,0.6977892,15.8263855,0.25046026154098117,0.02856203,,,239.55315016754105,-18.009342635043577,1.0177892,448,54,53,0,0.00286522153227515
97.4778706600244,-31.3407691413315,0.091994,97.47786333247,-31.34074499087,2893929658170800384,0.26802347247031955,-1.4535590272728203,5.609138672397062,,287,17.597279,0.8925457,1.0,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,,Simbad,97.47787066002,-31.34076914133,2893929658170800384,97.4778631202352,-31.34074421853136,-1.223537481235471,0.07700632,5.490130528631883,0.07404986,0.8815956,17.577562,0.30532552736052304,0.071154974,,,239.56259527177482,-17.96650544316814,1.039991,459,50,48,0,0.0028559706989732866
97.4646812969489,-31.3462135675597,0.087542,97.46467299749,-31.34619112994,2893929756951410432,0.13629505398430197,-1.6462607593251277,5.211318430681747,,299,17.891993,0.8308449,0.8,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,,Simbad,97.46468129695,-31.34621356756,2893929756951410432,97.4646727607341,-31.34619035875242,-1.3988999144326684,0.09421778,5.485769496553566,0.086243585,0.8147373,17.873173,0.22168249188506878,0.08271064,,,239.56362105145496,-17.978980138648737,1.016335,466,52,52,0,0.00287011610396734
97.4503082572306,-31.3281754670744,0.06605,97.45030175777,-31.32815195435,2893929829969497728,0.2049248280164687,-1.2894638459401337,5.461020217522058,,302,16.446999,0.65789604,1.0,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,6557.449,Simbad,97.45030825723,-31.32817546707,2893929829969497728,97.45030153027277,-31.328151178958564,-1.2744233956122237,0.04039508,5.519634744570874,0.038621366,0.64040756,16.43399,0.2400349369152703,0.037352793,,,239.54126103795886,-17.983854523354328,1.0400162,467,53,53,0,0.0028777392533170004
97.4436976062608,-31.3302756245822,0.06371,97.44369102593,-31.33025265107,2893929829969504000,0.1452146109725954,-1.3054799651279958,5.335783593698711,,306,16.562416,0.64556503,1.0,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,6732.563,Simbad,97.44369760626,-31.33027562458,2893929829969504000,97.44369082228219,-31.330251889049556,-1.1601718377886696,0.04415765,5.471542691032352,0.042312033,0.6392212,16.549875,0.20169406404078147,0.041181576,,,239.54115969450794,-17.989878670060236,1.0374829,460,49,49,0,0.0028138432884873155
97.4506633935387,-31.3372587447828,0.072884,97.45065719894,-31.33723527203,2893929829969506304,0.21611482215311675,-1.22886197853708,5.451735206038386,,297,16.750444,0.65933037,1.0,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,6634.9385,Simbad,97.45066339354,-31.33725874478,2893929829969506304,97.45065697685101,-31.337234506343012,-1.2324570089435727,0.04874553,5.492700563419701,0.046480276,0.646719,16.736258,0.26879489476221524,0.045746185,,,239.5502733461703,-17.986874640441933,1.0505743,451,53,54,0,0.002839802633766199
97.4498430123556,-31.3381576035492,0.073116,97.44983577327,-31.33813370621,2893929829969507840,0.1050552308849866,-1.4360499549270571,5.5503498693211135,,315,16.941782,0.6846142,0.9,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,6558.831,Simbad,97.44984301236,-31.33815760355,2893929829969507840,97.44983554091436,-31.338132949282194,-1.3583013882337331,0.052353557,5.436528379119735,0.049645033,0.670887,16.928408,0.10617601483556796,0.048233803,,,239.55088509112835,-17.987854896105485,0.943566,471,55,56,0,0.002817043709631804
97.4713190884916,-31.3260409772713,0.07867,97.47131265639,-31.3260172359,2893929864329221376,0.19678929422344166,-1.2761291116666023,5.514124065100852,,287,15.632048,0.7709675,1.0,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,5686.6763,Simbad,97.47131908849,-31.32604097727,2893929864329221376,97.47131244265705,-31.326016454182845,-1.2420712112668508,0.027874852,5.516864377535096,0.02810057,0.7647352,15.618666,0.20332230605156504,0.025795998,,,239.54603353086304,-17.966359581983138,1.0044014,447,54,55,0,0.002889917904736728
97.4835130223355,-31.3156947927194,0.082784,97.48350641463,-31.31567272313,2893929894390410880,0.23488762308022024,-1.311113328729494,5.125840363240432,,273,17.63536,0.7833748,0.8,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,6301.82,Simbad,97.48351302234,-31.31569479272,2893929894390410880,97.4835061757016,-31.31567197289669,-1.3506305849744797,0.07961525,5.5335194172441495,0.08074861,0.7687435,17.617695,0.19418806379850173,0.07338499,,,239.53988909124283,-17.952892876636124,1.0269971,437,54,53,0,0.0027990207282045094
97.4768058434221,-31.317922608031,0.078574,97.47679858296,-31.31789862851,2893929898688951552,0.1676562608709048,-1.4406013370088522,5.5694370158971385,,299,15.830648,1.0146303,1.0,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/A+A/640/A1&Cluster=%-17s,4971.1143,Simbad,97.47680584342,-31.31792260803,2893929898688951552,97.47679835283763,-31.31789785475863,-1.3556974570903646,0.030344224,5.509473202382445,0.029999243,0.9992218,15.818339,0.1766902617512453,0.028050793,,,239.53987635134857,-17.959040515318257,0.98858947,453,52,52,0,0.002874008523172944
