#Aglomerado NGC 2243, Ag = 0.016725399999999998, E = 0.008979599999999999
Metodo,Age,ModDist
DIAS2022, 9.6, 12.85
Inicial, 9.4, 11.46510241794801
Chi, 9.4, 13.15
Beauchamp, 9.5, 12.75
