source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels
2893929417652660352,97.42731410672921,-31.347950507398107,-1.2371487583588057,0.031079732,5.490881901327371,0.02890965,0.6977892,15.8263855,0.25046026154098117,0.02856203,,,239.55315016754105,-18.009342635043577,1.0177892,448,54,53,0
2893929585152707712,97.48412088185073,-31.353954132720574,-1.3339457885156007,0.07564045,5.422224945258472,0.07121029,0.76558113,17.589386,0.28783779589658837,0.068843186,,,239.57757469215,-17.966332539590564,1.0016426,466,54,53,0
2893929658170800384,97.4778631202352,-31.34074421853136,-1.223537481235471,0.07700632,5.490130528631883,0.07404986,0.8815956,17.577562,0.30532552736052304,0.071154974,,,239.56259527177482,-17.96650544316814,1.039991,459,50,48,0
2893929756951410432,97.4646727607341,-31.34619035875242,-1.3988999144326684,0.09421778,5.485769496553566,0.086243585,0.8147373,17.873173,0.22168249188506878,0.08271064,,,239.56362105145496,-17.978980138648737,1.016335,466,52,52,0
2893929829969497728,97.45030153027277,-31.328151178958564,-1.2744233956122237,0.04039508,5.519634744570874,0.038621366,0.64040756,16.43399,0.2400349369152703,0.037352793,,,239.54126103795886,-17.983854523354328,1.0400162,467,53,53,0
2893929829969504000,97.44369082228219,-31.330251889049556,-1.1601718377886696,0.04415765,5.471542691032352,0.042312033,0.6392212,16.549875,0.20169406404078147,0.041181576,,,239.54115969450794,-17.989878670060236,1.0374829,460,49,49,0
2893929829969506304,97.45065697685101,-31.337234506343012,-1.2324570089435727,0.04874553,5.492700563419701,0.046480276,0.646719,16.736258,0.26879489476221524,0.045746185,,,239.5502733461703,-17.986874640441933,1.0505743,451,53,54,0
2893929829969507840,97.44983554091436,-31.338132949282194,-1.3583013882337331,0.052353557,5.436528379119735,0.049645033,0.670887,16.928408,0.10617601483556796,0.048233803,,,239.55088509112835,-17.987854896105485,0.943566,471,55,56,0
2893929860030649216,97.46356417998533,-31.33108139726768,-1.2422861152338753,0.11112252,5.599027195458412,0.106629305,0.87485886,18.24542,0.2945380518509535,0.10575835,,,239.548462383132,-17.974367157730544,0.9869699,458,53,55,0
2893929864329221376,97.47131244265705,-31.326016454182845,-1.2420712112668508,0.027874852,5.516864377535096,0.02810057,0.7647352,15.618666,0.20332230605156504,0.025795998,,,239.54603353086304,-17.966359581983138,1.0044014,447,54,55,0
2893929894390395520,97.47746896564266,-31.32559843823661,-1.2918770493267666,0.11254418,5.560283155252991,0.10509666,0.8406849,18.194641,0.31082323946669577,0.10008347,,,239.54763563126448,-17.96130885805837,1.0131943,454,58,58,0
2893929894390410880,97.4835061757016,-31.31567197289669,-1.3506305849744797,0.07961525,5.5335194172441495,0.08074861,0.7687435,17.617695,0.19418806379850173,0.07338499,,,239.53988909124283,-17.952892876636124,1.0269971,437,54,53,0
2893929898688951552,97.47679835283763,-31.31789785475863,-1.3556974570903646,0.030344224,5.509473202382445,0.029999243,0.9992218,15.818339,0.1766902617512453,0.028050793,,,239.53987635134857,-17.959040515318257,0.98858947,453,52,52,0
2893929928750127616,97.45813422169026,-31.330400153336964,-1.2073087704910437,0.071269475,5.405512825127441,0.06714671,0.7551155,17.481503,0.14858829829255019,0.06586597,,,239.54602171833253,-17.97843989375255,1.0019898,469,53,54,0
2893929933048696064,97.47041782886384,-31.322755602957386,-1.2678753779384915,0.027705373,5.538714464034929,0.027399315,0.7619457,15.623243,0.2004512880871864,0.025409833,,,239.5425481552843,-17.965885107263873,0.9809768,461,55,53,0
2893929933048705536,97.46318752571624,-31.328606579560592,-1.3539221552264267,0.07841721,5.443313392009742,0.07402923,0.751667,17.629612,0.2169663111007935,0.072382465,,,239.5459157704166,-17.97376669160985,1.0244908,464,55,54,0
