source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels
2893929585152707712,97.48412088185073,-31.353954132720574,-1.3339457885156007,0.07564045,5.422224945258472,0.07121029,0.76558113,17.589386,0.28783779589658837,0.068843186,,,239.57757469215,-17.966332539590564,1.0016426,466,54,53,0
2893929860030649216,97.46356417998533,-31.33108139726768,-1.2422861152338753,0.11112252,5.599027195458412,0.106629305,0.87485886,18.24542,0.2945380518509535,0.10575835,,,239.548462383132,-17.974367157730544,0.9869699,458,53,55,0
2893929894390395520,97.47746896564266,-31.32559843823661,-1.2918770493267666,0.11254418,5.560283155252991,0.10509666,0.8406849,18.194641,0.31082323946669577,0.10008347,,,239.54763563126448,-17.96130885805837,1.0131943,454,58,58,0
2893936250941962752,97.30356719708499,-31.345169215602038,-1.2543068790268495,0.044798233,5.426278344957507,0.045681298,0.64058685,16.754381,0.24425163229610544,0.043823704,,,239.51007563102013,-18.106809486120927,1.026691,475,60,57,0
2893936255240622336,97.30713956554251,-31.350242692783606,-1.1860935801677681,0.02474855,5.449211884691841,0.02596878,0.7430239,15.586006,0.2034399409770139,0.024502339,,,239.5162140109231,-18.105805635745213,0.9844432,467,56,57,0
2893936255240622592,97.29589009188878,-31.344253400932356,-1.1872776600318513,0.011176961,5.571852300180375,0.011505261,1.2053747,13.03372,0.21676404772838587,0.010686457,60.312206,0.8903349,239.5066766965104,-18.11258806062085,1.0593839,464,55,53,0
2893936491460163840,97.3149490376412,-31.323613615485606,-1.1106693848823466,0.13333972,5.537230961227862,0.12769179,0.9285984,18.521343,0.28126449978963675,0.1338506,,,239.49265104241368,-18.089932277073267,1.004927,422,51,51,0
2893941130024797312,97.3985094889831,-31.35490318854718,-1.1684119059905325,0.09389694,5.480035668613356,0.0878245,0.95129013,17.951447,0.1745269594252935,0.085887976,,,239.5505647368393,-18.03478672916445,1.0170622,439,54,55,0
2893941168683184256,97.41036252648684,-31.34082209096203,-1.2951854275369936,0.0936482,5.523488054768407,0.09826122,0.84472275,17.996557,0.2588438113204659,0.09328941,,,239.54063494185564,-18.02024057344102,1.0095453,434,52,52,0
2893941198744288384,97.39145023102427,-31.34461913452495,-1.145022452784629,0.12818228,5.557887807916956,0.12457252,0.98179054,18.535397,0.3143553603293018,0.12149989,,,239.5381851434098,-18.036668976663922,0.9269403,473,54,55,0
