source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels,prob,rs
2941940864189604736,93.88667375857972,-18.58018270236225,-0.6212186592976345,0.07666782,1.9148750303408097,0.098238,0.7944832,17.679123,0.25944317134115813,0.09224123,,,225.93250819316472,-16.073099687627156,0.9458692,427,45,42,0,1.0,0.060028292926013506
2941940898549336832,93.90404689718837,-18.56233175085128,-0.5553230879974344,0.066373155,1.9266105745903463,0.07826861,0.72239304,17.241066,0.2532631365543636,0.07671335,,,225.92243499839702,-16.050824907208696,1.0436537,419,44,43,0,1.0,0.03471888292973465
2941940932909077760,93.88249777840309,-18.55819384530518,-0.5795869860737133,0.039001346,1.9347801308495576,0.04902266,0.70389557,16.457544,0.18247217108474129,0.04533777,,,225.90991025853953,-16.067841798105757,0.9792253,448,48,46,0,1.0,0.01997399676835529
2941940967268815104,93.88947083130604,-18.561092773688202,-0.5325852281384219,0.034375854,1.904299147526439,0.042801145,0.5759554,16.166206,0.20946096813877355,0.039652906,,,225.9154481951818,-16.06296520506776,1.0277038,462,49,42,0,1.0,0.06637771812960731
2941941035988298496,93.8636249000655,-18.566446230569543,-0.6019892261953831,0.021439228,1.963493401864039,0.027365096,0.9601393,15.175083,0.20962758739892726,0.025608812,,,225.91024869818096,-16.087541711585615,1.0060389,457,48,46,0,1.0,0.027446888863487146
2941942406081078784,94.18705733085913,-18.78525872831276,-0.6160867928913732,0.023254769,1.9935361670289862,0.027329274,0.61598873,15.353979,0.25773094561053034,0.025772858,,,226.24720090709104,-15.895600031590455,0.9983696,436,49,48,0,1.0,0.05593753574986876
2941942577878126208,94.18984710511282,-18.75922903034146,-0.6290432319608152,0.024643349,1.9683965620966084,0.029363122,0.5917921,15.429234,0.14009612990316717,0.028144632,,,226.22355340316946,-15.882668208110545,1.0354006,436,51,49,0,1.0,0.0547730123599483
2941947152021983616,94.06707771168152,-18.676067439884495,-0.5832760512135138,0.033625085,2.017296092112165,0.038981453,0.58219147,16.213612,0.242516255508864,0.037802618,,,226.09559721184485,-15.955434605913617,1.0198228,432,46,46,0,1.0,0.06326363968737664
2941947152021984640,94.06001754416094,-18.67192078063225,-0.6010158493529776,0.045811143,1.9962343974379229,0.052668426,0.66427803,16.78637,0.23638813456043756,0.052996945,,,226.08884168524332,-15.959877917140151,0.97345936,426,46,48,0,1.0,0.048666441914457424
2941948217173838208,94.17607250086834,-18.642777914685784,-0.5718363914071724,0.044631768,1.9292192035590687,0.048599765,0.6491718,16.685593,0.25952526823839267,0.050108183,,,226.10734083018752,-15.847525207767855,1.0335941,430,47,45,0,1.0,0.025578179852560015
2941959006131714048,94.06294453570794,-18.65228770891705,-0.5601926244954514,0.045663655,1.9316939881956903,0.052812424,0.66500473,16.807068,0.28135392579804214,0.052339554,,,226.07132801139505,-15.94940918744932,0.90367216,444,47,45,0,1.0,0.027746288147207133
2941959040491446528,94.07278112102708,-18.64177214076118,-0.570159307975512,0.033794235,1.97553882816976,0.0380666,0.56801605,16.12399,0.24148513192844373,0.037018243,,,226.06524142434483,-15.936634509151748,1.0320944,468,52,49,0,1.0,0.02190984454058946
2941959212290157440,94.0088282054959,-18.646322402340466,-0.5817979506748767,0.010745839,1.9750600773759919,0.013529759,1.2118788,13.342026,0.20380738397472287,0.011881218,92.42369,1.2276223,226.04410623597056,-15.993903891619974,0.9934286,427,47,46,0,1.0,0.021395677101520755
2941960140003071616,94.03133941659826,-18.599030485141324,-0.5710675029379995,0.038423743,1.950154154932426,0.04483055,0.6139488,16.376585,0.2605156490053528,0.044347174,,,226.0080741374932,-15.955282297033547,0.8853771,432,48,49,0,1.0,0.00659509239729676
2941960174362816896,94.01318556800429,-18.60576878584894,-0.5708373105351224,0.040213916,1.938401532100498,0.04756906,0.61989594,16.46695,0.21169220225788954,0.045013312,,,226.0072527398356,-15.97374325281507,0.9533254,440,47,46,0,1.0,0.016875948065462498
2941960311801513088,93.97036477720324,-18.608477703109976,-0.5672005513760424,0.03817265,1.9328528566859968,0.046084587,0.6108494,16.438486,0.18531485759058527,0.04641749,,,225.99277464152738,-16.011960704712248,0.9574203,440,48,46,0,1.0,0.023344085239026115
2941960552319922176,94.05402015698637,-18.579153222290557,-0.6219807603993396,0.03192749,1.9797965886954305,0.035890855,0.5395422,15.837565,0.20714136635797706,0.03567246,,,225.99820438167293,-15.927584231385932,1.0004765,392,40,40,0,1.0,0.05243963028271719
2941960689758868864,94.07334500857878,-18.566443258639236,-0.5450094424977164,0.01270933,1.9475296359191208,0.014060408,1.1751757,13.536281,0.1968297292737387,0.013528313,90.62917,1.8017381,225.99381978553296,-15.905690661696243,0.9709016,384,40,42,0,1.0,0.03182782923335845
2941961170796080000,94.12989625311059,-18.567813812079216,-0.6212293421155499,0.029128619,2.006217333482326,0.031241685,0.6289139,15.573775,0.13754502726294837,0.030482404,,,226.0176702699567,-15.857219758557875,1.0251532,411,41,37,0,1.0,0.06869681336721419
2941961308234139392,94.14871031643631,-18.558799210942357,-0.5136453882846179,0.0453043,1.9214474206570131,0.04839707,0.66275024,16.637882,0.25440822765244747,0.048407003,,,226.01660394098323,-15.837262162627308,1.025787,407,45,44,0,1.0,0.07061497243611325
2941963129300255360,94.12905329486775,-18.477079211936452,-0.6093785603148661,0.04626545,1.9661090927007794,0.050165597,0.6244259,16.544157,0.1234445618720626,0.054299146,,,225.93109213245202,-15.821219269220022,1.0108422,341,35,36,0,1.0,0.035285463592439927
2941963335458488064,93.94564544502947,-18.576342243064428,-0.6274175857391842,0.04061674,1.976300311877562,0.047715586,0.6242161,16.519901,0.17704821420124348,0.047214862,,,225.95234404242342,-16.02041183896131,0.9952766,442,44,40,0,1.0,0.055799214496277914
2941963369818223488,93.9624956766333,-18.571758235107698,-0.5678011530309952,0.011320462,1.9569086322759452,0.01395903,1.1947098,13.613484,0.21342768755100597,0.013043581,93.28563,1.8637778,225.95469532122462,-16.0039489224756,1.0435526,473,47,48,0,1.0,0.008635508487926657
