#Aglomerado Melotte 66, Ag = 0.48754540999999996, E = 0.26175533999999995
Metodo,Age,ModDist
DIAS2022, 9.6, 13.35679001721746
Inicial, 9.1, 16.672462597275505
Chi, 9.3, 14.483904151275503
Beauchamp, 8.9, 14.683904151275502
