ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,labels
111.61956397084398,-47.74016734732435,-1.5164358644061624,0.10670719,2.765630314756467,0.1129074,0.95352936,18.003847,0.19227640258677275,0.08462676,,,259.6349866190146,-14.260040232807839,0
111.62902934418334,-47.735511659496616,-1.4548207459703806,0.11842126,2.6801442548805596,0.12919466,0.95820427,18.137632,0.26166591537593603,0.09496743,,,259.63338539590626,-14.252307897914848,0
111.59245697768068,-47.7431412474657,-1.4462535796798959,0.143766,2.6268800796306486,0.13326474,0.9594803,18.318142,0.24913552711494377,0.104206905,,,259.62987666030705,-14.27783367363676,0
111.59875745259963,-47.750046881807364,-1.4318611198535325,0.077046156,2.6855338390688335,0.06973565,0.78014183,17.26425,0.2083824934116323,0.0570532,,,259.63817906408696,-14.27688596345607,0
111.57271349034451,-47.74339887900129,-1.4768528541540924,0.03208058,2.7241690147634903,0.029157694,1.2696314,15.635858,0.21997102250159906,0.02383049,,,259.6243708270488,-14.289993655416891,0
111.579067847952,-47.74172276758241,-1.4674896065802103,0.14839995,2.8429335412928225,0.1368697,0.9603977,18.362099,0.265630065404749,0.10603463,,,259.62465016149326,-14.28541160350946,0
111.581423471098,-47.73592077653434,-1.404026464178628,0.10054569,2.6879332409460184,0.10162061,0.8407726,17.931112,0.26508580960729844,0.08026135,,,259.61990108058416,-14.281539675541515,0
111.54551955055044,-47.743480731281515,-1.4441701548468537,0.11063527,2.73516978520586,0.10236231,0.86807823,17.899313,0.1967683077907029,0.08090876,,,259.61653581064456,-14.30662986616274,0
111.56478836579542,-47.72727676888595,-1.4066436907637236,0.035133492,2.7653206349254953,0.033487543,1.2560368,15.798761,0.21469576877592136,0.027905578,,,259.60696106106207,-14.288071085979558,0
111.56035695624593,-47.736801823440096,-1.3806554353825518,0.027313292,2.7475742847425986,0.023080165,1.3140545,14.969791,0.19640377818380522,0.019055778,-0.24694468,15.326693,259.6145946559275,-14.294771051273031,0
111.57620234531927,-47.73285047757084,-1.4250192227797265,0.1332422,2.7728561662382356,0.13181643,0.959507,18.337011,0.26994781878264346,0.10467029,,,259.6155050441837,-14.283439375270131,0
111.58842298170484,-47.72050416006293,-1.524254549336814,0.10049429,2.838195148515426,0.10027411,1.0122681,17.92518,0.17897665305449675,0.081151195,,,259.6074995906324,-14.270797484789439,0
111.57206108557557,-47.73333752308145,-1.4559547441951077,0.017761063,2.74456504777909,0.015745603,1.330431,14.1950655,0.16599456654564432,0.013434894,16.810663,2.8401105,259.61475570542626,-14.286172151293838,0
111.55027024290085,-47.723533085798,-1.4213078972876936,0.013050865,2.887523921181134,0.011823615,1.7992153,12.102543,0.24495447439931461,0.010277202,22.095644,0.3321273,259.5992281332939,-14.295367528776692,0
111.56119324382331,-47.723714490127634,-1.3045463478811548,0.08465358,2.630840119039007,0.08418492,0.83004,17.586338,0.17739282382321486,0.06746807,,,259.60257737945375,-14.288772685915529,0
111.5529986788609,-47.72255306946418,-1.5575868885576902,0.040327493,2.8207046700245777,0.038743958,1.1236706,15.550924,0.21288050317957646,0.032127213,,,259.59910406560186,-14.293290297395716,0
111.54587572884435,-47.72333277512425,-1.461858202586706,0.113272004,2.700659924584177,0.12948123,0.89552116,18.043896,0.20954323142255946,0.09384122,,,259.5977615881154,-14.29796749798541,0
111.5471392732114,-47.73070863031898,-1.4136188531913263,0.020693846,2.8753085934137577,0.019889409,1.3611364,14.35801,0.19765389914475687,0.01579999,19.6719,2.6653278,259.60503992861356,-14.300287603911213,0
111.55672531385054,-47.728515566330934,-1.4449211379945246,0.050484877,2.7161176750143663,0.04910791,0.8015232,16.628395,0.18615855227379818,0.040243503,,,259.6057747279665,-14.293514316290484,0
