Chi,Age,Av,ModDist
59.24481112351749,8.9,0.15,12.0
58.77589392199584,8.9,0.16,12.0
58.29841746113569,8.9,0.17,12.0
57.8600152840841,8.9,0.18000000000000002,12.0
57.39762104987022,8.9,0.19000000000000003,12.0
57.09487407414458,8.9,0.20000000000000004,12.0
56.769955512232606,8.9,0.21000000000000005,12.0
56.42974633842479,8.9,0.22000000000000006,12.0
56.14743995089201,8.9,0.23000000000000007,12.0
55.781543027732,8.9,0.24000000000000007,12.0
55.61471461745572,8.9,0.2500000000000001,12.0
55.39690161480866,8.9,0.2600000000000001,12.0
55.239871216690084,8.9,0.27000000000000013,12.0
55.09015586686638,8.9,0.28000000000000014,12.0
54.98104175843186,8.9,0.29000000000000015,12.0
38.207372132166455,9.0,0.15,12.0
38.0402356658645,9.0,0.16,12.0
37.9034359078925,9.0,0.17,12.0
37.51703047775877,9.0,0.18000000000000002,12.0
37.461182742777815,9.0,0.19000000000000003,12.0
37.43336696317124,9.0,0.20000000000000004,12.0
36.49724325374003,9.0,0.21000000000000005,12.0
36.582609905537566,9.0,0.22000000000000006,12.0
36.6925839164906,9.0,0.23000000000000007,12.0
36.85864188349428,9.0,0.24000000000000007,12.0
37.02492507578932,9.0,0.2500000000000001,12.0
37.22457169067876,9.0,0.2600000000000001,12.0
37.458674889655185,9.0,0.27000000000000013,12.0
37.71707192763524,9.0,0.28000000000000014,12.0
38.007733091474336,9.0,0.29000000000000015,12.0
28.503023359863516,9.1,0.15,12.0
28.946860359985475,9.1,0.16,12.0
29.25616844555284,9.1,0.17,12.0
29.503796361632165,9.1,0.18000000000000002,12.0
29.773358919728263,9.1,0.19000000000000003,12.0
30.199138671310738,9.1,0.20000000000000004,12.0
30.528237794562074,9.1,0.21000000000000005,12.0
30.880055906540473,9.1,0.22000000000000006,12.0
31.26271268025343,9.1,0.23000000000000007,12.0
31.659951934108335,9.1,0.24000000000000007,12.0
32.07235127775887,9.1,0.2500000000000001,12.0
32.54310562980101,9.1,0.2600000000000001,12.0
33.059252148102935,9.1,0.27000000000000013,12.0
33.5756430020026,9.1,0.28000000000000014,12.0
34.118056269746646,9.1,0.29000000000000015,12.0
26.545462285218324,9.2,0.15,12.0
26.859659344962406,9.2,0.16,12.0
27.21403421003464,9.2,0.17,12.0
27.592841280783222,9.2,0.18000000000000002,12.0
27.97924110234181,9.2,0.19000000000000003,12.0
28.39938871879573,9.2,0.20000000000000004,12.0
28.843708143261466,9.2,0.21000000000000005,12.0
29.322376364066443,9.2,0.22000000000000006,12.0
29.83293740203819,9.2,0.23000000000000007,12.0
30.36203518871504,9.2,0.24000000000000007,12.0
30.924496985644854,9.2,0.2500000000000001,12.0
31.51362934817283,9.2,0.2600000000000001,12.0
32.13035973666916,9.2,0.27000000000000013,12.0
32.785488067384684,9.2,0.28000000000000014,12.0
