source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,non_single_star,labels,prob
865395850986127872,114.64187943422512,21.484605044265287,-1.1806237245560156,0.034229867,-2.0459304938070764,0.028172951,0.5923624,14.898045,0.3724559609665559,0.03019298,,,198.21154366979965,19.639966294609177,1.1173645,218,24,23,0,0,1.0
865396499526739712,114.61183512840074,21.48176724802808,-1.2267544885083104,0.039783686,-2.0560814070210944,0.031482868,0.6865816,15.581929,0.40286101141251884,0.035812844,,,198.20305452302668,19.613027277056712,1.0609623,234,13,14,0,0,1.0
865396503821187968,114.61855126838667,21.488917273833486,-1.1832586505535587,0.073111884,-2.1197174394505645,0.058400225,0.83096886,16.728287,0.3846124836915079,0.06763007,,,198.19855382964377,19.621524654950765,1.1002561,224,22,21,0,0,1.0
865396641260140928,114.63725218082601,21.507225763522793,-1.205725998487224,0.047079094,-2.0693178854963987,0.039558485,0.686409,15.931459,0.3539718195738811,0.042006064,,,198.1875887551883,19.64457454519783,0.99970984,213,23,24,0,0,1.0
865396675619850240,114.62151232466377,21.496689397520537,-1.1931228091234805,0.052446377,-2.0392946076556275,0.041568335,0.69837856,16.010933,0.37779213978628823,0.044415556,,,198.19203215370524,19.627025744265993,0.9782603,214,19,15,0,0,1.0
865396744339335296,114.58600325267763,21.485187611682424,-1.2031766324295536,0.025700336,-1.9912058634816594,0.02056874,0.5929785,14.62292,0.41873239752322594,0.0234945,,,198.1899997340969,19.592093116437667,0.9972762,227,23,21,0,0,1.0
865396808762203904,114.56886736279132,21.504877961889857,-1.1865298829596318,0.083223864,-1.9897281837329635,0.0694786,0.86805916,17.035196,0.3822146636373701,0.07568304,,,198.1642363605655,19.584828264954123,1.1149045,241,23,24,0,0,1.0
865396984857485440,114.61781098919285,21.53085711789127,-1.2934012220962803,0.042328145,-2.0445754195728343,0.037197698,0.6684294,15.710303,0.4169571095002027,0.037861597,,,198.1570850572744,19.63681611880986,1.0009677,204,22,23,0,0,1.0
865396984857488000,114.61277228347471,21.528057080204835,-1.2011490121702328,0.021303933,-2.08614237242518,0.01790291,0.6703062,14.1192465,0.3738426355793565,0.019098975,81.10516,8.505338,198.1579457121745,19.631416813932244,1.0127121,227,23,23,0,0,1.0
865396984857490560,114.60488979630695,21.530558571060716,-1.1649431803663999,0.09791805,-2.0984237737500826,0.08260706,0.919796,17.310028,0.39207959417236415,0.088556804,,,198.1525326677218,19.625583398104133,1.0074154,220,25,24,0,0,1.0
865398256167775744,114.67922513639262,21.538146621976193,-1.23756862575061,0.035825733,-2.0211878300226083,0.030950548,0.59933376,15.141257,0.4111535152959868,0.03247375,,,198.1729486509437,19.692435379312013,1.1572361,225,23,24,0,0,1.0
865398393606749440,114.62998144737215,21.539188374980093,-1.251056095856803,0.039286856,-1.9788198494672877,0.033571664,0.6459055,15.602946,0.39256445096373427,0.035955865,,,198.1534646801963,19.650452330033282,0.9563712,220,25,23,0,0,1.0
865398427966478336,114.64013191038485,21.546926338884564,-1.2360718138143474,0.033450134,-2.0108450890213314,0.028165676,0.60158825,15.237985,0.39873622415033516,0.029929556,,,198.14966801240757,19.662124171977233,0.9508827,215,23,23,0,0,1.0
