source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,labels
3372737560130653824,98.12336994339108,20.359928467513463,0.41852340892642825,0.031632897,-1.9768183069756604,0.024703909,0.96931744,15.055812,0.3880787056749067,0.028986871,,,192.6685374498518,5.14932748199812,0
3372738346106235392,98.12607526280105,20.38566341913737,0.5500608482884626,0.15462856,-2.1891667152036285,0.11605935,1.1481609,17.956423,0.3984540275566717,0.16704877,,,192.6466842358888,5.163292220329178,0
3372738350404632320,98.12228022913814,20.38090424838487,-0.36864303305284923,0.11026335,-2.1069409216743975,0.08085282,1.0818958,17.378601,0.375203010705934,0.10246439,,,192.64931508936283,5.157959357359603,0
3372745286774430080,98.3519753646501,20.33489212562049,-0.38856999778109336,0.17354362,-1.3659088749018151,0.12271239,1.4523678,17.887228,0.41736182757172874,0.14571296,,,192.78873138686419,5.328889923425866,0
3372753228171550848,98.49208332631471,20.429162117337448,0.26338993418963963,0.070287935,-1.727906435294233,0.048251096,0.9493933,16.06032,0.35767241001526795,0.06169633,,,192.76415261436563,5.488693606242698,0
3372756384969749120,98.24574124872343,20.281593705826452,0.5545894751053141,0.107536465,-1.7386971141307037,0.087091394,1.0174866,17.240675,0.3122199194969544,0.08853728,,,192.7909822303704,5.215921198132017,0
3372756526706541184,98.27740607436083,20.305908874529614,0.46410713925581704,0.09195364,-2.1540608845271496,0.068779394,1.0020981,17.02374,0.2609154453928311,0.08955101,,,192.78278005075856,5.253425322340631,0
3372756762927008512,98.263633506965,20.32332393845294,0.4152811221824223,0.08546009,-0.8569466250124999,0.06378072,0.9226532,16.865156,0.3690775994138967,0.08135411,,,192.76130823397992,5.249829636129476,0
3372757007742851584,98.33149135777124,20.336649414615778,0.37014219938890475,0.089771934,-1.2928354727467235,0.0696828,0.9477577,16.84795,0.29703346570237266,0.08575657,,,192.77840320909004,5.31257263839968,0
3372757037804985856,98.32990749771757,20.342921848701707,-0.47798611012078923,0.12737171,-0.7666537672194133,0.09985291,1.0309792,17.442171,0.3055092777494551,0.11074299,,,192.77211307349256,5.314096593269565,0
3372757316981385088,98.3156249803474,20.368913785185683,0.7085928416430514,0.06876958,-1.5963438960301846,0.052546583,0.8756914,16.117805,0.38387944167500904,0.06175607,,,192.74274869572966,5.313964136080036,0
3372757454419157632,98.22972004746008,20.32963486598386,0.3830305447641499,0.12697206,-1.2976526856067832,0.10053825,0.9916363,17.684738,0.3777526418179654,0.10860918,,,192.74115315740224,5.224367348866067,0
3372757557498369408,98.24415323914373,20.328968392622002,-0.19899719146973652,0.07998944,-1.5909884367054723,0.06098342,0.9221573,16.794058,0.36201541897315254,0.07778202,,,192.74792485848477,5.236120774505779,0
