#Aglomerado Berkeley 23, Ag = 0.72086474, E = 0.38702075999999996
Metodo,Age,ModDist
DIAS2022, 9.2, 13.67
Inicial, 8.8, 13.22477023933925
Chi, 9.1, 13.374534595339249
Beauchamp, 9.1, 12.82453459533925
