source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,labels
3372759820942759552,98.3117110217157,20.426474643506452,-0.5606093413371267,0.08079685,-1.2877706792359165,0.062230214,0.8356457,16.783009,0.3050719623064526,0.07513745,,,192.68956514926856,5.336824270593533,0
3372759859600812672,98.33100070476095,20.438777208070587,-1.1216681343455577,0.05254055,-1.677799033392226,0.041176256,0.9537296,15.734844,0.38338057391639857,0.04832627,,,192.6867944408829,5.358514964464442,0
3372759992741462272,98.28138751225688,20.431659927113756,0.9386740448649533,0.19572693,-1.7083453697547015,0.14479762,1.2103882,18.271074,0.40494053807728864,0.18635039,,,192.67196867606077,5.313858963624033,0
3372760267619401344,98.35086102716349,20.444661976105202,-0.3288546801575985,0.039263178,-1.7589881022248572,0.030283367,0.53642654,15.139977,0.19580413703703034,0.04485118,,,192.69000853770729,5.377768809872584,0
3372760405058408960,98.37583684914962,20.46879455786423,0.21168218124625887,0.07016361,-1.629906196291998,0.051137045,0.76440525,16.400698,0.4494337886375715,0.07503949,,,192.67906831114624,5.4095704748355935,0
3372760405058432640,98.37587590492474,20.472577915751526,-0.2895306140181447,0.03086385,-1.8282182300277514,0.02321045,0.7353411,14.760439,0.3274715569166392,0.02903081,,,192.67569802929452,5.41131899480708,0
3372760478076098048,98.34489926539486,20.463485871508627,-0.24414099505679704,0.075447515,-1.2784488801917733,0.05583281,0.8810549,16.156332,0.44800112221709104,0.06552626,,,192.67061378914758,5.381331278647203,0
3372760478076099328,98.33435989951823,20.46635390594107,0.2525002550943526,0.079499304,-1.8636022376569046,0.05955888,1.0569687,16.62326,0.26277650555531884,0.079868235,,,192.6635467053114,5.3738332642586455,0
3372760576857109888,98.35152761777978,20.472981482811885,0.9603848635428675,0.21592599,-2.282441317478672,0.160813,1.6507416,18.309835,0.4183080940229644,0.18934543,,,192.66494387538157,5.391173259351097,0
3372760679936375040,98.35228455596615,20.49686373125362,0.8702225039304321,0.084760934,-0.9139988511475735,0.06273742,1.2709789,16.823942,0.2917623699939245,0.079267606,,,192.64388867798937,5.402639077008221,0
3372762951977271936,98.2817829441553,20.44422543476998,-0.3082489661264225,0.022755818,-1.0231883201113876,0.01837686,1.7380762,14.03184,0.13436408721751378,0.021712208,82.03984,2.2328603,192.66089361932768,5.319894326559675,0
3372762951977273472,98.27293423727959,20.444876342207074,-0.9018788587949537,0.018991249,-2.2705428080982872,0.015380517,0.41231632,13.550644,0.4298798019426438,0.01806733,,,192.65653022763692,5.312802490279032,0
