NGC4755_1,Arp_1,RAJ2000,DEJ2000,pmRA,pmDE,recno_1,NGC4755_2,Arp_2,x,y,Vmag,B-V,recno_2
240,423,12 53 28.945,-60 23 10.69,1.07,0.19,164,240,423,820.215,840.883,13.753,0.415,240
241,325,12 54 11.859,-60 24 18.00,1.02,-1.13,165,241,325,654.669,1653.712,13.754,0.295,241
243,135,12 53 23.156,-60 20 23.62,-2.38,-0.87,166,243,135,1245.403,727.002,13.776,0.302,243
244,0,12 53 20.664,-60 22 48.62,-6.91,3.53,167,244,0,875.5,682.706,13.781,0.325,244
245,0,12 53 27.797,-60 22 54.31,1.08,2.12,168,245,0,861.953,818.793,13.801,0.417,245
248,0,12 54 00.297,-60 22 20.12,0.42,-0.89,169,248,0,953.711,1433.021,13.815,0.364,248
249,0,12 53 59.664,-60 25 35.06,-0.63,-13.7,170,249,0,458.312,1425.285,13.815,0.222,249
250,143,12 53 17.977,-60 18 14.88,-0.83,-0.4,171,250,143,1573.45,625.995,13.823,0.368,250
251,145,12 53 30.000,-60 19 08.50,-0.78,0.73,172,251,145,1438.661,855.223,13.828,0.386,251
252,152,12 53 30.797,-60 21 13.44,0.4,1.74,173,252,152,1119.881,873.221,13.84,0.295,252
253,132,12 53 18.773,-60 20 56.50,-0.49,2.02,174,253,132,1160.953,645.249,13.843,0.336,253
254,0,12 53 55.109,-60 23 03.00,-15.05,9.72,175,254,0,844.749,1333.947,13.848,0.34,254
255,0,12 52 52.352,-60 18 38.38,-1.99,-0.03,176,255,0,1508.478,140.824,13.85,0.21,255
257,147,12 53 36.023,-60 17 50.31,-4.77,-3.48,177,257,147,1638.917,967.123,13.865,0.358,257
259,434,12 53 33.188,-60 25 39.44,14.13,-3.9,178,259,434,440.794,926.027,13.878,0.325,259
261,125,12 53 09.219,-60 20 58.62,-6.72,-2.93,179,261,125,1153.428,463.444,13.902,0.858,261
263,330,12 54 15.711,-60 25 43.00,-2.52,-3.3,180,263,330,438.13,1727.404,13.909,0.824,263
264,221,12 54 05.492,-60 21 15.31,1.24,-0.63,181,264,221,1120.074,1530.309,13.914,0.34,264
265,0,12 53 20.852,-60 23 51.62,-2.79,0.25,182,265,0,714.277,688.342,13.919,0.343,265
267,131,12 53 23.125,-60 21 17.06,0.23,4.0,183,267,131,1109.508,728.156,13.922,0.497,267
268,0,12 53 06.914,-60 23 21.62,-2.63,3.93,184,268,0,789.414,423.578,13.923,0.345,268
269,0,12 53 37.430,-60 20 26.38,-1.06,4.24,185,269,0,1241.231,999.111,13.932,0.977,269
271,0,12 53 12.516,-60 19 48.12,1.36,-0.85,186,271,0,1334.241,525.092,13.944,0.354,271
272,233,12 53 49.188,-60 18 21.25,-2.48,-2.06,187,272,233,1561.952,1217.648,13.945,0.399,272
275,230,12 54 09.023,-60 19 06.38,1.17,0.57,188,275,230,1449.404,1594.963,13.963,0.467,275
276,324,12 53 50.781,-60 25 38.00,1.15,-4.61,189,276,324,447.077,1256.904,13.965,0.307,276
277,317,12 53 47.773,-60 25 04.81,-5.52,4.91,190,277,317,532.284,1198.661,13.969,0.52,277
278,303,12 53 44.867,-60 22 44.88,1.54,0.58,191,278,303,888.476,1141.767,13.974,0.343,278
279,0,12 54 12.180,-60 25 44.12,16.28,2.06,192,279,0,435.358,1662.77,13.983,1.142,279
282,209,12 53 55.383,-60 21 23.00,3.73,-1.91,193,282,209,1098.588,1339.433,14.0,0.356,282
285,0,12 54 10.547,-60 21 25.81,8.0,-4.14,194,285,0,1093.303,1626.969,14.006,0.471,285
286,154,12 53 32.836,-60 21 43.88,-4.94,-2.47,195,286,154,1041.844,911.921,14.008,0.341,286
288,153,12 53 32.164,-60 21 38.31,-0.42,2.51,196,288,153,1056.589,899.537,14.016,0.347,288
290,0,12 54 14.898,-60 21 31.50,-1.83,-1.46,197,290,0,1079.606,1708.399,14.02,0.382,290
293,417,12 53 37.984,-60 24 08.81,-0.53,4.67,198,293,417,673.588,1012.975,14.038,0.359,293
296,0,12 54 03.516,-60 22 48.88,2.8,1.53,199,296,0,881.033,1494.48,14.053,0.331,296
298,0,12 53 45.672,-60 22 54.75,3.15,-6.44,200,298,0,862.557,1157.399,14.06,0.331,298
300,0,12 53 32.289,-60 23 24.38,-1.62,-2.42,201,300,0,785.327,904.096,14.073,0.336,300
302,0,12 53 47.125,-60 24 46.19,0.96,4.36,202,302,0,579.666,1186.86,14.081,0.365,302
304,146,12 53 29.195,-60 18 47.94,1.52,2.15,203,304,146,1491.214,839.771,14.102,0.492,304
308,0,12 54 03.391,-60 24 12.25,3.87,4.86,204,308,0,668.702,1493.902,14.132,0.489,308
315,0,12 54 12.117,-60 18 08.06,6.55,-0.08,205,315,0,1598.943,1653.279,14.163,0.601,315
318,0,12 53 25.852,-60 23 22.12,4.83,5.55,206,318,0,791.053,782.942,14.18,0.353,318
319,0,12 53 49.000,-60 23 46.12,-5.39,3.35,207,319,0,733.057,1220.323,14.19,0.373,319
322,0,12 53 55.656,-60 23 50.50,3.01,4.41,208,322,0,722.889,1347.253,14.206,0.379,322
323,0,12 53 41.641,-60 23 38.69,-2.54,7.91,209,323,0,751.437,1081.318,14.207,0.336,323
324,0,12 53 59.297,-60 20 49.12,0.23,2.21,210,324,0,1186.07,1412.387,14.213,0.54,324
328,0,12 53 04.352,-60 18 50.50,-3.86,4.58,211,328,0,1479.954,368.657,14.221,0.455,328
329,0,12 53 27.906,-60 20 14.38,-6.93,2.35,212,329,0,1270.162,816.313,14.223,0.375,329
330,0,12 53 37.430,-60 20 26.38,-1.06,4.24,213,330,0,1240.634,996.036,14.227,0.35,330
334,411,12 53 38.180,-60 23 16.19,-2.11,-10.21,214,334,411,806.177,1015.404,14.236,0.368,334
336,0,12 53 38.977,-60 18 55.25,-3.39,-1.57,215,336,0,1473.383,1024.713,14.24,0.419,336
338,0,12 53 39.258,-60 20 37.75,-2.45,3.19,216,338,0,1211.762,1032.559,14.251,0.397,338
339,0,12 53 54.477,-60 17 58.00,-8.95,3.25,217,339,0,1622.619,1316.51,14.252,0.461,339
340,0,12 52 56.055,-60 20 04.19,2.07,1.71,218,340,0,1290.305,213.682,14.257,0.386,340
345,0,12 53 56.625,-60 20 58.69,-7.28,0.62,219,345,0,1161.141,1361.191,14.276,0.428,345
347,0,12 54 04.164,-60 24 45.75,0.61,-6.54,220,347,0,582.081,1508.627,14.281,0.536,347
348,0,12 53 30.656,-60 22 59.19,-9.97,-16.88,221,348,0,847.842,871.654,14.288,0.62,348
351,0,12 53 54.797,-60 26 02.94,-4.28,-12.21,222,351,0,383.073,1332.583,14.303,0.643,351
355,0,12 52 50.789,-60 22 15.25,-0.39,-1.52,223,355,0,954.385,117.084,14.31,0.436,355
361,0,12 53 19.516,-60 24 45.81,1.73,-6.71,224,361,0,574.769,664.813,14.34,0.352,361
363,0,12 53 46.336,-60 20 47.50,-2.57,-5.98,225,363,0,1187.356,1166.84,14.345,0.404,363
366,0,12 53 14.125,-60 26 41.38,-4.62,3.78,226,366,0,280.338,564.938,14.363,0.417,366
