NGC4755_1,Arp_1,RAJ2000,DEJ2000,pmRA,pmDE,recno_1,NGC4755_2,Arp_2,x,y,Vmag,B-V,recno_2
118,0,12 53 27.570,-60 22 36.00,-10.49,5.26,95,118,0,905.713,818.459,12.679,0.255,118
119,130,12 53 25.852,-60 21 08.88,1.3,0.2,96,119,130,1130.574,779.717,12.697,0.245,119
120,219,12 54 08.672,-60 21 45.62,2.45,5.04,97,120,219,1043.673,1591.352,12.712,0.319,120
121,416,12 53 40.609,-60 24 12.50,2.67,0.8,98,121,416,664.497,1062.891,12.742,0.268,121
123,112,12 53 23.555,-60 22 18.81,1.8,0.15,99,123,112,951.721,737.994,12.771,0.299,123
128,134,12 53 17.070,-60 20 30.69,8.48,0.55,100,128,134,1226.602,611.485,12.816,0.29,128
129,407,12 53 33.930,-60 22 41.12,4.13,-0.01,101,129,407,896.51,935.058,12.819,0.26,129
130,127,12 53 02.180,-60 20 43.50,1.12,-5.25,102,130,127,1190.464,330.692,12.823,1.878,130
133,148,12 53 38.047,-60 17 45.25,9.13,-2.52,103,133,148,1652.277,1007.043,12.851,0.515,133
134,435,12 53 38.109,-60 25 59.12,-0.2,-0.98,104,134,435,391.717,1017.774,12.873,0.19,134
135,309,12 53 57.055,-60 22 29.81,0.76,-5.24,105,135,309,925.418,1373.44,12.887,0.249,135
138,14,12 54 11.430,-60 20 34.25,-5.62,-8.04,106,138,14,1224.598,1641.431,12.933,0.756,138
139,445,12 53 20.328,-60 25 34.44,0.89,-1.5,107,139,445,452.094,681.289,12.936,0.276,139
