#objcount  MagB  	  MagV
181	          	        	9.30     	9.19
182	          	        	     30   	11.96
183	          	        	13.990   	13.690
184	          	        	13.726   	13.455
185	          	        	14.478   	13.514
186	          	        	14.06    	13.54
187	          	        	14.25    	13.93
188	          	        	13.871   	13.359
189	          	        	14.19    	13.823
190	          	        	12.688   	12.429
191	          	        	     30   	10.92
192	          	        	     30   	12.49
193	          	        	     30   	13.14
194	          	        	13.969   	13.690
195	          	        	12.821   	12.077
196	          	        	13.702   	13.465
197	          	        	14.004   	13.613
198	          	        	11.642   	10.257
199	          	        	13.756   	13.437
200	          	        	14.284   	13.595
201	          	        	14.373   	14.005
202	          	        	13.590   	13.249
203	          	        	13.111   	12.814
