Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,(BP-RP)TurnOff,GmagTurnOff,Ajustadas/Total
6.6, 4.503139014023436, -4.348970364714538, 0.061606223001313895, 0.07465391207049787, 0.9980405695970674, -0.6120000000000001, -3.304, 0.06388888888888888= 23/360
6.7, 3.7547184807651446, -3.6828418838393207, 0.0413695456631252, 0.09813368150921954, 0.9989697227772455, -0.6259999999999999, -3.194, 0.04909560723514212= 19/387
6.8, 2.972893620446758, 0.44690218008453364, 0.01882996279054722, 0.026329923571025007, 0.9996391326740693, -0.5220000000000002, -4.011, 0.12269938650306748= 20/163
6.9, 3.0085691321859964, 0.48726392315050937, 0.01673231402689614, 0.022934089928711335, 0.9996444847640786, -0.49500000000000055, -3.966, 0.16447368421052633= 25/152
7.0, 2.9570456752535654, 0.7541363081222134, 0.012446757492775478, 0.019751904222290277, 0.999814020737267, -0.48599999999999977, -3.12, 0.15862068965517243= 23/145
7.1, 3.073091772676435, 0.6470669062072436, 0.021939734681060957, 0.03990815769397803, 0.9996943222933137, -0.4530000000000003, -3.389, 0.09655172413793103= 14/145
7.2, 3.3489877886626434, 0.1819437335362597, 0.023292911506474535, 0.03491363658766054, 0.9995649096741078, -0.42900000000000027, -4.381, 0.12578616352201258= 20/159
7.3, 3.410697142780422, 0.16186766590504575, 0.025855287087018047, 0.03824388486353991, 0.9994545178340299, -0.4119999999999999, -4.029, 0.14= 21/150
7.4, 3.394291677120109, 0.349763856728603, 0.019842101794743043, 0.03435428474021246, 0.9997096600602717, -0.391, -3.707, 0.13380281690140844= 19/142
7.5, 3.3802981180349563, 0.4485295650915404, 0.019158959591021592, 0.03517015423347836, 0.9996949586678404, -0.3679999999999999, -3.41, 0.14788732394366197= 21/142
7.6, 3.4591278089213175, 0.4657552799593354, 0.019811939477488057, 0.03468932152519375, 0.9997376749048711, -0.3420000000000001, -3.134, 0.13846153846153847= 18/130
7.7, 3.454665659226198, 0.5101176137351984, 0.023339443567954882, 0.04069613514287262, 0.9996578572964756, -0.3169999999999997, -2.87, 0.1259259259259259= 17/135
