  ID     REF  V        B-V
   0228    88  18.567   1.759
   0229    88  20.538   1.076
   0230    88  20.943   1.705
   0231    88  17.787   1.068
   0232    88  19.047   0.993
   0233    88  19.159   1.120
   0234    88  20.911   0.772
   0235    88  21.240   0.827
   0236    88  16.404   0.860
   0237    88  19.588   0.950
   0238    88  16.909   1.007
   0239    88  17.543   1.113
   0240    88  20.881   1.949
   0241    88  20.781   0.911
   0242    88  18.003   0.900
   0243    88  19.735   1.029
   0244    88  19.977   1.516
   0245    88  18.751   0.963
   0246    88  19.899   1.161
   0247    88  20.239   1.089
   0248    88  19.240   0.884
   0249    88  20.328   1.562
   0250    88  17.025   0.976
   0251    88  18.701   0.994
   0252    88  18.823   1.028
   0253    88  20.924   1.975
   0254    88  20.402   1.563
   0255    88  19.277   0.777
   0256    88  19.069   1.387
   0257    88  16.496   0.843
   0258    88  20.118   1.047
   0259    88  18.712   1.890
   0260    88  15.640   0.887
   0261    88  20.433   1.104
   0262    88  19.000   1.200
   0263    88  20.130   1.199
   0264    88  19.153   1.138
   0265    88  19.071   1.192
   0266    88  18.646   0.769
   0267    88  19.272   1.040
   0268    88  20.208   0.736
   0269    88  17.451   0.855
   0270    88  19.919   0.908
   0271    88  18.848   1.162
   0272    88  21.123   1.053
   0273    88  20.799   1.184
   0274    88  17.658   0.952
   0275    88  19.591   0.759
   0276    88  19.834   2.802
   0277    88  19.496   1.412
   0278    88  15.123   0.826
   0279    88  16.352   1.312
   0280    88  19.756   0.878
   0281    88  18.957   1.451
   0282    88  18.020   0.832
   0283    88  21.439   1.550
   0284    88  15.137   0.798
   0285    88  20.739   1.669
   0286    88  17.870   0.896
   0287    88  20.970   1.678
   0288    88  19.606   0.838
   0289    88  19.756   1.097
   0290    88  20.039   1.091
   0291    88  18.876   1.167
   0292    88  16.237   1.227
   0293    88  20.832   0.919
   0294    88  19.016   1.331
   0295    88  21.030   0.920
   0296    88  19.438   0.805
   0297    88  20.822   2.161
   0298    88  20.081   1.168
   0299    88  20.290   1.648
   0300    88  20.712   1.238
   0301    88  19.217   0.799
   0302    88  17.198   1.074
   0303    88  19.317   0.832
   0304    88  20.463   2.065
   0305    88  18.316   1.462
   0306    88  18.343   0.998
   0307    88  19.246   1.041
   0308    88  16.616   1.297
   0309    88  19.584   0.835
   0310    88  17.978   0.807
   0311    88  20.440   1.526
   0312    88  18.262   1.216
   0313    88  19.922   1.023
   0314    88  18.106   1.045
   0315    88  17.256   0.690
   0316    88  19.355   0.781
   0317    88  15.314   1.522
   0318    88  20.121   1.041
   0319    88  19.525   1.712
   0320    88  20.211   1.143
   0321    88  19.775   1.201
   0322    88  19.531   1.619
   0323    88  18.714   0.857
   0324    88  18.108   1.048
   0325    88  18.496   1.500
   0326    88  19.691   0.966
   0327    88  19.208   1.022
   0328    88  20.819   0.903
   0329    88  16.626   1.176
   0330    88  19.491   0.875
   0331    88  19.926   1.490
   0332    88  19.254   0.755
   0333    88  20.874   1.567
   0334    88  18.969   1.297
   0335    88  19.130   1.508
   0336    88  18.513   0.787
   0337    88  19.916   0.805
