source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b
3372757591858105984,98.2431261782417,20.34355462848646,0.3704072895661404,0.056370936,-1.1753980583451729,0.043516856,0.8063288,16.101692,0.36474324690358756,0.05590989,,,192.7344371996824,5.241890136899727
3372757626217845632,98.22554193672829,20.348178299201912,-1.502010098323103,0.07090314,-4.059394790189094,0.054409906,1.068203,16.445032,0.48538373693101966,0.067322195,,,192.72277826975244,5.229304170781049
3372757626217848320,98.21922241709706,20.34415797272663,1.1204906511831243,0.066860095,-2.7409476007043603,0.051021963,1.0405893,16.551954,0.32294593274951167,0.0587894,,,192.7236705291382,5.2221991050452
3372757656280307584,98.23014644662696,20.35366228743199,-3.617335304619334,0.05412008,-1.3546530809273964,0.041331735,0.98198605,16.020826,0.800211096187497,0.051537704,,,192.71984265603083,5.235641780980057
3372757660577579776,98.24141537316859,20.358864069317814,0.25581908025272065,0.035890568,-1.08869965898621,0.027383538,0.8240595,15.109623,0.2996558389187717,0.03479104,,,192.72000993565933,5.247416896013826
3372757660577581824,98.23271748659816,20.35716181373774,3.4554660539005164,0.09992033,-6.006250964154192,0.07370697,1.1450005,17.14964,0.24652462188236127,0.09598333,,,192.7178120688228,5.239379186795968
3372757660577582848,98.2400770642505,20.34455340902448,-0.7638699168899822,0.06635813,-1.5508762798341384,0.05089362,0.77480793,16.436855,0.21274077124792934,0.06614278,,,192.73223932521338,5.239797144847268
3372757660578854144,98.2389856407378,20.353340974970553,3.32019921327091,1.4460155,-2.5113380414658466,0.908269,2.146389,20.411139,3.364702451275332,1.3898704,,,192.72391140917105,5.242878225058404
3372757690639971840,98.20101031802776,20.330498287435187,1.7010174677621004,0.19720311,-5.633275294324054,0.15064678,1.5949192,18.401245,0.6908561032207109,0.16627581,,,192.7280944889038,5.200779619486318
3372757690639992192,98.19299221355651,20.33641344849911,1.0797829790361428,0.086766146,-4.346914002862971,0.065890744,1.2471104,17.059963,0.46864334193774965,0.07750269,,,192.71937220511538,5.196771769921903
3372757690639992320,98.19034652707737,20.336905186195274,3.2502921219113583,0.23148029,-3.4164117409402444,0.17170677,1.5327721,18.45778,0.8700315802066124,0.18971498,,,192.71779999874593,5.194785699523454
3372757694937330304,98.20056695356061,20.33293166860768,0.6315036249601753,0.123618215,-4.601352689826735,0.0917195,1.598156,17.556711,0.6775986135327283,0.10659715,,,192.72572831662984,5.201515434450927
3372757724999741952,98.21173813428433,20.340322419585508,0.42583547722514564,0.08916517,-0.5738252684587086,0.06839505,0.7861004,17.073505,0.22017792964714655,0.07733186,,,192.72389872031036,5.214205027737552
3372757724999752576,98.20374611540521,20.343537177544167,-0.6684733208317014,0.25438645,-1.9739912323134279,0.19843216,1.3650341,18.70747,0.4855282363355439,0.20400816,,,192.71760322982283,5.20899134947125
3372757724999762688,98.21375880749707,20.346442582923956,-3.604167132442872,0.056977727,-3.2363968515131742,0.042117845,1.0345364,15.922395,0.5579662365643949,0.046216685,,,192.71928917386504,5.218674229408692
3372757759359499136,98.17917391392486,20.343001101997665,-0.22268782573147167,0.08083661,-1.626896161937151,0.061698396,0.92351913,16.89471,0.2539000966775752,0.077108316,,,192.7075658277707,5.188226330720081
3372757763656808320,98.17736212437397,20.345150036579064,0.4442378107570909,0.037894983,-1.9786889862579433,0.029552516,1.6241579,15.379423,0.1295521475424983,0.03414231,,,192.70486843581887,5.187690310243929
3372757793719259904,98.19768138355337,20.352485271424886,3.2022304910499484,0.024462404,-2.9485365405264354,0.020342667,0.8036165,13.809814,0.7778765218799384,0.019527145,42.20109,6.4287705,192.70700452105166,5.207993716169432
3372757798016540544,98.19802387688553,20.361798591269036,0.22163472925605088,0.0182709,-1.7789478453426504,0.014464579,0.3828373,12.670864,0.2991172051320787,0.017304441,,,192.6988210623374,5.21251304168754
3372757798016543104,98.19675102514391,20.349830722316334,-1.2171688440817927,0.32025012,-1.2363120747969554,0.24135283,1.7605839,18.993132,0.5052883653978391,0.24848871,,,192.7089806323378,5.206010118903486
3372757828079005056,98.21702904636403,20.355707187394298,14.781076080016144,0.15918234,-26.060012294615095,0.12106708,2.4698334,17.997326,2.9066800029158992,0.15448132,,,192.71240145983035,5.225615865948558
