source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b
3372759030668764160,98.34560018548846,20.419181195344688,-1.00962685001118,0.15018982,-1.0829600029872752,0.11466103,1.0289574,17.725414,0.3368277865301459,0.14065701,,,192.71056894727883,5.3618143253822295
3372759653442389376,98.31500447326978,20.40829632426841,0.27621285430559683,0.027319102,-1.0177972701737916,0.021935029,0.3823614,14.470139,0.27160018775730543,0.027093539,,,192.70724043972308,5.331323173124012
3372759717863526528,98.29922531909772,20.416400447271332,0.6603839580625823,0.24725789,-5.311302223669933,0.1837374,1.8557034,18.637209,0.9175680374470645,0.2183594,,,192.69324586948738,5.321825207824997
3372759722161865600,98.30877375491548,20.417715397078442,0.598784392618228,0.09494539,-3.0253039486004494,0.07686324,1.1350994,17.04944,0.17349809924995424,0.086208396,,,192.69614902714346,5.330395538903201
3372759752223258368,98.32523646135222,20.411344531920413,7.543413387585162,0.13646889,-2.0588964713174915,0.1049145,1.3276234,17.698112,0.7556501363618937,0.12454387,,,192.70888406807742,5.341251654651464
3372759786582972032,98.33494848001565,20.419243264546374,-31.12709703324541,0.017851064,-14.063246959894421,0.014238682,0.86351395,11.995656,3.750166039684627,0.017527461,9.05336,1.1937795,192.70596370330242,5.352947031726861
3372759786583008128,98.34304180079143,20.4197094641553,3.9599063573117497,0.08870481,-7.653387581215156,0.069613114,1.2844086,16.931585,0.7116857085531932,0.08483485,,,192.70900339974114,5.359917451940381
3372759786583016192,98.33410265832858,20.424449095313804,-0.9099690451166043,0.19772081,-4.142003999746011,0.15075016,1.9116802,18.304909,0.7420071023856777,0.1834377,,,192.70094316543955,5.354603118255325
3372759820942753280,98.30754935533095,20.421776499885937,-0.33673582548703773,0.08666906,-1.9845363776567082,0.07040904,0.87072563,16.902464,0.19584192685159602,0.079869725,,,192.69199158811014,5.331216582158231
3372759820942757632,98.31799177352319,20.426272377884242,0.7791376155564105,0.2028267,-0.7012890928114601,0.15310857,1.0653667,18.327171,0.37880390262948,0.17761359,,,192.69242934250238,5.341977066679266
3372759820942759552,98.3117110217157,20.426474643506452,-0.5606093413371267,0.08079685,-1.2877706792359165,0.062230214,0.8356457,16.783009,0.3050719623064526,0.07513745,,,192.68956514926856,5.336824270593533
3372759820942767872,98.3221217776556,20.42827697598056,2.2183750208907753,0.1471209,-5.676518089944743,0.11412029,1.6073246,17.74236,0.4506742277126764,0.13614841,,,192.6923995737836,5.346335587187948
3372759825241077632,98.32247120738545,20.424653525081816,-0.7760282906962159,0.0448053,-0.45343694506092797,0.034641664,0.63450336,15.39499,0.33093148092297714,0.04489112,,,192.69579171084393,5.344982848037894
3372759825241079936,98.30718809170746,20.423916135263443,-1.719154404607552,0.2684854,-0.8813615348357695,0.20979442,1.2016621,18.701796,0.5232210984715018,0.2390307,,,192.68992246342793,5.3318861691445285
3372759855302448384,98.32641485439895,20.428836406276417,0.7397349747883194,0.015884778,-2.6172634451875645,0.012816149,1.8384123,12.303414,0.2796766284437409,0.015527836,27.69032,0.78580225,192.69373273271972,5.350174368325551
3372759859600812672,98.33100070476095,20.438777208070587,-1.1216681343455577,0.05254055,-1.677799033392226,0.041176256,0.9537296,15.734844,0.38338057391639857,0.04832627,,,192.6867944408829,5.358514964464442
3372759859600813824,98.32927184955352,20.431098117714054,0.34859328896881203,0.0857815,0.7928074391218682,0.067108996,1.0608768,16.844809,0.572595462675525,0.087801754,,,192.6929288616395,5.353586497781358
3372759859600814080,98.32314927217718,20.435078533538825,-8.358916206130225,0.021049848,-27.802680438015347,0.016684556,0.9510422,13.67822,1.135145769359509,0.019466948,-103.82156,3.8803315,192.68675124970912,5.350280443343614
3372759924021961984,98.2893991842362,20.419012377083728,-2.9076806541194964,0.072106734,0.3820464825315892,0.05603662,1.2639503,16.598707,0.4728077882084044,0.06739809,,,192.686709679909,5.314805988575997
3372759924021970816,98.30363184236298,20.4246156106431,-1.7370026542598513,0.12145155,-0.7828462272847845,0.090334326,1.0471745,17.319584,0.2668866788763336,0.10786657,,,192.68777708883766,5.329234163342968
