B-V,V,mainseq
1.2045327,12.559566,true
0.70045279,8.9837857,false
1.5821156,15.913256,true
1.540805,15.910005,true
1.0239421,11.734744,true
1.5152425,14.76551,true
1.4782592,15.981344,true
1.4111751,14.757466,true
1.3219828,13.84189,true
1.3036858,14.254406,true
1.4269158,14.980585,true
1.3148433,7.4722844,false
0.74462963,10.235656,true
0.68797283,10.129417,true
0.95449937,11.74373,true
0.84425492,11.042479,true
1.5816369,15.413882,true
1.4612285,14.941702,true
1.6734054,16.056852,true
1.4491694,14.972135,true
0.50044216,9.1628454,true
1.4853055,15.485721,true
1.3330081,8.0085225,false
0.60558445,8.2079947,false
1.561627,15.083034,true
1.6255377,15.935644,true
1.6008251,15.990409,true
1.6323039,15.743607,true
1.5593451,15.811243,true
1.2448497,13.328955,true
1.2824172,14.442572,true
0.9364051,12.045125,true
0.63986781,9.0504682,true
1.1955437,13.239457,true
1.6778723,15.565617,true
1.3440986,14.256524,true
1.4133319,15.860335,true
1.631366,16.056827,true
1.2329785,12.820912,true
1.4003419,14.992994,true
1.5723807,16.282189,true
1.0989823,12.324337,true
1.4088473,14.355552,true
0.70543838,10.986229,true
1.4725868,16.140994,true
0.63923179,8.447854,false
1.5211539,16.115337,true
1.4169954,15.279705,true
1.3829941,14.279608,true
1.4794049,15.364139,true
1.4359405,14.111541,true
0.67775511,10.725294,true
0.99261379,12.703839,true
0.68138344,9.800053,true
1.4526134,16.049664,true
0.71094348,8.1445004,false
1.2064815,13.290778,true
1.558602,15.336376,true
1.3049048,13.849627,true
1.3469794,15.889131,true
1.452002,14.969233,true
1.3504358,14.646451,true
0.89174026,11.384252,true
1.182163,13.467232,true
1.3193891,13.934561,true
0.66921568,9.0519415,true
1.4597577,15.025176,true
0.84768619,10.951305,true
0.56949104,9.0168237,true
1.5113934,16.166191,true
0.61356097,9.8083621,true
1.4495443,14.817598,true
1.4472969,14.701059,true
0.71485717,9.9705638,true
1.3460487,7.7560106,false
1.0559613,12.492245,true
1.5002327,15.773199,true
1.6675156,15.954265,true
1.5007529,15.614262,true
1.4822642,15.015667,true
0.5860367,8.4266566,false
1.5704681,15.25808,true
1.0354287,12.044253,true
1.523205,15.579845,true
1.3863469,14.62463,true
1.4929997,15.25794,true
1.1015476,12.320733,true
0.59667379,9.5075201,true
1.3637232,16.052586,true
0.92764172,11.300479,true
1.3987603,15.852173,true
0.79398234,11.025301,true
0.56278436,9.4068838,true
0.92863002,11.584162,true
1.5957244,16.205034,true
1.5628089,16.075906,true
1.5719502,16.139563,true
1.0155675,12.110677,true
1.5664504,15.728281,true
1.9624953,5.125276,false
1.2768235,7.8498289,false
1.212853,12.865151,true
1.356692,14.419376,true
1.6429475,16.15766,true
0.68000787,9.8591359,true
0.84470241,10.599283,true
1.1382591,12.676506,true
1.871752,5.7071568,false
0.75814847,11.34602,true
1.6818428,15.640424,true
1.46624,15.059444,true
1.5862295,14.950024,true
0.5675573,9.0491942,true
0.80283569,10.515379,true
0.69519871,10.418846,true
1.2571147,13.284824,true
0.67208613,9.9218178,true
1.134688,13.60106,true
1.6125115,16.065093,true
1.2242574,8.1401172,false
1.1502203,13.008025,true
1.1313602,12.728732,true
1.435547,15.890582,true
1.6032406,15.711116,true
1.4462318,14.52731,true
1.4241321,14.582781,true
0.98361244,12.066289,true
1.4971299,15.196202,true
1.0419371,12.074048,true
0.79698543,10.697239,true
1.1386705,13.328354,true
1.6708004,15.681467,true
1.416697,15.316249,true
0.6921084,9.8865432,true
0.67503376,10.046995,true
1.3567549,15.070823,true
0.95933192,12.295108,true
0.55471669,8.6353773,true
1.4230406,14.826628,true
1.3067436,15.14474,true
0.89198219,11.088611,true
0.61743628,8.7037027,true
1.4892811,16.002765,true
0.56638454,9.1849163,true
1.5587679,15.542279,true
1.5915572,15.281875,true
1.4177501,15.175864,true
0.72959952,9.8320821,true
1.4128856,15.111947,true
0.78329891,10.872378,true
1.0262333,12.151004,true
1.7200484,15.558066,true
1.5521782,15.277903,true
0.51508659,9.5283612,true
1.2549252,13.716682,true
0.699512,10.413337,true
1.0635001,12.577762,true
1.3082458,7.9522404,false
0.91573869,11.773943,true
1.5778252,14.387521,true
0.65442732,8.2923478,false
1.4873155,15.458502,true
1.5480015,16.018655,true
1.001607,11.998818,true
1.4649478,16.188961,true
0.69584509,10.356529,true
1.533372,15.721461,true
1.5353686,15.729628,true
1.6191711,16.171325,true
0.75961331,10.442035,true
1.4495783,14.694781,true
0.87114009,11.181395,true
1.1010141,13.041748,true
1.4266713,13.810859,true
1.6035846,15.764563,true
1.1274716,12.398218,true
1.3951901,14.94693,true
1.1802029,12.597092,true
0.58423259,8.9708835,true
1.4973047,14.918916,true
0.61312383,10.152261,true
1.1604612,12.476342,true
1.1120746,12.774505,true
1.6068716,16.084239,true
0.58699259,8.4828016,false
1.4390297,14.729653,true
0.88089419,11.585992,true
0.47949867,8.7208676,true
0.94799694,11.690526,true
1.5621016,15.548141,true
1.2746822,14.720574,true
1.5600951,15.752804,true
1.2985718,13.376462,true
1.2778729,13.966774,true
1.1188837,12.541791,true
1.3622966,14.811947,true
0.57594539,8.7967713,true
1.4413442,14.391829,true
1.3137667,14.355133,true
1.4599917,15.258321,true
0.60705766,9.9264415,true
