B-V,V,mainseq
1.6277415,17.088631,true
1.8259207,16.404795,true
2.0010412,16.993236,true
0.37665331,7.9058081,true
0.88002316,11.214897,true
1.3524476,13.138991,true
1.4849788,14.758227,true
1.9388589,16.611758,true
1.6421101,14.946603,true
1.6949523,17.042927,true
0.71326911,10.327701,true
1.6677035,16.218581,true
0.49297941,9.6460636,true
0.91208184,12.284173,true
1.4920867,14.176236,true
1.0698139,12.347358,true
1.5210717,16.42183,true
1.2626612,13.588757,true
0.62228463,10.185995,true
0.84419945,10.977517,true
1.338603,13.555686,true
0.85537093,11.279496,true
1.4898135,15.6422,true
1.6774265,16.842002,true
1.5620845,16.500565,true
0.72358492,10.548674,true
1.1642217,12.775689,true
1.4652302,14.046378,true
1.5795492,15.569133,true
1.8025252,16.98738,true
1.0200771,12.610474,true
1.6105067,14.935237,true
1.518983,16.631197,true
1.5811096,15.803301,true
1.0066459,12.131236,true
1.8363272,16.725993,true
1.6261675,16.668216,true
1.4381911,14.620867,true
1.0860141,12.231028,true
1.6226661,16.32634,true
1.8267693,16.356762,true
2.0044361,17.043287,true
1.7471408,16.640289,true
1.1483043,12.86742,true
1.0836227,12.492001,true
1.6892666,17.056013,true
0.92135815,11.809078,true
1.3983035,13.967885,true
1.5796507,15.542114,true
0.63577291,10.130748,true
0.66161546,10.582609,true
0.4220279,8.3857119,true
0.36041217,6.3312439,false
1.6490864,16.215502,true
1.1497518,12.85001,true
1.6178711,17.058876,true
1.8920895,16.488717,true
0.31871497,6.9197669,false
0.90802322,11.217773,true
1.1383843,12.890333,true
1.8180499,17.125396,true
1.610001,16.593842,true
1.053199,12.035129,true
1.8582831,17.135776,true
1.7595117,16.89593,true
0.34527833,8.2023133,true
1.6467077,15.86646,true
1.5760669,14.750264,true
0.56720701,9.0848891,true
1.7092319,17.067627,true
0.30486753,6.825161,false
1.9532524,16.747502,true
1.5015893,15.465006,true
0.47050505,9.9588993,true
0.28339158,8.1288965,true
1.1952448,12.928772,true
0.98788185,11.92084,true
0.85739403,10.913266,true
0.55293578,9.7684245,true
1.5471654,15.11872,true
1.6331645,15.530642,true
1.0275368,12.129242,true
1.2134779,13.507313,true
1.4883988,14.203623,true
1.2948461,13.385509,true
0.97552668,12.415487,true
1.0651683,12.804013,true
1.4143607,14.08093,true
1.7000184,16.610986,true
1.3829841,14.46585,true
1.2383483,13.336522,true
0.32766497,8.6490467,true
1.6146794,17.315217,true
0.34301956,7.8466337,true
0.67728199,10.141997,true
0.41337,8.215189,true
1.2979888,13.63477,true
1.7200347,15.906314,true
1.6962287,16.19862,true
1.7374583,16.888746,true
1.7835235,16.760138,true
1.3365597,14.807552,true
0.69133341,10.246874,true
1.3470007,14.392404,true
1.7689809,16.495031,true
0.39914075,8.1549244,true
1.5407978,16.000334,true
0.71537424,10.403771,true
1.6796545,16.621281,true
1.3918404,14.32043,true
1.8678155,16.873173,true
1.0821105,12.20099,true
1.3616108,14.494383,true
0.7369572,10.585472,true
1.6550586,16.040006,true
0.49390643,9.7659431,true
0.97702477,11.353301,true
1.8285223,17.366645,true
0.33739603,7.9191306,true
0.96013712,11.470292,true
1.6583936,16.229063,true
1.1850691,13.191479,true
1.9302001,16.833335,true
1.2126161,12.972869,true
1.7432908,16.639346,true
1.2390577,13.360315,true
1.6894611,15.795109,true
1.6417012,16.751665,true
0.32995101,8.3061091,true
1.6129203,17.16521,true
1.889727,16.202173,true
1.756683,16.841207,true
1.4750035,14.978132,true
2.026234,17.017331,true
1.2317929,12.94517,true
0.48500154,8.4988084,true
1.67215,16.559125,true
0.98545899,12.256974,true
1.4171871,14.260728,true
1.4054918,13.669742,true
1.6492166,16.521088,true
1.4597341,14.165189,true
1.411733,13.435761,true
1.6465692,14.827728,true
0.31180043,6.7397719,false
1.2957701,13.781291,true
0.84117103,11.550528,true
1.4912809,14.905741,true
0.42172036,7.6415174,true
0.39198529,9.0385113,true
1.4619,14.271641,true
0.42086252,9.7381962,true
1.7912998,16.189876,true
1.3988962,17.19889,true
0.48409675,9.1984769,true
0.80203065,11.153903,true
1.5223206,15.386684,true
1.4260488,15.548272,true
1.6973081,16.002959,true
1.528982,14.95504,true
1.5686921,15.293484,true
1.8458954,16.972107,true
1.7508218,16.592282,true
0.91013273,11.453569,true
1.2893523,13.347295,true
2.0206298,17.021847,true
1.5284332,15.033214,true
0.91726629,11.436613,true
1.7576815,15.931639,true
0.87267628,11.118941,true
1.76657,15.721382,true
0.90694299,11.527685,true
1.2785868,14.211624,true
0.83450322,11.368517,true
1.583755,17.011307,true
1.1222193,11.90307,true
0.97900974,11.815738,true
0.33132193,7.7667994,true
0.30997596,6.8803017,false
1.2739879,13.911033,true
1.2796353,14.035866,true
1.5470443,14.818548,true
1.5800309,15.652664,true
0.40107406,9.2552551,true
0.57889552,8.8353277,true
